ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,111.95,127.725,125.1969,113.5562,117.7031,105.05,127.0469,123.4844,131.7578,114.4812,131.4453,130.8969,120.2188,135.9219,134.9594,127.8531,124.0531,119.3844,129.3719,115.8406
C18_1_31,166.7103,116.3297,127.8703,123.6953,118.6469,121.2484,107.7953,132.975,128.1562,138.4812,117.3312,137.4438,128.8016,119.1156,135.7312,144.0344,129.9219,125.7359,118.5875,130.6422,120.075
C18_1_32,146.9299,107.8469,118.9625,114.1844,109.8359,113.4547,100.5438,123.5109,119.775,129.8047,107.5188,129.2062,118.8266,108.8875,121.9125,133.9344,118.4422,115.0156,109.5188,120.7984,114.5656
C18_1_33,98.1913,85.9984,94.6469,89.2359,86.5625,91.7719,77.6406,100.5812,97.9125,104.7984,86.225,105.2281,94.9594,95.0547,98.4125,103.2703,94.4594,96.7031,86.8859,99.1188,96.0297
C18_1_34,75.2596,60.6438,66.3734,59.6797,62.6344,62.7734,46.7375,71.3391,74.3141,76.9562,62.6328,74.9453,67.2078,66.9938,67.2938,68.7453,67.1203,68.6891,58.4531,69.8016,70.4062
C18_1_35,45.05,54.3141,57.4734,51.5344,53.1641,55.1016,45.5734,68.0031,65.2391,71.8203,59.3672,65.8094,63.3938,56.9328,62.8422,59.7969,62.7953,64.0234,52.6,59.2297,68.9469
C18_1_36,110.2775,53.3109,55.2781,49.2609,53.5594,53.7141,48.6938,67.5719,66.7562,69.0469,60.0156,67.375,67.9609,54.6453,70.3875,56.1625,62.2219,63.75,59.0328,58.3406,74.575
C18_1_37,80.7098,55.9141,63.6391,57.7109,59.9219,59.2578,57.3219,72.5719,74.3031,74.1172,64.7453,73.5484,79.4953,61.7875,75.1594,66.8625,70.025,74.0406,70.6297,69.3172,80.4109
C18_1_38,79.6583,54.4625,63.2344,60.0359,59.4625,62.3359,54.8141,69.8531,73.8203,70.5,57.2312,74.7891,81.125,60.3156,72.5578,67.0625,70.1109,70.775,69.3656,68.0609,76.1422
C18_1_39,77.5694,45.8875,52.9344,49.8641,50.3328,56.3938,43.5438,60.5875,63.3734,57.5391,48.6094,66.9531,73.1156,56.9453,61.7734,57.4312,62.3438,58.6906,57.7078,57.1078,61.7281
C18_1_40,45.6116,45.9203,52.4594,52.0375,50.7938,53.8297,37.8453,54.5781,62.4828,61.475,51.8641,64.85,69.9953,54.3812,63.3516,56.7234,62.7938,55.1828,54.6438,54.975,59.775
C18_1_41,50.4065,46.8922,54.15,54.0859,53.3125,54.4188,38.0156,54.3781,62.8062,64.5312,55.7438,63.3812,70.8688,61.1578,69.225,54.8453,65.7297,59.8156,57.6281,56.2812,66.5953
C18_2_28,123.6603,136.4031,138.6469,123.0844,132.6031,143.4156,128.9844,132.2438,145.7984,135.4594,129.0016,142.275,150.1438,134.1891,142.3344,135.3969,129.5516,132.5344,135.5062,132.8172,134.3312
C18_2_31,124.7729,125.8859,124.6,111.6219,123.0266,137.5234,115.0297,119.5719,137.1156,118.6188,122.8672,140.1562,138.5281,120.1391,128.8344,126.4062,123.4703,120.1156,128.6094,125.9484,127.3844
C18_2_34,145.9414,118.5562,124.4766,105.9016,118.5406,118.3984,114.8688,111.0672,122.6219,125.7094,121.3969,128.9453,128.8781,120.5094,121.7047,124.0969,119.2641,114.2484,115.3984,114.9969,117.7125
C18_2_37,147.8101,119.6781,123.2781,97.9359,116.7562,122.5609,122.575,109.5062,120.15,128.5094,119.6484,135.3312,123.3625,120.8828,123.3438,125.3812,109.5766,121.5812,115.6859,111.6781,122.1719
C18_3_25,126.3387,123.2484,130.4,113.525,120.8172,138.3781,117.7875,119.0094,138.1844,125.1938,126.2469,131.8406,135.8375,131.4906,133.6766,124.4531,126.7969,126.3797,132.2156,122.0234,127.4656
C18_3_28,136.3834,114.1031,117.5031,102.3594,110.2578,127.8078,103.5594,111.1969,126.1812,108.2453,119.7594,126.9062,127.4656,117.6656,120.8688,116.6938,116.5625,113.2547,120.4953,118.0797,119.8734
C18_3_31,145.0953,123.1656,128.2516,114.6031,123.6234,126.7906,126.1531,112.3203,127.5531,133.2594,125.1516,137.9875,128.5297,123.7047,130.1078,128.7109,126.7219,119.2438,124.6734,119.7078,119.6188
C18_3_34,137.892,115.4141,122.3781,98.1375,112.3047,120.2469,115.8406,107.7891,120.7859,125.1484,115.8562,127.8312,116.8953,119.4047,123.1219,119.1516,109.4391,116.4984,112.75,114.6953,112.6578
C18_1_6,57.4347,59.3375,71.9766,61.4094,54.9594,64.3734,54.2875,69.9266,74.4016,56.9297,72.1547,67.9125,81.5547,80.3,92.8141,66.5,60.9188,62.0516,81.7172,59.6469,71.1375
C18_1_7,129.7623,99.8797,105.7109,100.9594,92.1281,103.4031,95.2781,107.6641,110.1047,98.2922,112.2844,103.0922,122.6906,114.9344,118.2406,103.5062,98.5266,104.2188,123.8234,97.1078,111.9906
C18_1_8,145.1451,117.7656,124.5,120.8156,111.6531,123.8656,113.8562,124.4625,126.5703,117.1328,132.3578,121.2797,140.8375,130.8375,136.6906,121.0312,118.3578,123.5344,142.425,114.4312,130.0797
C18_1_9,217.015,124.6328,130.2938,120.9656,113.6609,136.6828,115.2766,133.3172,132.4469,122.5203,137.7391,127.2547,148.9453,130.8641,143.2719,127.2406,123.8484,131.4828,146.7125,120.7859,136.5375
C18_1_10,209.2774,142.4625,152.0109,142.5125,135.7938,159.1234,137.5781,156.5391,153.7781,145.5656,159.9172,157.5562,172.8312,154.1984,167.8828,150.6562,153.9969,153.1969,170.7281,144.1328,159.1656
C18_1_11,203.038,146.9203,157.0391,143.9422,142.6172,161.8312,143.9375,159.3969,157.7938,153.9719,165.2203,164.7781,173.175,156.8812,173.0156,156.5,157.7594,162.0625,169.8391,154.3953,162.7938
C18_1_12,103.8595,106.2156,110.9188,100.5,101.3141,119.0234,98.8562,115.1312,113.4688,121.35,120.5656,121.2594,130.2703,111.45,133.2328,117.8219,113.0641,114.5797,127.9328,117.0062,119.6406
C18_1_13,86.9165,91.3609,95.3609,88.55,85.7656,102.5953,82.3641,101.1922,95.7375,107.4469,105.3391,106.2703,110.55,95.075,114.9781,103.325,93.5953,96.6953,109.5188,105.0016,104.4422
C18_1_14,66.9708,66.6,69.5188,69.1453,59.55,73.0688,57.95,78.6297,67.675,83.5297,82.0797,80.8031,84.7594,71.2938,85.6609,77.575,70.7062,68.2344,85.2469,81.7453,78.5906
C18_1_15,68.8493,50.2984,62.2859,60.1781,47.3438,59.4188,45.8281,67.275,54.9375,72.6969,69.2172,67.4031,69.6406,59.9188,69.6859,65.9344,61.4578,60.0203,70.9547,69.8969,66.9828
C18_1_16,54.8296,38.7562,53.6812,55.1375,38.6797,50.7375,37.9922,55.0141,43.6578,59.6469,57.7266,57.9703,59.2766,50.3781,54.2797,53.9375,55.7578,49.1359,63.0641,59.6906,53.8766
C18_1_17,49.3681,37.8625,47.9984,54.3688,37.9578,49.6953,33.9297,52.2734,42.7266,58.2234,51.3516,58.8969,59.8172,49.9031,49.4891,51.0484,58.8328,47.0641,60.6406,58.8656,49.3172
C18_1_18,50.654,33.8078,40.5281,52.0719,34.6578,54.9453,30.1234,49.3828,42.2766,54.5703,49.0062,58.0984,63.1641,48.7719,49.2875,46.0094,60.3875,47.4359,63.4438,51.7703,44.4094
C18_1_19,59.1341,40.2547,41.525,52.2578,39.6828,63.9859,31.2844,52.9609,48.4203,53.525,46.9859,65.1734,68.7375,49.4594,53.5625,51.7047,61.6672,51.2156,66.4375,51.1125,49.75
C18_1_20,56.486,42.8375,39.0078,53.5422,40.8375,64.5969,32.3938,52.3156,52.6172,54.9625,49.2734,68.3312,74.2656,54.4344,54.8609,53.175,65.1125,55.8906,70.8234,54.8922,55.7312
C18_1_21,102.7827,75.1844,73.3969,85.2844,66.8375,90.1891,67.5984,80.8281,85.2656,85.5047,84.4,98.0234,104.825,84.6562,83.3797,80.3781,95.5797,86.6516,98.9891,88.6625,81.5281
C18_1_22,339.3617,192.8875,198.9844,187.1469,183.1312,211.6688,185.8125,198.7531,196.1938,219.1219,205.1469,203.1656,201.7938,195.5188,203.0094,202.675,211.1125,205.6844,202.4875,192.925,191.4938
C18_1_23,300.4246,185.3719,187.0156,184.1156,178.425,206.7094,185.375,191.3062,190.1406,205.3562,201.0906,194.5125,195.8812,191.3875,199.6844,197.9125,197.1156,199.3,199.95,185.9406,191.7438
C18_1_24,248.2435,180.7312,183.5531,183.0969,178.6781,203.95,183.2062,185.1625,191.4156,201.0219,198.3906,193.9719,194.2594,190.3594,201.0062,195.4625,193.2906,194.1469,197.275,185.175,190.9281
C18_1_25,225.7969,143.2312,129.8266,137.45,132.3875,151.6531,134.8281,147.1859,156.0219,143.3719,144.1,151.4281,160.0438,150.1594,164.0031,134.3797,141.7688,135.9719,155.9,140.7438,143.7422
C18_1_26,207.9733,123.775,119.4141,126.7469,123.2297,131.3844,116.4484,132.625,140.1406,124.5688,123.1812,134.4719,144.9281,129.0344,151.6688,125.7094,123.6125,116.5422,142.0906,126.1062,131.4312
C18_1_27,183.3608,100.1828,97.3062,101.0859,103.7766,106.4469,93.6172,113.7047,114.4625,98.9234,100.8594,109.4375,122.0188,106.4078,128.1062,97.3875,101.7234,88.1391,119.7578,99.3328,105.6672
C18_1_28,51.0243,80.6062,80.4859,78.7734,84.8219,77.1203,76.4094,89.3859,83.6141,81.0578,78.4156,83.925,94.5047,83.4,98.7375,72.5188,82.0922,73.5609,91.5844,72.4031,86.6234
C18_1_29,27.5556,61.8797,65.6438,62.2062,69.4016,59.5844,60.1641,70.4531,69.4172,67.9469,64.7531,65.2172,78.6312,64.5594,79.9,56.5531,67.3984,61.7031,76.9469,57.5547,69.8969
C18_2_1,127.6878,138.9391,144.45,137.4312,140.6047,156.4328,139.1969,150.6188,160.6625,141.1875,147.3359,154.5125,160.8531,164.0938,167.8,150.0656,140.575,155.0844,147.1359,150.1047,152.3844
C18_2_4,113.0324,119.5781,118.7875,105.3906,108.1281,123.1781,114.1594,115.8594,125.5406,132.4422,121.2719,115.6062,127.3719,136.0594,131.5344,118.9812,114.525,127.7156,111.6656,114.3734,130.7094
