ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,118.4281,133.0594,122.6281,125.5,117.1406,125.1719,135.3156,117.6625,137.3031,118.625,124.0312,133.1344,116.4156,121.3906,137.8219,128.7719,135.8531,116.5312,134.9156,120.3656
C18_1_31,166.7103,116.5609,135.0781,116.0406,124.5906,113.3203,119.8141,134.6875,117.5922,133.9672,122.1281,126.7375,124.55,113.0656,122.2406,134.6,125.2734,128.175,115.9188,130.5672,120.1
C18_1_32,146.9299,104.7375,121.1281,105.3891,111.6047,101.1547,109.1953,117.9938,105.7781,120.0938,111.0375,114.5031,109.3828,103.2828,108.2078,120.6984,108.9516,119.1969,105.4656,120.4953,109.8094
C18_1_33,98.1913,84.5109,100.6141,88.0,85.7172,80.1641,88.9953,97.9094,86.2109,99.9578,91.3391,97.8,86.5375,87.0672,89.2125,94.15,89.1656,100.8844,86.6578,101.4969,87.8938
C18_1_34,75.2596,56.1891,66.8281,59.9328,54.9188,51.1422,59.5641,64.6312,58.3141,69.1531,63.3234,70.925,54.7609,54.1141,57.7703,61.2312,62.0844,66.4328,60.7859,72.425,56.6391
C18_1_35,45.05,47.8391,54.8078,53.7547,47.5719,43.4406,54.4859,58.9844,53.9531,56.4484,55.9094,65.0922,49.5969,48.8969,51.1953,51.4734,55.0906,52.7391,59.2641,62.3328,54.0031
C18_1_36,110.2775,45.625,50.9109,51.6734,49.9203,43.1906,49.8219,49.3328,55.2875,52.1578,54.0547,60.0797,46.8875,46.8156,52.4297,49.3734,53.9781,47.975,58.0141,56.9031,52.4891
C18_1_37,80.7098,48.6109,54.3375,53.6062,55.9406,50.1094,56.4109,56.3141,61.8,54.1766,58.3172,62.2406,54.8125,50.2672,56.6156,58.0281,57.0047,53.9875,62.2766,60.1297,59.4047
C18_1_38,79.6583,48.8328,53.0828,54.9781,56.3953,57.0984,55.6719,56.6516,60.3219,54.9234,57.4719,64.9391,59.2219,54.4422,59.2281,60.0281,62.9125,58.0125,65.7297,62.9172,59.4422
C18_1_39,77.5694,37.9328,44.8141,44.3547,45.9172,48.0531,44.8406,50.9453,51.4438,47.2938,45.9547,56.3625,50.05,47.0297,48.5688,50.4203,54.2938,51.8031,51.8,52.475,50.1625
C18_1_40,45.6116,38.4484,40.7109,44.9234,41.8188,42.6781,42.7609,46.5891,48.1828,46.8953,44.1625,53.6484,50.1422,47.4828,45.4328,44.5281,53.2406,52.4328,49.1312,49.9109,47.4281
C18_1_41,50.4065,44.8031,42.1516,49.1844,39.5812,40.6141,40.9938,48.6375,47.2312,48.3719,43.9406,53.0281,50.7484,49.0688,50.9984,44.4734,49.6188,54.2422,49.4719,53.3844,51.5562
C18_2_28,123.6603,121.9266,128.8297,121.0266,127.3969,131.3094,124.6844,126.8688,131.3562,131.0031,126.4781,127.7594,138.775,118.4969,128.8656,119.2469,127.0625,128.2062,125.0594,120.425,132.3
C18_2_31,124.7729,108.25,120.1453,105.1062,122.4391,119.5312,113.6203,117.2844,120.8859,123.4344,119.6203,123.2781,120.1188,105.2562,117.3344,110.9047,111.4359,124.2578,109.7484,114.3984,123.4156
C18_2_34,145.9414,111.5641,109.8016,99.7859,110.375,108.1656,105.375,106.9375,109.9922,115.1906,117.1,110.6625,108.6875,106.2828,107.4703,106.4172,113.8469,117.0219,101.6812,102.5594,113.1188
C18_2_37,147.8101,120.3266,124.6547,116.7312,113.6125,119.9031,116.2469,110.4484,110.0906,125.4922,117.0094,115.3062,112.9219,114.2094,109.9078,111.7453,115.3547,122.3781,103.9453,110.4312,120.8812
C18_3_25,126.3387,113.15,118.7312,110.5406,121.6125,123.4969,118.8562,119.2828,122.0938,124.9328,118.9078,119.9172,129.0156,109.3406,119.875,112.5219,119.5094,124.9141,113.2125,113.4969,126.4156
C18_3_28,136.3834,101.1391,110.5844,97.8328,113.8406,113.3234,110.2844,112.8844,109.5641,117.5906,116.1156,118.9938,113.6891,99.6594,110.1781,106.5828,106.6938,118.5188,103.9328,107.0297,116.9609
C18_3_31,145.0953,127.6031,126.0656,116.0969,123.8656,125.7875,125.3781,124.4406,122.7562,130.4844,137.3844,127.4938,123.3406,122.4688,124.4531,119.9344,129.4031,131.7562,119.2062,119.1344,128.725
C18_3_34,137.892,124.55,127.1,122.4594,118.4094,122.5469,119.3656,109.9562,115.1172,130.0266,120.3297,125.4391,117.6234,116.2906,109.9938,112.4922,116.7484,122.5594,110.0406,115.7594,123.175
C18_1_6,57.4347,55.3562,59.175,46.9875,52.6547,62.7203,50.8781,59.6828,58.0438,61.5875,67.1156,58.2641,61.6047,50.4906,64.0312,57.5328,61.6719,58.8125,61.4984,48.1359,67.6641
C18_1_7,129.7623,93.4422,85.2203,82.2469,88.7984,98.8703,84.9781,94.5062,89.6797,88.5375,99.5547,81.6469,97.7,84.3469,93.2547,87.6172,92.1281,90.3297,96.9203,81.5875,98.8578
C18_1_8,145.1451,116.4719,107.1031,103.3266,108.1828,117.3344,103.2969,115.8125,109.4969,107.9094,118.8844,100.65,118.5297,103.1438,112.9344,105.0828,112.0922,110.3406,117.6469,100.7562,121.1375
C18_1_9,217.015,129.1656,117.2,115.4281,120.0594,131.3,113.8922,127.8297,121.6469,115.1453,123.4984,110.8609,131.0625,117.5688,121.2094,116.0781,120.3312,125.6125,130.1,113.5188,133.7594
C18_1_10,209.2774,153.9703,146.9281,151.25,149.5,157.7406,145.0219,155.65,152.3969,145.0031,145.2156,143.1219,158.1531,150.0,154.6469,147.0125,151.7469,155.2875,158.775,146.7531,157.9312
