ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,150.5812,156.3781,156.8344,147.0531,145.7,154.5531,150.2,151.2312,160.15,150.4875,149.5906,153.5312,144.9812,152.75,169.9125,154.1938,163.6812,155.6719,167.9812,149.4719
C18_1_31,166.7103,143.9094,152.2844,145.7438,137.8406,134.4031,154.1969,150.4156,147.4531,151.5531,145.7812,150.5438,144.5031,140.5906,148.8625,163.5062,148.2156,156.5156,154.0719,158.8062,141.0
C18_1_32,146.9299,123.3844,136.9281,128.9516,120.7969,114.9,143.9938,143.8531,132.6547,136.2719,129.4375,139.0562,126.975,128.1625,135.0047,148.8719,130.0672,144.5688,140.6688,145.5953,123.2062
C18_1_33,98.1913,95.8062,113.3922,106.3281,93.3938,90.2672,116.7516,125.7,111.4703,113.8734,103.7125,117.8344,100.8891,107.0281,110.0359,120.0062,105.35,121.9875,115.6953,122.9281,100.1828
C18_1_34,75.2596,65.7266,79.4,76.75,61.0406,59.5625,83.9594,89.6906,77.9547,83.0016,76.5141,80.3062,67.4,67.1391,76.9703,81.1516,76.3578,87.6266,86.75,92.7688,69.2609
C18_1_35,45.05,61.7859,71.1484,64.5578,56.9547,63.4484,74.2906,78.5141,69.9922,76.4453,77.7812,68.9781,61.2016,58.7641,68.3375,71.7672,72.0953,84.2609,76.9672,83.6188,71.4156
C18_1_36,110.2775,61.7672,63.6078,55.7375,52.5047,63.5469,68.3594,68.4766,66.2969,67.7469,72.2781,65.2438,56.5047,50.3969,62.8688,62.9469,65.3391,79.4578,71.6344,72.8047,73.1281
C18_1_37,80.7098,64.6625,62.0266,53.3328,52.6188,64.3172,67.6969,68.4938,65.5953,65.0859,73.7078,70.4172,62.2125,55.5406,65.5078,64.4047,64.8719,84.9625,70.5828,75.5562,77.5641
C18_1_38,79.6583,63.4438,57.5422,52.3516,47.7078,59.9375,60.5281,59.9344,60.0891,53.725,61.8625,69.0328,62.2312,52.4391,61.8188,58.6375,58.2875,79.5672,68.7625,73.2656,73.2797
C18_1_39,77.5694,53.8234,48.6312,45.9656,38.2969,49.6453,46.5969,46.4969,49.375,39.9375,45.4906,59.7562,50.1312,46.3297,46.7109,45.4719,48.8859,65.4609,55.1812,57.3969,57.5672
C18_1_40,45.6116,56.3609,45.3531,52.1516,39.8891,48.7109,44.4328,43.9047,49.3312,40.2141,44.675,54.6938,54.4562,47.0297,48.8719,46.5656,56.0812,59.5484,57.7984,55.1031,58.0438
C18_1_41,50.4065,62.3641,51.5078,56.3109,46.0938,53.3016,41.7422,47.425,54.1938,47.1453,48.8422,55.1562,62.7781,48.4375,56.05,52.9953,63.6297,61.6922,59.1328,55.3109,61.675
C18_2_28,123.6603,140.6688,140.4,133.7812,132.3469,143.8359,134.5625,135.8484,134.7078,138.0625,124.8203,137.7312,147.5781,129.075,140.1281,130.5531,140.5406,138.2938,131.8125,134.0438,138.5125
C18_2_31,124.7729,136.1188,132.7953,122.8891,133.8031,136.9875,126.4672,115.7781,132.7062,120.9344,112.9141,135.1781,137.1594,119.15,125.3891,123.0109,133.1625,123.2312,126.7359,121.225,124.7625
C18_2_34,145.9414,109.1344,106.5828,95.5781,102.0578,94.7625,97.3031,98.7,98.6703,102.8688,100.5453,92.7312,95.7828,89.4484,100.5344,92.5188,99.0516,92.7281,93.1266,96.4453,96.1406
C18_2_37,147.8101,117.9906,115.475,103.5938,106.65,109.0797,112.1594,112.3641,109.1,117.9938,113.3406,114.3594,115.025,104.7438,112.9719,107.8844,114.3625,108.1953,104.0156,106.7891,114.3844
C18_3_25,126.3387,135.775,130.7922,128.7781,119.8844,142.65,129.4547,131.3328,122.5734,127.4594,115.6422,129.7047,138.5922,122.1922,126.2688,120.3344,132.8219,131.0828,127.5531,123.7609,128.5547
C18_3_28,136.3834,129.2344,120.0656,115.5766,122.9156,133.5562,119.8047,109.85,121.4703,113.0734,104.7594,126.8359,130.325,112.1016,112.6906,115.8188,125.5828,116.7734,118.7688,111.4219,114.9797
C18_3_31,145.0953,124.55,124.3938,117.1531,118.6125,116.8906,119.9375,116.4969,117.1344,115.6594,118.1875,112.3031,115.3469,113.6219,116.5719,108.4625,114.5094,111.875,112.0875,113.8344,114.075
C18_3_34,137.892,120.3656,115.5281,105.5625,107.7109,112.1375,112.4781,108.3219,109.6656,114.9812,114.2719,114.05,116.1875,103.1438,110.2312,105.0188,114.1406,106.375,108.2625,103.05,113.6438
C18_1_6,57.4347,60.3328,76.0109,57.0734,69.7359,72.4469,58.9641,53.8453,69.6297,77.8234,76.6016,57.8172,53.9688,56.1438,61.3141,73.7359,57.2609,66.675,64.6203,56.7703,70.2906
C18_1_7,129.7623,104.7359,110.6703,94.4969,107.8062,112.3594,97.4031,95.9812,108.3234,112.2375,119.6641,97.175,97.6406,94.5734,106.4531,106.1219,99.5391,116.1781,108.9922,98.6922,115.3859
C18_1_8,145.1451,129.4656,134.2609,120.8266,131.4547,134.3312,120.7672,118.3969,130.7359,134.7812,142.3125,119.9484,122.7547,116.1953,130.6531,128.6203,120.4203,139.6484,132.0609,121.3703,141.8906
C18_1_9,217.015,151.9844,150.8062,143.0969,153.8312,158.8156,144.4609,143.4344,149.1219,152.1594,169.3312,144.4531,154.8719,142.1688,160.575,151.5125,143.5312,163.1531,158.8938,148.7422,167.1719
C18_1_10,209.2774,182.5844,189.4438,180.0562,191.4562,195.65,186.3125,181.7312,184.6469,190.0719,206.4,186.8875,192.575,180.4906,201.3531,193.1781,183.5125,207.1969,194.2719,188.8594,204.2438
C18_1_11,203.038,181.1062,195.3625,185.8156,199.9688,202.8625,196.125,188.25,188.5125,196.4625,211.375,196.9312,198.0031,187.2969,202.9781,200.1,191.6594,218.525,198.7094,197.7219,209.4312
C18_1_12,103.8595,122.3906,142.9938,135.1531,145.5906,153.4406,149.8156,141.925,132.5406,146.0781,160.45,152.0938,146.4812,139.1125,154.1312,156.1031,141.2156,166.6031,147.9094,152.2031,155.1844
C18_1_13,86.9165,103.7625,126.6969,121.975,124.9266,138.0938,128.3844,124.0219,115.4891,129.0125,140.3109,133.1547,131.625,123.5281,135.2641,136.3188,124.7734,146.8625,125.4719,135.3641,134.7375
C18_1_14,66.9708,71.975,93.3188,91.7484,82.8703,101.2172,88.075,88.4047,77.4953,98.7062,107.1125,96.6438,96.0875,89.9688,103.4078,92.7594,92.1328,106.4094,89.4797,99.3469,98.9156
C18_1_15,68.8493,54.3266,75.5219,82.2016,64.2203,81.1969,66.1656,67.4938,62.9109,77.4328,88.1703,77.8875,77.1281,78.7719,84.3281,67.7234,71.3641,86.8219,72.4859,86.4109,82.5859
C18_1_16,54.8296,38.2266,58.1438,70.225,48.3766,67.1188,56.0109,48.0047,48.6828,59.275,71.025,62.0969,58.8344,66.8719,67.5031,47.4438,55.4531,71.6578,63.0219,68.9016,72.0562
C18_1_17,49.3681,36.9531,54.9578,67.3062,45.45,59.3984,54.3219,42.6922,44.7328,52.2688,58.1516,56.2688,52.9031,60.0562,59.5219,37.9875,50.8812,65.6625,59.1953,60.8859,70.9219
C18_1_18,50.654,46.1219,57.6219,68.2625,54.0844,55.7094,57.7594,43.9766,47.0312,52.0344,46.5312,50.8812,53.6359,58.2844,58.0094,31.0641,47.4172,64.6797,54.7859,57.9438,71.4859
C18_1_19,59.1341,56.0531,63.3578,72.7031,67.3125,64.4656,65.2438,56.4281,62.6953,57.5125,50.7641,63.9984,60.4531,57.8922,64.4891,44.4391,50.1734,65.6062,59.0516,61.6578,81.8781
C18_1_20,56.486,59.9766,64.5281,70.4922,70.4391,67.0781,66.1703,58.9109,67.5609,61.5938,56.0453,67.0656,65.225,59.3297,69.3953,48.5969,56.0359,67.1984,61.5953,58.4766,88.625
C18_1_21,102.7827,110.0969,112.1094,106.7,121.8766,117.8766,108.4859,114.1188,114.3188,104.55,105.7469,114.5719,118.5719,113.5266,119.3656,103.1609,109.9672,114.7188,103.2922,98.9469,137.1531
C18_1_22,339.3617,305.3562,306.7,300.825,298.6688,300.275,302.0125,283.6188,304.75,310.3,295.0375,304.2688,292.5312,294.1188,291.7625,303.1188,317.0562,302.0625,303.2,277.5188,296.7688
