ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,112.9844,123.0812,117.3094,114.9438,111.5906,121.4281,127.2406,114.9031,131.5375,123.2781,115.5719,131.9,109.2562,129.1031,126.4,117.9781,124.4375,114.1531,128.9375,116.0969
C18_1_31,166.7103,108.7719,121.1,114.1312,107.6781,104.4844,111.7312,122.9594,115.175,124.0672,117.7688,113.7297,126.1562,112.2875,127.1078,122.4984,115.5875,117.2062,112.9844,123.4344,108.7156
C18_1_32,146.9299,94.5875,108.6531,106.6688,93.2562,93.5906,100.9234,110.0016,106.1297,113.2031,104.8094,106.7844,111.925,107.5594,112.5625,110.0453,105.075,108.5719,103.7828,114.9688,93.9516
C18_1_33,98.1913,79.3453,94.0438,93.8875,77.35,83.975,84.4078,94.3562,93.6906,97.1891,91.8188,97.1562,96.1219,98.3938,94.2469,89.65,92.3422,98.3391,90.6656,100.1891,83.2922
C18_1_34,75.2596,60.5781,70.5484,72.9734,54.4047,65.1906,63.7547,69.4859,74.525,74.4906,69.7969,76.9406,71.575,74.4281,67.0547,64.2156,71.4,74.3156,70.0188,76.7297,59.6172
C18_1_35,45.05,60.1844,67.4672,66.1016,50.2938,62.7891,61.0125,62.7484,70.2188,67.5016,69.6922,72.2922,67.3219,68.1094,59.2562,54.2578,68.0766,71.0094,63.725,69.825,61.5516
C18_1_36,110.2775,59.6312,67.8406,61.0344,50.5938,60.6219,63.3516,59.9406,67.2938,62.5188,69.6438,70.2391,61.975,62.1828,57.0203,53.4344,62.0438,68.9547,59.5719,66.8812,62.2422
C18_1_37,80.7098,58.3516,67.1219,63.1031,54.9484,63.4156,70.8094,63.0219,65.9766,63.5875,72.5406,70.7047,64.7203,63.2797,59.8281,57.9547,61.7516,75.0094,61.9391,71.2969,66.3094
C18_1_38,79.6583,52.1062,62.6234,57.9859,54.8953,61.6688,68.7203,58.2906,58.7031,61.0703,69.7781,67.6062,64.2641,61.8844,56.2672,60.5641,60.2938,74.0109,60.9969,66.0734,64.3344
C18_1_39,77.5694,38.1484,52.7797,47.3938,42.9844,49.2703,48.4719,49.9047,47.4531,51.1969,52.2375,55.8125,53.7578,51.9469,48.1484,52.9953,53.5578,60.3859,46.7469,54.1188,50.8594
C18_1_40,45.6116,39.9188,48.5594,52.5562,46.9078,47.3469,47.8812,48.7547,49.2047,53.3484,52.3125,55.9141,57.8031,52.1359,47.9125,54.0578,59.5359,59.3906,50.8438,54.0922,52.025
C18_1_41,50.4065,50.2062,55.6359,59.0516,55.5109,49.5781,51.6531,51.8016,58.2266,62.5734,59.3969,64.4109,62.4281,53.2812,57.5703,65.8234,69.2688,63.4734,60.5047,54.8922,60.4672
C18_2_28,123.6603,115.6812,122.8812,113.25,116.9188,123.0625,121.8312,127.9,121.2906,117.2906,115.3312,120.1219,133.2438,116.9625,116.9469,119.1906,111.1625,132.0969,112.7969,125.0781,132.3219
C18_2_31,124.7729,106.2766,114.6312,100.5406,117.2469,112.125,118.2875,112.2219,115.5156,105.45,106.8219,115.6156,121.0375,106.5094,108.0984,110.5969,103.9422,122.7812,105.9469,111.4062,123.7438
C18_2_34,145.9414,102.4953,105.4812,95.5,108.4562,95.8234,108.9656,105.5797,98.4531,101.1656,111.7312,102.8984,102.9094,87.9797,104.2219,101.0672,98.9625,97.1531,99.7844,92.7406,106.4703
C18_2_37,147.8101,119.4094,120.0453,113.425,120.625,109.0844,121.5344,109.8469,117.1625,112.4344,112.0656,115.1469,119.6844,110.9844,109.2344,110.725,115.6938,118.8406,107.6656,106.6562,123.025
C18_3_25,126.3387,116.5844,116.0703,107.9844,110.7484,118.4125,123.3594,123.9188,113.5969,119.2062,115.975,118.1125,124.9031,108.9984,111.2609,112.7156,114.3281,129.2656,111.3062,116.8469,123.5625
C18_3_28,136.3834,105.3406,106.2609,98.9344,109.2562,109.7594,114.95,108.1516,107.6094,104.2172,105.5328,113.4594,114.025,103.9219,101.6891,108.0812,105.2109,117.0438,104.525,102.9938,114.5531
C18_3_31,145.0953,114.3156,114.7344,112.4906,123.3656,110.5062,123.325,117.1781,112.0656,109.0031,126.8344,112.8375,115.5281,107.9469,117.3438,116.9844,112.1312,109.5406,115.9812,109.5531,116.9344
C18_3_34,137.892,119.0562,119.9719,116.95,119.55,108.4719,121.4344,107.5125,117.2531,114.7031,113.0375,117.3188,117.0062,110.9844,106.0781,110.4562,116.6375,116.9812,112.7688,108.8594,115.85
C18_1_6,57.4347,59.7969,64.5625,62.9188,59.7719,67.6719,57.5234,49.5828,67.2953,55.4438,61.9062,58.4703,53.8875,54.4922,65.0484,56.6406,58.5047,54.6016,65.1203,58.8266,55.7812
C18_1_7,129.7623,86.7078,84.3547,86.3422,90.2219,94.4172,86.1031,77.9984,98.4688,79.0938,95.15,85.7344,88.0109,83.5547,90.0188,84.0078,89.7406,84.8359,95.3312,83.55,81.4297
C18_1_8,145.1451,104.0734,102.3484,104.2984,107.1609,108.7266,104.1047,97.6016,112.4922,96.2391,111.8094,101.5062,105.3391,98.6031,106.7188,99.5781,106.5469,103.5844,112.3672,99.7125,102.5859
C18_1_9,217.015,120.5016,113.8938,117.4703,120.5047,122.7734,121.3688,114.6094,120.7031,113.4969,126.0812,115.3953,123.2094,112.4906,124.2062,112.2281,123.8156,122.1062,129.6,116.625,116.9922
C18_1_10,209.2774,141.5438,135.6531,138.9719,142.7781,144.1375,149.2406,140.075,139.3969,139.8156,148.5531,141.9469,150.4312,138.6375,153.0094,139.0344,147.7312,149.2844,155.2969,142.7156,140.8281
C18_1_11,203.038,139.9438,145.2875,146.2906,149.3406,150.2031,156.6375,149.9875,145.5562,148.6156,153.8688,157.5594,155.9906,145.0375,160.0,147.8594,157.0,155.1219,160.7125,151.825,148.5031
C18_1_12,103.8595,96.1531,108.6781,107.8078,108.3812,114.3219,116.8953,112.9703,105.9203,116.7328,120.4312,130.3188,112.6438,103.0547,120.4312,114.6766,121.0719,114.3422,121.2016,113.0516,112.5062
C18_1_13,86.9165,79.4531,95.3328,93.9766,93.0953,101.7016,102.5625,99.3219,92.3078,102.6531,106.6781,115.9766,96.6594,88.4312,104.5688,99.3547,106.7844,103.9188,100.6,97.1953,99.975
C18_1_14,66.9708,58.1422,75.2359,72.6844,68.3172,78.5844,78.2438,79.9797,70.1953,87.0703,87.5688,92.8562,74.6672,66.8688,74.5688,76.65,91.0578,83.4438,75.2797,73.6344,78.1
C18_1_15,68.8493,48.6281,67.8766,62.2453,55.4891,66.7609,63.7641,70.4266,59.85,75.9562,75.8766,79.9922,66.0125,55.625,61.1594,62.6641,82.5594,73.4969,63.6594,66.6328,66.9016
C18_1_16,54.8296,39.7438,55.3828,53.2125,45.3109,56.5703,57.9719,61.3484,48.4141,63.5172,65.7375,67.5531,54.5547,43.6406,51.5359,50.2453,69.8391,64.8141,57.1469,59.0016,54.8469
C18_1_17,49.3681,39.6219,56.0984,56.9984,46.8656,57.1312,56.7406,59.9594,50.6094,63.2484,57.5203,65.3609,52.0672,39.2969,52.35,49.8734,68.3562,63.0203,56.0047,58.4391,53.4094
C18_1_18,50.654,44.4156,53.8703,59.9953,55.1641,54.2062,61.3547,55.7812,54.5125,60.7938,55.8219,62.5391,51.7969,40.9141,57.2141,44.5078,65.3422,60.4531,56.7438,54.9922,52.2516
C18_1_19,59.1341,53.4609,59.6094,65.8922,72.7766,65.7484,73.2656,61.5344,66.1625,68.6844,58.9984,77.9562,60.7266,45.6641,57.9781,57.3469,71.2484,65.4422,60.9281,56.8188,61.0
C18_1_20,56.486,59.0781,62.6141,67.9844,78.1531,68.4453,77.7547,63.6531,73.4609,74.2812,60.9578,83.5109,67.5094,49.5938,60.4156,61.6,77.75,69.5469,66.3016,55.5797,66.0266
C18_1_21,102.7827,109.1594,106.3828,116.5156,127.15,118.4609,121.7906,114.6156,120.6938,125.3734,109.1578,130.7969,123.3406,99.8953,104.2609,111.4188,121.6156,114.5719,117.4125,104.6578,109.3422
C18_1_22,339.3617,277.7562,272.8312,269.4438,263.3312,274.1875,275.6875,268.8812,272.45,280.1188,276.9812,280.3,269.8062,276.1,273.2312,264.8438,288.7375,273.375,270.6875,254.2688,259.5375
C18_1_23,300.4246,255.8312,255.4375,258.2188,245.2375,254.3562,262.3562,251.6562,257.175,263.3625,258.825,262.1938,254.175,256.3125,253.3938,252.8125,264.4875,259.5938,250.7562,241.9875,243.625
C18_1_24,248.2435,236.2938,238.0812,245.3906,232.075,237.4219,249.2188,236.9469,244.05,247.0312,245.8188,245.9688,239.2188,244.4812,242.05,240.3375,249.9062,246.8062,239.0938,232.6469,227.425
C18_1_25,225.7969,144.5219,140.1562,157.6875,148.9688,156.2188,150.3781,147.4406,161.6562,151.6,158.0156,162.0281,163.9375,153.6625,155.5781,144.9844,159.3906,153.2938,166.5625,157.0938,147.05
C18_1_26,207.9733,131.3031,126.775,142.6625,130.1156,134.6406,131.3281,130.2688,146.6688,133.1812,134.2344,146.1812,145.2531,134.8156,143.2906,126.7406,139.7469,130.1438,149.8062,142.9,128.1781
C18_1_27,183.3608,112.5766,111.8625,125.2141,112.3297,115.5297,113.8828,116.9234,130.7938,116.4,115.6812,130.3,122.1312,115.7484,128.9,115.3047,119.9109,111.4719,130.1781,127.7812,111.6797
C18_1_28,51.0243,92.8656,95.4125,107.125,88.3312,95.4281,93.6906,95.9625,96.9375,96.1375,94.0656,100.0797,94.4125,92.1594,103.4297,95.9547,101.4656,91.8859,97.5672,101.6422,88.0516
C18_1_29,27.5556,84.4734,81.3109,93.2562,77.6234,80.4359,82.3766,79.25,78.9734,84.6875,79.2484,80.2125,79.0125,74.5156,85.8156,84.4516,87.9641,78.5922,83.7781,85.2172,74.9797
C18_2_1,127.6878,134.3438,138.0562,136.8969,141.9344,135.4281,146.2062,138.2344,134.2844,128.55,144.725,133.0,145.2875,145.8,143.3906,129.95,136.6469,145.3812,135.9625,141.5938,138.425
C18_2_4,113.0324,121.1375,116.5438,114.8406,118.1125,116.7906,118.9031,121.3062,108.1094,117.9656,123.1125,107.4031,120.8344,117.9719,123.9594,117.3469,120.375,117.3938,111.4531,118.7094,117.6156
C18_2_7,95.5205,120.4094,119.225,115.2,116.4312,116.9406,120.4062,119.3844,108.6219,119.6312,120.8094,108.5094,117.6438,118.8031,121.9969,118.4656,118.3531,115.8562,110.7812,117.4156,116.0906
C18_2_10,112.7114,115.1281,113.9359,114.025,113.625,113.0641,113.8594,111.1781,106.8906,112.2938,113.7469,102.2562,116.1719,115.6469,120.9219,110.8688,110.7094,112.4,108.8344,117.8219,115.0781
C18_2_13,108.5444,118.9781,113.8344,110.0219,113.9688,110.1281,110.4219,111.25,109.5906,108.9281,114.9594,100.2219,116.8438,118.6938,120.3969,107.4312,112.0094,114.8688,109.4062,114.9438,114.0438
