ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,119.1219,130.1828,131.8969,121.0844,121.7375,129.8734,135.2641,115.4312,133.6844,124.15,125.5,131.2375,117.9516,129.7625,133.3594,129.3094,128.4469,120.2375,134.6281,118.3109
C18_1_31,166.7103,117.7703,126.8844,125.4344,120.4688,117.0688,121.6172,137.7641,113.5781,133.8594,122.0453,125.4656,124.5656,112.6688,126.2797,134.2281,121.2656,122.8344,115.2812,133.1781,115.0844
C18_1_32,146.9299,102.0625,109.1812,110.9531,103.2047,100.6234,103.4125,118.8531,99.7812,118.1484,104.8859,109.5266,108.1984,95.0922,111.7578,113.9688,105.8016,104.1219,102.1547,116.8297,97.4766
C18_1_33,98.1913,77.2562,82.7344,82.5969,76.5719,76.0578,73.3391,92.6078,80.2328,87.8359,79.4562,83.1484,79.975,73.6484,90.7469,85.4641,74.9266,79.7875,75.4219,91.4141,76.3312
C18_1_34,75.2596,47.6578,51.9234,50.8078,44.9359,45.3875,38.1266,58.6172,53.0938,55.4906,51.3688,51.4516,49.075,43.9094,60.0938,51.1844,46.5703,48.6562,50.0188,59.5688,47.6484
C18_1_35,45.05,44.4016,42.9625,43.4859,37.1984,38.7344,34.6094,56.2906,47.1203,46.2469,47.1953,44.0875,45.0672,39.2672,54.2125,42.7219,43.4359,41.0797,50.5062,48.5281,47.5109
C18_1_36,110.2775,44.2609,39.3234,40.4297,38.1312,39.9828,37.6453,52.4891,50.225,43.0203,47.45,49.525,46.5156,42.4297,53.1578,42.0781,43.2969,44.0406,54.6219,46.4516,49.9141
C18_1_37,80.7098,50.6609,46.8672,51.8781,49.1453,47.4844,48.6625,59.5672,60.0312,51.5281,54.5203,56.0109,59.5062,52.6234,61.2516,56.2609,54.5484,55.0,65.0984,58.3906,59.2703
C18_1_38,79.6583,51.5828,51.9062,56.4875,54.6625,53.175,51.0438,58.6672,61.6844,54.0281,53.9734,63.1156,62.3156,57.8047,64.4047,62.1609,60.1141,57.6141,67.5625,61.1719,60.2125
C18_1_39,77.5694,41.8234,44.9,48.7047,48.6172,48.6719,42.1547,50.9891,51.8938,46.2953,46.75,56.4047,56.6891,52.2266,58.4625,53.0047,57.1969,50.325,55.4734,50.0734,48.6453
C18_1_40,45.6116,46.1031,48.0312,56.7672,56.5984,49.9875,46.4391,53.6281,54.9109,51.4734,50.9922,59.3766,61.7047,55.4297,64.7281,55.1719,60.7219,50.9906,55.5406,54.8453,53.9266
C18_1_41,50.4065,49.8406,51.5531,61.7109,55.5969,50.8766,47.3734,50.5094,56.325,52.0703,49.5438,61.6797,62.6047,58.9344,68.1344,54.0953,61.5453,54.2594,57.4922,59.6594,56.8141
C18_2_28,123.6603,121.9781,132.0938,122.225,127.4281,128.1344,120.9344,125.5281,125.3844,131.1375,125.8781,125.6562,122.3188,114.9031,119.3094,123.2344,128.1656,125.3688,121.9688,124.2281,122.3406
C18_2_31,124.7729,112.125,118.4438,106.7703,122.7281,118.075,106.2719,109.6062,116.4312,119.9312,117.6406,119.1906,114.1125,100.2141,111.1844,114.2625,111.1719,117.5844,110.0844,115.6844,120.9844
C18_2_34,145.9414,106.3938,114.7094,107.0938,110.8984,115.5594,108.5531,113.9094,111.0406,107.8391,121.7562,114.7719,107.15,108.1812,112.3266,108.1719,107.8906,109.55,105.6875,108.5219,106.6266
C18_2_37,147.8101,116.3344,121.9266,116.9469,113.3719,108.2094,115.4594,114.1188,113.6234,117.0812,114.025,109.0875,110.3078,115.0391,110.1984,109.5094,112.8891,122.2141,101.7547,116.1578,117.5453
C18_3_25,126.3387,112.7375,122.5781,110.65,120.0812,121.4688,113.9625,114.4969,118.1406,120.9344,120.1,118.5,114.6062,109.9531,116.2156,114.3562,122.0688,120.4781,113.3938,114.4562,116.4219
C18_3_28,136.3834,101.9875,109.2125,98.3172,113.5906,111.4062,101.2828,103.7188,107.2109,110.0656,116.1312,113.2969,108.475,102.4562,108.5562,105.8094,107.3469,110.5719,105.4953,107.8344,111.9188
C18_3_31,145.0953,120.4375,124.3594,116.8344,122.2531,125.7938,123.8656,122.5312,121.8906,125.0125,138.05,129.6438,119.5469,120.4219,128.0562,120.3188,122.9281,125.5906,121.2,123.9312,118.7219
C18_3_34,137.892,118.4141,123.375,116.7844,110.2906,109.3062,113.5422,114.1156,117.3406,117.1797,115.1516,115.925,114.0016,117.7422,112.7031,108.4094,114.8344,120.7406,107.9703,117.7125,114.6609
