ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,98.0672,93.5094,82.8297,88.9328,101.4562,88.6172,77.3484,97.9688,97.5875,95.8953,96.0922,92.1906,93.8,109.1672,92.7672,93.3938,103.4922,93.4125,79.4359,107.3031
C18_1_31,166.7103,97.6812,92.8156,84.7688,89.7859,102.8297,88.7391,80.4266,98.2984,96.7922,98.8969,96.1516,92.6938,97.4016,109.3,95.2109,94.9781,103.9609,93.2797,80.0062,109.7891
C18_1_32,146.9299,92.8609,87.9172,78.8984,82.6953,95.5906,83.2797,76.7297,92.9109,89.1188,94.4219,88.1953,89.1688,93.3891,103.8234,87.7281,89.6344,96.7688,87.2688,72.5984,106.0688
C18_1_33,98.1913,80.5656,75.0875,64.8547,68.1094,81.6562,72.4344,62.5594,77.5312,76.1812,81.6547,74.3906,74.4219,82.8719,90.2828,73.8406,73.9266,87.1844,74.8516,60.5891,96.2484
C18_1_34,75.2596,61.5609,57.6938,48.8875,48.9453,62.3625,53.0719,44.225,60.9047,57.0531,64.775,58.3812,58.6828,64.5,75.6266,53.1938,56.5406,67.4656,61.4922,44.7469,79.1359
C18_1_35,45.05,48.3281,46.3297,39.1594,38.2234,51.95,44.1391,35.3688,50.0281,46.8641,52.9312,48.9531,50.1672,54.0984,65.6953,45.0297,47.6609,57.2031,52.2047,37.3516,67.4953
C18_1_36,110.2775,38.3328,39.55,33.4688,33.4438,43.2297,39.7156,29.9578,44.1141,41.9656,47.975,42.8203,46.2391,45.9047,58.3078,40.8156,42.1859,50.9375,46.0234,34.125,58.2484
C18_1_37,80.7098,40.9203,47.3953,38.0531,37.5672,46.575,43.4359,32.7203,47.5062,45.8453,48.9938,42.2188,51.0297,48.2688,63.9969,45.1266,45.7766,55.7719,46.3641,37.3266,61.8438
C18_1_38,79.6583,44.3172,52.2484,39.0375,39.7734,48.7406,45.2422,37.1703,49.9797,49.1016,53.925,43.1391,57.4344,49.2219,70.8062,48.8391,49.3484,61.1203,49.7391,41.5875,67.3109
C18_1_39,77.5694,40.6625,48.5953,34.4469,36.5891,44.225,41.7469,35.0609,44.6406,45.1812,48.4797,38.4609,54.5156,45.25,65.8625,48.0406,46.5109,55.2578,45.7172,36.5203,65.0109
