,Count,RMSE,R2,Bias
0,128,72.31,-1.14,-56.46
1,128,67.98,-0.89,-49.78
2,128,71.15,-1.07,-56.68
3,128,67.11,-0.84,-50.77
4,128,53.48,-0.17,-33.54
5,128,68.21,-0.9,-52.6
6,128,71.62,-1.1,-54.6
7,128,61.29,-0.54,-42.43
8,128,67.25,-0.85,-49.86
9,128,64.12,-0.68,-45.51
10,128,63.14,-0.63,-43.35
11,128,59.05,-0.43,-38.97
12,128,63.04,-0.63,-44.75
13,128,63.58,-0.65,-41.67
14,128,67.64,-0.87,-49.62
15,128,69.42,-0.97,-53.06
16,128,59.24,-0.44,-39.69
17,128,63.31,-0.64,-44.63
18,128,70.97,-1.06,-54.35
19,128,58.88,-0.42,-35.24
