ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,129.9188,133.1891,139.6375,131.2703,137.8906,131.8984,147.6656,130.7719,144.5938,133.375,133.7625,144.1281,136.0438,141.5109,149.0219,139.6781,132.9562,130.0812,143.0875,135.5578
C18_1_31,166.7103,132.5344,134.9938,136.9562,134.3141,138.4281,126.7016,153.3875,133.9281,147.0781,135.2531,138.1656,143.8094,136.55,141.8047,153.7062,138.6594,133.4531,127.5094,146.6656,135.6141
C18_1_32,146.9299,121.6328,122.9953,125.6031,123.0719,126.6875,114.7766,141.1219,124.9438,136.2344,123.9469,129.0562,131.9562,123.8844,131.3891,140.0781,128.2375,121.6656,118.875,135.325,125.8812
C18_1_33,98.1913,95.9578,97.9828,98.5266,95.1547,103.4312,89.0844,117.3172,103.9141,106.6828,100.0234,106.5312,104.2,105.4906,110.5422,113.1266,100.7922,100.9578,93.8812,111.6375,102.3203
C18_1_34,75.2596,66.8375,67.1734,66.0141,63.8219,71.3281,57.6875,82.55,74.6297,76.7188,71.175,77.0219,68.5234,71.2828,77.3297,79.9547,70.175,70.8031,66.3781,76.9547,73.4906
C18_1_35,45.05,62.1094,59.8766,61.7766,53.9812,63.7016,54.9109,79.9875,65.8406,67.8406,64.8594,69.6391,62.8062,65.4203,69.7656,70.5797,65.2172,62.1406,63.5391,66.1016,67.9688
C18_1_36,110.2775,60.3969,53.3391,60.5109,52.9938,65.0328,57.6047,76.9609,67.125,63.3562,62.1125,72.2891,65.2172,64.8281,69.5922,66.3625,63.6516,62.0359,69.5938,62.7922,69.7719
C18_1_37,80.7098,66.6656,60.6516,66.7656,61.4344,72.6797,66.7812,82.3438,75.8172,71.8141,69.9172,77.4781,77.5906,71.2656,77.4828,77.7594,72.9703,70.8875,80.0297,73.0594,75.6109
C18_1_38,79.6583,68.0969,63.6094,68.1875,66.6719,78.175,65.2766,76.4281,77.2141,71.45,67.5594,82.7938,80.4609,69.6031,80.0906,78.5938,76.9078,67.5516,81.4875,71.3406,74.8656
C18_1_39,77.5694,58.9812,53.3062,56.9406,61.5844,70.3531,56.1688,67.2703,67.0609,62.9,59.8797,75.7406,73.5344,63.3594,73.225,70.0547,71.0438,60.2469,69.6125,60.7891,63.1672
C18_1_40,45.6116,65.7469,55.7312,62.3578,67.1938,70.5641,55.1922,68.075,69.9578,67.7391,64.125,75.5047,76.1266,66.3188,78.7984,70.6875,74.3156,59.1781,70.1844,64.7312,66.55
C18_1_41,50.4065,69.2609,57.0406,63.5781,68.1172,68.8984,54.3781,66.1984,71.1125,68.3859,65.7969,73.9,75.2828,71.1625,82.875,68.0875,75.0047,63.8344,69.8766,68.6266,72.0406
C18_2_28,123.6603,135.9125,138.9719,127.8125,136.0531,142.175,128.7531,134.5781,138.3469,136.6875,133.7219,130.9688,135.4781,130.2125,130.8781,134.2062,131.3125,139.275,130.4469,131.6688,139.6438
C18_2_31,124.7729,129.2344,127.375,113.5,134.2062,137.3344,117.2125,124.8719,132.8281,125.5625,131.7281,128.8,132.0156,122.4219,124.5844,129.1188,124.4125,133.3281,123.7281,126.7656,134.9781
C18_2_34,145.9414,122.1875,126.5,111.9562,120.1719,123.175,120.3438,122.0125,119.9594,121.5844,132.2406,123.0781,122.6438,119.1719,123.1656,119.9188,118.1,123.6125,114.7656,117.1969,118.45
C18_2_37,147.8101,120.5594,125.5312,110.8734,118.4688,118.3156,125.4188,116.0406,115.1438,122.6859,120.9625,123.8531,114.5656,117.05,113.6641,119.1531,116.5969,126.3094,111.3984,116.2781,120.2531
C18_3_25,126.3387,126.9125,130.6188,118.3,125.3281,137.3062,120.1125,123.8344,135.075,129.375,128.4781,125.15,124.3312,127.7031,124.9406,126.5469,129.5562,132.8938,126.5594,119.5875,130.2656
C18_3_28,136.3834,116.9125,118.3531,105.3188,119.0406,126.2,108.5625,115.4719,122.8406,117.7125,126.0969,120.7375,118.3281,118.5656,117.6469,119.0531,118.0375,125.1969,116.7344,117.6281,122.8812
C18_3_31,145.0953,127.9656,131.9969,115.0969,126.7188,132.775,130.4438,122.2062,125.2969,133.5281,141.4906,133.1375,124.9688,123.6,133.8719,123.8594,126.6,130.4719,126.2719,125.6656,121.2594
C18_3_34,137.892,116.4062,124.0312,104.9453,112.4344,114.8688,119.4281,112.8453,114.0141,122.0719,120.9734,120.85,111.0844,114.625,114.7531,116.2844,113.5625,125.4531,108.4203,115.225,113.6734
C18_1_6,57.4347,62.4828,67.2453,68.5953,63.5625,67.7953,63.0172,67.1453,69.1188,55.9172,71.7172,67.2938,66.825,66.0375,81.0484,66.8547,57.6312,56.3031,80.9234,67.9938,73.1688
C18_1_7,129.7623,104.7906,101.5406,109.3484,101.7109,108.9906,102.4375,104.0844,104.2062,98.3609,110.5016,100.5578,110.3812,107.7922,115.9297,103.0375,98.3203,103.3469,122.5812,106.6969,112.3047
C18_1_8,145.1451,124.8031,121.9469,131.0688,121.9016,128.0,122.8438,124.0625,119.9375,117.3188,128.5234,118.4031,131.0094,125.4875,133.4312,123.0422,117.45,124.6406,141.2656,125.1688,133.6344
C18_1_9,217.015,136.3594,130.0672,136.6344,131.4016,144.4438,129.2734,139.2375,125.2812,133.2062,141.2656,127.8938,142.0375,131.9703,141.8781,137.2375,128.7062,140.1062,147.4594,135.7938,144.3547
C18_1_10,209.2774,159.8297,155.5078,162.8344,160.0172,173.8125,154.5375,166.8594,154.9188,163.6688,165.7328,157.5375,170.8594,160.9375,169.8938,168.5781,161.125,170.6906,169.6281,163.925,171.0703
C18_1_11,203.038,161.8422,161.3156,164.15,170.5594,181.7219,161.8109,172.3484,163.4625,170.1062,172.3344,168.2938,173.4062,164.65,174.7062,174.95,165.4875,182.1625,170.25,171.225,180.0625
C18_1_12,103.8595,117.3609,113.6594,116.7625,126.9125,138.1594,121.025,126.0094,125.1062,127.9859,132.3,130.9969,128.2812,118.2266,138.5281,132.65,123.7141,131.1438,130.8594,131.7,133.4562
C18_1_13,86.9165,101.9047,101.2797,102.3109,114.0719,122.5328,107.6422,111.7766,113.6469,113.9125,120.2594,116.3484,111.2469,100.2016,123.3234,120.2406,107.9984,112.2453,113.9781,118.3797,118.5688
C18_1_14,66.9708,77.3016,78.7047,83.3734,86.4875,91.6969,82.8172,86.2031,90.1422,90.025,93.8344,90.7453,85.6453,75.3766,93.0562,93.9234,83.7016,87.3406,91.9828,97.3297,88.3562
C18_1_15,68.8493,61.8344,73.4953,76.9172,71.0672,77.2906,72.1281,77.2984,76.5531,82.8312,79.7047,83.4094,71.8047,63.6484,80.2438,84.025,75.1719,78.0234,78.6922,87.4406,71.7703
C18_1_16,54.8296,49.2328,63.5453,70.0875,61.65,66.6969,65.0812,65.8969,62.2297,70.8297,68.7297,73.9094,61.4141,53.6484,68.3641,72.5594,66.5969,66.0656,68.6781,77.6906,55.5328
C18_1_17,49.3681,51.1609,59.675,70.1656,60.8781,66.8781,62.8391,62.8562,61.0562,68.9891,60.9031,72.9062,61.8688,53.5109,64.4156,68.7969,68.0266,62.9109,67.9312,77.1031,49.1031
C18_1_18,50.654,47.0469,50.1656,65.4438,61.025,67.0766,58.8891,56.8016,58.2672,65.6562,59.2531,68.8703,60.2562,54.575,65.3172,58.8047,66.1203,57.3359,63.1625,70.1422,46.2844
