ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,180.8562,184.4125,174.7062,163.6375,163.2469,174.0125,173.475,175.6,181.5594,170.2656,170.5594,170.8406,169.1281,175.3281,189.975,176.2125,176.1031,180.3344,181.0844,160.4312
C18_1_31,166.7103,179.2969,196.6812,173.9375,162.1031,153.1375,175.3875,183.7219,182.7438,184.1531,175.1469,177.1594,167.7688,174.1188,175.4188,194.6156,180.6281,179.55,180.9594,178.1969,163.325
C18_1_32,146.9299,161.4594,183.8594,163.9969,146.7281,137.4312,165.9891,183.7594,172.7875,173.7375,167.0281,168.9562,155.3438,167.3062,163.9812,185.4094,170.1328,169.8031,170.5531,170.1719,151.7625
C18_1_33,98.1913,132.7703,161.9062,143.1031,118.8281,118.475,146.0844,173.0094,153.1906,149.2,148.8766,154.475,132.9156,149.4219,143.3828,159.325,147.5672,151.4828,149.9625,152.5094,132.85
C18_1_34,75.2596,95.5031,124.1609,109.1359,90.1328,89.7703,111.4078,136.8203,119.2766,112.7984,121.3125,116.6172,96.6844,108.6578,111.0859,121.8312,110.6375,112.65,117.5672,120.7094,101.9922
C18_1_35,45.05,87.0406,107.7141,95.75,83.7375,88.6297,100.5891,117.975,102.0031,96.9016,113.1375,102.7297,90.8359,91.525,96.5422,106.6734,95.8328,101.4219,103.9766,103.8719,98.9
C18_1_36,110.2775,84.7234,92.8609,86.6375,75.5109,84.0609,91.0672,102.4344,92.0484,85.7172,102.9359,93.3938,86.0094,83.0656,90.8875,92.5312,84.1578,90.1156,96.6625,92.0703,96.2016
C18_1_37,80.7098,87.0641,89.6078,83.1688,74.7859,83.3844,87.4984,101.6781,91.1562,77.2719,96.3516,93.15,93.0172,89.4297,97.6375,94.0359,81.9109,92.1562,96.5359,92.4422,99.7641
C18_1_38,79.6583,85.0344,86.4984,79.5578,65.25,74.2625,77.2016,88.5359,82.5438,64.5312,82.0125,85.575,88.5406,86.6703,92.3219,82.35,78.2516,84.3828,92.2719,83.2141,90.7656
C18_1_39,77.5694,72.7094,75.0656,68.7281,49.2688,60.6938,59.4828,72.1844,68.9703,49.8703,62.5609,70.0344,77.2469,80.1016,75.8391,65.6016,73.5969,71.4234,77.2266,64.6469,73.8672
C18_1_40,45.6116,70.7266,76.7391,74.5719,51.6609,58.075,58.8984,64.4547,65.3641,52.3547,60.3656,66.0031,76.2188,82.7359,72.7609,63.6828,81.8234,72.9125,77.3266,64.1453,70.1062
C18_1_41,50.4065,73.7203,84.4688,77.1891,55.4188,58.6984,58.7156,68.8969,69.1609,65.9047,64.9219,69.4125,76.5125,82.7625,79.1688,70.4719,90.7594,79.0797,78.4422,67.7531,69.5219
C18_2_28,123.6603,157.2438,155.2688,138.0219,142.5984,154.1062,133.5281,146.7422,147.9781,153.6125,140.85,140.1344,161.4562,134.7078,162.0094,136.5828,155.7344,154.6375,142.4094,145.3719,149.5562
C18_2_31,124.7729,143.2844,142.5719,120.1812,135.6188,148.0156,127.6922,127.5797,136.7312,132.9406,136.5312,137.6,145.8375,117.4094,144.3125,129.2812,143.3344,131.8781,133.2812,120.4,139.7219
C18_2_34,145.9414,120.6062,114.5625,105.7578,108.7031,108.8062,104.6609,104.1094,109.6281,114.3781,116.0688,102.0141,115.1547,100.925,120.2125,105.6125,109.9562,103.7578,108.2438,108.4984,110.9906
C18_2_37,147.8101,133.5312,128.3625,107.4719,120.875,124.6781,117.4812,122.7438,117.825,134.0281,125.7688,121.4375,125.5625,111.5203,126.3969,121.2688,124.2031,126.2734,114.4,119.8562,123.3094
C18_3_25,126.3387,146.6031,143.2078,134.1984,132.4188,153.0969,125.15,142.2875,141.9,144.5406,132.4938,131.4344,158.4531,130.0469,149.9172,129.2312,147.0094,150.0844,134.7781,139.45,140.9953
C18_3_28,136.3834,128.925,123.6828,110.8547,123.5203,138.9344,117.0328,117.9469,125.3078,120.6188,126.2094,128.3141,137.9438,107.8578,128.9688,118.2188,130.5922,122.7594,122.3891,114.5562,125.0891
C18_3_31,145.0953,133.3875,126.6125,122.0297,119.675,124.8641,121.7219,120.7891,121.2344,122.7094,129.6125,117.8781,127.4203,118.6047,131.0938,115.6094,122.8,116.9469,120.0875,122.4672,121.2812
C18_3_34,137.892,125.3656,120.2156,101.3594,110.0688,121.4375,112.0328,112.3281,105.1281,123.2438,120.6172,115.9016,116.0062,105.5953,121.7562,108.4281,114.5266,115.075,107.2375,106.0859,115.3219
