ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,90.4906,90.5891,70.0984,79.9438,70.0453,77.5141,79.4547,87.7656,76.4203,83.5125,83.1266,81.0859,79.8672,75.8922,74.1375,87.3375,89.5797,72.9969,85.0344,95.1375
C18_1_31,166.7103,85.8953,78.9906,60.2766,74.2016,71.0359,70.5969,72.9266,84.3047,67.4125,80.9828,72.3203,72.6469,70.9828,72.2203,72.0281,75.3906,78.8969,67.4844,78.9,89.2812
C18_1_32,146.9299,78.4734,68.8734,60.0438,70.4031,68.9938,67.3188,71.8703,80.8547,69.3531,80.3609,70.4531,70.2812,65.2953,71.4609,68.6391,73.2656,75.9172,63.3656,76.4,84.9406
C18_1_33,98.1913,71.4906,67.7375,59.3609,69.3438,64.4516,62.3875,66.8438,79.0688,68.9062,76.0469,63.9812,65.5594,57.6703,70.0219,65.3766,66.8562,67.6781,57.0469,75.6578,80.1859
C18_1_34,75.2596,60.6609,62.1703,62.1844,63.9234,63.2984,55.3469,60.6453,73.0344,63.4734,64.9922,58.7094,57.8828,49.7,62.4766,62.1734,55.9344,58.1078,47.2188,63.4234,68.0953
C18_1_35,45.05,58.4906,61.7891,58.6578,61.7609,64.4625,53.875,54.0219,67.2078,55.4156,60.2391,53.425,55.7984,42.8453,59.7703,55.4953,50.0234,51.2062,42.7859,55.3672,63.5797
C18_1_36,110.2775,48.4984,53.3016,43.175,50.7547,51.6812,52.0953,46.7328,55.6375,48.1375,53.0172,42.4922,52.9312,35.3891,48.1484,44.5469,41.0875,41.4422,37.1219,39.4547,55.1047
C18_1_37,80.7098,44.4438,46.6656,40.6438,43.7141,43.425,46.6188,37.9,41.9172,45.55,45.2562,38.7562,48.2906,34.8922,39.6047,33.9781,35.8969,37.2797,35.4406,27.9938,49.625
C18_1_38,79.6583,42.3531,38.6609,35.7422,36.3891,37.8344,44.2453,33.8172,40.0297,44.3531,43.1219,29.7594,49.5031,32.3203,32.7016,29.7438,28.1875,36.7688,32.3766,20.4281,46.3188
C18_1_39,77.5694,43.45,37.7188,34.5438,42.1484,43.8766,39.9516,32.0344,40.2203,33.9344,41.8031,32.225,51.0766,30.2734,31.4391,30.1109,22.7188,33.0484,39.2188,19.1766,47.7547
C18_1_40,45.6116,51.6875,38.6031,40.8656,50.7203,57.3953,43.9812,35.7891,44.3906,36.8969,53.5344,39.0859,56.2734,29.3531,41.3297,39.0328,24.0156,38.0609,49.5422,21.5078,53.7547
C18_1_41,50.4065,59.6922,38.875,48.8078,57.9031,65.1984,46.5047,39.2094,47.6578,41.8438,60.2078,44.1125,61.0188,34.7328,50.6047,52.1703,33.925,44.9094,62.2609,30.8516,62.3016
C18_2_28,123.6603,106.7656,102.9781,98.6656,94.8172,98.8812,99.4312,99.3266,97.7875,102.1969,115.6281,94.5922,102.3078,105.1438,100.7734,105.5391,119.1781,109.4344,102.775,94.9016,109.6094
C18_2_31,124.7729,101.9625,101.2625,92.0469,97.1547,95.8109,94.7688,91.975,98.0625,99.8281,109.2594,90.4672,96.4625,101.8719,107.1953,100.1281,107.9172,103.8953,99.6344,93.2031,111.8656
C18_2_34,145.9414,119.0969,123.7891,113.6016,128.9125,121.9875,118.5172,116.5938,127.0359,109.4984,117.675,115.1812,107.6812,123.2938,115.0172,118.85,115.0953,121.8438,111.7344,110.2922,116.1828
C18_2_37,147.8101,128.7719,131.1625,110.5188,127.4938,121.5188,119.7469,118.2531,117.95,125.7062,118.5812,110.2188,118.2844,111.6219,122.7375,132.9406,118.1562,117.9406,116.6469,121.5562,128.1438
C18_3_25,126.3387,102.0328,100.8484,98.5344,98.9047,100.7344,100.6703,99.4219,103.7859,99.15,109.3875,98.9719,102.2938,106.55,98.0953,102.0453,108.5625,109.9875,97.9359,97.9906,107.1594
C18_3_28,136.3834,101.1141,96.3688,89.4281,100.0609,94.6266,86.0844,90.3938,91.2781,91.8203,103.7109,88.4688,92.0797,98.6766,104.6344,97.2109,104.3484,99.5797,98.9562,94.2391,108.5125
C18_3_31,145.0953,121.3375,132.5734,119.6938,125.2375,132.6875,123.825,121.6594,129.0781,116.4922,128.4906,119.0906,119.8062,126.1312,113.5297,128.075,118.3656,126.8781,108.8141,110.8938,118.6062
C18_3_34,137.892,132.125,134.0188,110.55,129.8281,129.0,115.1875,122.7094,123.1781,116.7531,119.4062,110.4875,116.1688,108.5875,120.0281,132.7688,117.5719,122.8125,121.5875,119.2625,125.4156
C18_1_6,57.4347,62.4719,49.9891,59.9625,68.9312,58.85,52.7359,47.9375,70.2875,55.2297,48.1078,58.3953,60.6469,51.8141,53.7406,52.2469,54.8797,47.7656,59.05,58.2094,53.3359
C18_1_7,129.7623,68.2516,63.0812,62.4656,77.2688,73.25,61.1469,49.9891,70.725,55.1094,60.8672,62.6578,65.95,59.5062,58.2188,63.2516,57.9844,56.3016,69.6406,56.4828,51.025
C18_1_8,145.1451,71.1312,70.0922,65.9578,88.5625,77.7766,68.3141,54.9625,78.2844,62.8859,63.7531,68.2203,70.0672,66.4797,64.8203,66.5984,62.3734,58.4531,76.0453,61.0359,53.1125
C18_1_9,217.015,82.0266,79.4781,69.8641,99.0188,83.7141,80.45,67.3469,90.0562,79.3172,78.6297,67.3062,81.6922,72.1,81.1828,78.8078,74.6672,76.0,85.5047,75.0609,70.5312
C18_1_10,209.2774,91.8609,90.3062,76.6141,104.8094,90.7375,91.4141,74.1688,101.3359,94.1422,83.5062,70.5281,88.0406,77.1922,90.2625,93.8391,83.1734,87.65,88.8844,85.4578,83.225
C18_1_11,203.038,95.8453,93.4609,85.2594,102.3234,92.675,94.5547,82.8094,109.4266,96.4125,82.4,79.5422,95.1953,80.7438,92.4766,99.1203,88.3094,93.2734,88.0156,96.3438,86.5969
C18_1_12,103.8595,91.0594,85.3375,78.8219,87.6328,87.0828,85.05,77.8062,96.4781,81.1672,72.9969,85.6391,90.325,77.9312,78.1312,89.0016,71.8062,84.6953,77.4422,79.4703,77.1094
C18_1_13,86.9165,87.0219,91.2938,84.2484,80.9938,90.2109,87.3344,82.2047,88.5719,81.6062,71.0672,89.1438,87.9125,86.2656,73.95,82.5812,68.9219,81.7984,75.3344,79.8594,73.8781
C18_1_14,66.9708,74.8328,84.0078,69.275,71.5469,79.6906,77.4219,72.8203,76.7672,77.5984,64.2109,78.4469,74.4422,77.3109,60.9828,67.8047,62.6219,76.1844,65.2984,62.9406,67.1078
C18_1_15,68.8493,70.9969,77.15,66.4953,65.9219,75.2797,73.1766,71.9375,66.1344,66.1125,68.2609,81.2391,71.3375,80.1281,58.8781,57.6062,62.9344,66.8984,66.3031,59.0078,71.6359
C18_1_16,54.8296,67.5406,72.2031,64.2219,65.8297,69.1688,71.1406,67.1547,61.0172,68.4156,72.2562,81.3656,77.3062,73.4375,67.3531,54.6656,65.0734,63.7484,66.2,62.3125,77.2312
C18_1_17,49.3681,64.275,61.6406,70.05,75.55,67.0312,67.1156,65.4062,58.8016,63.8938,73.0438,83.8391,78.3422,70.8547,58.5375,57.7875,65.4484,65.4562,70.2328,59.9234,75.9703
C18_1_18,50.654,59.5156,53.8234,67.6703,74.7531,66.7109,62.0312,55.8594,60.7781,65.6453,69.5938,77.6859,75.1234,60.4688,63.0875,64.2094,56.1859,59.5797,77.6219,52.8719,69.4047
C18_1_19,59.1341,64.1047,54.5031,76.3172,90.8438,81.7609,67.8594,61.1203,70.1578,70.6766,73.1562,77.4984,78.5781,58.0625,70.4219,71.9078,58.45,60.1484,82.1031,58.2891,73.2266
