,Count,RMSE,R2,Bias
0,128,42.56,0.26,-12.86
1,128,44.14,0.2,-18.08
2,128,46.02,0.13,-14.57
3,128,43.51,0.23,-10.66
4,128,43.77,0.22,-11.43
5,128,44.73,0.18,-16.22
6,128,44.32,0.2,-13.29
7,128,44.28,0.2,-13.41
8,128,43.68,0.22,-12.19
9,128,42.5,0.26,-12.55
10,128,45.79,0.14,-11.6
11,128,44.59,0.19,-10.58
12,128,45.33,0.16,-9.42
13,128,45.26,0.16,-18.55
14,128,42.28,0.27,-13.65
15,128,42.76,0.25,-13.01
16,128,41.24,0.3,-12.74
17,128,43.31,0.23,-17.05
18,128,48.52,0.04,-12.69
19,128,43.93,0.21,-13.66
