ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_15_656,128.4828,65.4383,65.6778,74.4822,74.557,68.8488,70.6124,67.5459,71.5698,75.0226,63.8125,71.4677,69.2302,67.1005,74.4614,71.9882,71.1614,68.1902,68.1615,68.4317,68.9963
C9_15_658,97.576,57.8856,59.2145,64.5438,65.1651,59.3175,62.5359,61.8135,64.5413,66.4266,58.0291,61.4698,61.677,57.5475,67.7251,61.2132,63.2216,63.1889,58.6825,58.7868,60.5581
C9_15_660,77.6371,57.0628,54.9522,60.9614,61.8145,57.0593,58.2331,59.1675,56.3179,62.1679,56.172,56.5071,60.7803,52.0989,63.9622,58.5428,58.6658,60.9761,58.8155,53.9246,62.5072
C9_15_662,62.2459,52.5075,47.7825,55.0546,51.6281,51.6713,51.0088,55.373,50.2559,55.2391,52.777,47.9445,54.8054,47.213,58.228,51.7294,53.8021,57.0274,53.0602,48.6271,53.1878
C9_15_664,110.4211,57.0633,50.1228,58.0346,54.2177,54.4759,54.342,58.5915,52.2353,56.1956,54.3041,50.5559,59.0928,51.4643,59.9363,54.2712,58.8989,59.6873,56.4783,54.2663,57.295
C9_15_666,106.2627,57.2164,48.7381,57.0753,54.3367,54.6865,54.5669,61.2402,56.0448,54.6289,52.1264,53.5969,59.0173,53.2817,61.345,54.8436,58.8301,61.1214,58.179,55.0025,58.0932
C9_15_668,74.9118,56.2925,47.1208,54.8372,52.3111,52.0646,54.7022,58.1421,55.3995,51.0141,48.2569,53.004,57.1319,50.8292,57.8937,51.9286,58.0226,60.2395,56.3711,54.0875,54.9695
C9_15_670,58.9295,55.4337,45.027,57.1381,52.9521,53.1649,58.3271,59.1744,57.3775,52.9038,50.8382,54.8442,60.7377,49.8644,60.1516,53.7994,57.665,61.4774,58.9406,58.8154,53.8869
C9_15_672,52.6473,46.483,35.6888,47.8724,42.485,42.2707,46.4502,50.5066,44.2702,42.467,41.9641,41.8597,49.9425,39.2826,48.8141,42.1589,49.2047,53.2629,46.3162,49.3823,43.8957
C9_15_674,52.7308,47.7769,39.3247,48.8675,44.1705,42.0876,47.5293,52.2251,42.8883,45.5714,45.4145,42.191,51.9401,42.6534,50.8463,43.1268,50.2396,52.9352,46.0653,49.1882,45.3978
C9_15_676,69.6433,57.2924,50.8246,55.4164,51.9801,51.727,53.9946,59.9858,49.8462,53.7753,57.0722,55.1389,58.5956,50.7994,59.0567,50.921,58.8056,58.565,56.0707,55.6296,53.5159
C9_15_678,54.9227,59.6293,54.0473,57.2714,55.9672,54.9226,58.5975,64.544,52.5031,57.565,60.3153,57.6466,62.3633,57.5787,62.0988,53.264,63.0585,63.5734,57.6952,61.2245,57.1314
C9_16_711,74.8052,73.8888,69.3151,81.2947,74.4858,69.6685,66.3019,74.4335,75.8774,83.3794,65.3836,72.7245,70.4583,75.0495,72.7649,75.3922,72.1194,75.4109,74.3982,75.3816,75.4427
C9_16_713,63.6793,70.8958,68.0779,75.6835,73.1828,70.6988,65.779,71.7507,72.858,77.9393,64.6165,70.8377,70.4014,71.0565,72.1923,71.7493,68.5305,74.0436,70.3761,72.8934,74.0469
C9_16_715,60.8063,75.128,71.1353,79.8546,75.9526,75.7618,71.5754,76.624,75.0796,81.2741,71.609,75.8745,78.1723,74.2592,76.6152,75.8809,75.5356,77.5038,77.1544,78.9593,82.511
C9_16_717,62.4659,70.1118,65.0735,74.9295,69.1852,69.4085,67.7732,70.8516,68.5386,74.1932,68.161,68.6974,74.7013,68.8504,72.2179,69.8119,72.0304,72.2058,70.4,74.3837,75.1989
C9_16_719,63.9306,68.1115,61.8175,69.3393,62.5511,61.583,62.482,64.4321,63.4774,68.5672,64.81,62.194,70.3642,65.0649,68.0005,62.2654,68.2922,69.0617,69.6256,68.6802,72.3294
C9_16_721,60.6211,64.3245,58.8784,66.1635,61.1462,58.0089,59.7488,63.9004,62.4519,63.5867,62.5233,60.795,66.8974,63.7714,65.0006,61.2515,66.1368,66.8023,69.1694,66.7968,69.2336
C9_16_723,70.8336,66.4637,63.7968,66.0318,65.0235,60.0715,66.5443,63.8601,67.1907,67.6383,63.6695,63.6897,67.9757,63.21,67.3712,64.8334,69.4861,67.9239,71.6455,68.0009,68.8014
C9_16_725,61.7543,65.9986,63.6027,65.4218,64.9946,60.9307,64.8155,62.2676,68.9604,68.4259,64.3057,63.7731,70.1203,61.6835,68.5671,63.9574,69.5624,68.0014,70.92,69.9082,68.814
C9_16_727,59.0442,59.7013,55.6661,55.9351,57.9726,55.0952,57.2128,56.376,60.756,61.4997,59.2227,56.4113,65.1062,52.1513,63.7485,58.2027,65.0763,61.609,64.8051,61.3494,59.3985
C9_16_729,52.0158,55.568,52.4534,51.6594,54.3965,49.0058,54.0813,52.3256,52.7942,56.0963,54.4897,51.8942,61.2115,49.332,56.8652,52.2274,61.3529,57.5932,57.4235,55.5828,53.9133
C9_16_731,51.5656,65.5965,62.9329,59.5563,64.122,61.5604,67.7413,63.3807,61.8867,65.7831,66.669,65.1112,72.4805,59.7285,67.7231,60.7695,73.0208,66.5167,67.3296,64.6934,65.3809
C9_16_733,53.8779,61.5968,60.9988,57.769,61.0075,59.7372,63.0281,64.4674,60.3909,64.8606,64.6208,64.3923,68.709,58.7136,66.7231,59.775,70.4799,66.9878,63.9836,63.6906,64.8085
C9_16_735,82.2779,60.5506,59.791,59.8117,60.5294,59.9019,59.027,64.0553,60.2077,61.5464,59.3635,60.6127,68.3988,57.4107,66.3777,57.103,67.6443,64.7137,63.1975,63.9042,61.6624
C9_23_699,82.5528,74.2587,67.2656,81.3915,78.6897,75.7561,70.4044,67.5607,71.8538,80.517,73.6807,71.5986,74.5063,67.5662,78.6104,78.3135,77.3272,74.115,68.6318,76.6045,76.562
C9_23_701,60.7163,62.4521,54.8526,68.2766,66.8698,66.6668,60.4724,56.4616,59.2034,67.387,62.6169,60.1545,65.3497,56.5541,67.7888,65.5021,65.246,66.3978,57.8928,65.9133,65.7012
C9_23_703,66.1093,53.321,42.9813,59.5793,53.4313,57.7705,49.1716,48.3644,48.2419,53.7482,53.1656,50.3651,58.6743,49.2689,57.8696,54.2155,55.0151,55.261,50.9249,55.2388,58.4211
C9_23_705,49.5385,50.7613,39.5647,53.0336,45.8246,53.0938,43.9378,44.7472,42.9628,48.4997,49.9988,42.8816,55.8414,46.1588,52.816,48.2046,51.3422,53.983,46.9213,50.1022,55.3004
C9_23_707,85.251,49.8628,40.5644,53.6061,45.7549,53.1775,45.9245,43.9679,45.1436,45.8853,51.1139,45.279,55.6736,46.3677,52.2909,47.2704,53.673,54.3527,49.2217,50.0053,57.3998
C9_23_709,88.947,53.5186,42.8677,56.6659,49.1061,55.756,47.6822,50.6922,52.1509,49.696,56.636,50.5766,60.7329,50.8524,57.2038,52.8561,56.6523,56.7852,52.6129,56.9329,61.6235
C9_23_711,76.4709,52.5677,44.7301,54.6784,50.654,54.137,49.9654,52.8275,51.8964,48.8204,53.9247,51.3882,60.0872,49.0461,56.29,51.0613,57.751,59.2827,50.5532,58.482,60.6556
C9_23_713,60.3452,51.6296,41.9185,54.0777,47.8645,54.2472,48.3979,53.3761,53.4022,47.6474,55.2978,47.7162,61.9704,46.9104,58.5118,48.6096,59.2706,59.0866,50.9801,60.7625,58.7398
C9_23_715,50.9302,48.2687,36.9534,48.6909,44.9957,51.8281,45.3295,49.3206,48.7553,45.5348,53.4867,44.4743,57.661,41.8464,55.596,45.5881,56.1642,55.1045,48.1336,57.0128,54.0745
C9_23_717,52.3961,49.8762,40.1642,50.1814,48.4209,51.0279,47.0157,51.0773,48.1671,47.266,53.7493,46.0866,59.628,43.4164,56.8573,49.3507,57.1513,56.2414,48.23,57.2093,57.3775
C9_23_719,48.8809,53.0279,46.2392,53.5769,51.0291,54.4201,49.6222,54.5051,51.8936,51.9568,58.5847,50.9908,61.6165,49.2335,61.2837,52.8695,61.7923,57.8956,50.2249,60.875,60.2661
C9_29_669,76.3416,96.6976,100.7077,100.3602,90.378,86.1899,87.9638,94.6826,96.9405,108.0441,97.16,96.7515,97.0296,87.4536,93.6637,97.988,102.0343,92.9846,97.4148,97.414,102.8722
C9_29_671,77.9656,88.4739,94.7258,92.9524,84.2904,86.5437,80.5381,87.3815,94.4988,98.7109,92.4495,89.7309,93.0567,83.1907,87.8917,92.0766,93.252,89.042,89.6667,92.8172,95.7077
C9_29_673,71.5039,81.7354,89.3175,93.2129,82.5079,79.3146,77.2,82.2483,92.5347,94.6738,87.3697,90.4217,88.253,77.2383,85.6401,84.8798,87.1188,85.5499,87.3956,89.1332,94.1022
C9_29_675,61.1103,75.0339,77.6107,83.6765,77.5964,73.3965,67.6993,76.3277,81.4135,87.5487,80.531,80.1956,80.8463,68.8331,78.4479,74.1336,78.0124,76.5956,79.1869,80.8348,87.851
C9_29_677,57.8764,74.1514,79.6891,78.3371,75.4966,71.1961,67.7743,73.2454,77.5748,86.1213,75.9786,78.547,76.2891,61.0213,75.3747,74.2034,74.5967,72.5901,76.606,75.6908,85.7897
C9_29_679,59.2422,79.8053,86.7874,81.5343,82.6329,76.2932,79.5242,79.1444,84.7467,91.4718,84.7032,87.0795,79.9448,72.6115,83.8086,77.1833,80.1512,82.6279,86.0878,76.9573,93.6456
C9_29_681,53.1176,71.7143,75.5249,70.5742,70.3764,70.0077,73.1577,70.9908,74.9101,81.8453,75.7133,76.5688,76.0573,62.9425,76.3197,72.5951,75.2196,69.5388,79.0076,70.8869,83.724
C9_29_683,49.3124,67.1459,70.1541,69.3065,67.2304,68.6006,66.5733,64.6839,71.9432,71.6871,69.9342,69.0851,75.9546,61.813,69.8928,64.8068,73.9719,65.6802,78.022,66.1915,78.412
C9_29_685,51.2034,65.1679,65.4611,66.6384,62.868,63.9852,62.6525,59.5146,66.7036,68.3382,65.6613,65.5658,73.4579,57.5884,70.8558,61.4643,71.0994,57.4059,72.7612,62.3042,73.3601
C9_29_687,46.9006,70.1911,67.4363,69.8952,67.7496,63.2166,66.8037,63.7589,72.6288,74.5911,71.1015,71.9884,75.6169,59.1922,73.6555,64.7435,75.1326,64.8389,79.0768,65.1406,78.4578
C9_29_689,43.148,68.362,62.8422,68.9996,65.3146,64.6992,65.4818,64.831,69.14,74.4918,74.2668,74.1089,74.3113,57.1456,74.5855,67.5553,74.8242,61.3663,79.3817,65.9696,75.2144
C9_29_691,38.7235,63.8813,54.9903,65.797,65.5088,62.5101,67.4559,67.0525,67.5864,73.5434,68.8742,75.4661,71.7544,54.7945,72.0008,66.2783,69.3366,60.1208,75.8515,63.7866,71.1078
C9_36_683,93.7156,91.7638,92.362,102.913,95.4672,88.4486,98.9459,99.1101,99.5636,109.7823,92.3539,100.3542,89.8948,98.0495,99.5417,99.6395,93.6003,91.7889,102.5745,96.2273,97.2446
C9_36_685,82.1025,84.654,85.7678,92.179,86.3034,80.1899,89.2659,91.4574,90.3672,96.3309,83.4491,91.3535,83.4357,86.7085,90.1192,89.0476,86.885,82.9307,93.3931,84.8014,86.4974
