ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,105.6453,115.0484,122.0375,110.7469,126.9,116.1062,108.2656,113.8312,106.8703,121.2531,124.4938,105.8047,125.2562,101.3938,99.7781,116.3797,104.2625,114.1438,111.2188,100.775
C9_11_635,120.1684,104.5344,114.3875,113.4125,102.4188,116.8844,112.9281,105.3562,108.3438,103.9312,119.7906,120.5656,98.05,116.1344,97.5375,93.2594,110.3953,99.7406,108.2594,102.9984,100.8469
C9_11_637,111.5237,102.0469,107.3094,106.4609,97.4609,108.6453,103.7297,104.3938,103.0125,99.1438,112.1406,111.4859,97.2406,110.3062,93.3719,86.5,107.3266,94.1141,104.35,99.6281,97.175
C9_11_639,112.5072,93.0812,100.7906,98.4578,82.3172,93.8531,91.7984,90.35,95.4531,94.1156,104.3594,105.5469,81.975,103.9484,81.3078,75.4812,101.5062,82.9125,93.7766,91.8391,94.1859
C9_11_641,101.0365,97.1312,103.8875,95.1406,85.9797,96.4094,89.6469,100.4594,93.425,86.1844,102.6156,106.0906,89.0953,105.1359,90.925,83.9641,100.5125,86.9109,94.9281,90.1594,99.3125
C9_11_643,98.8976,90.15,97.4094,91.5734,76.4328,89.9562,80.9859,89.3844,88.6156,82.1438,98.9422,98.5969,83.7875,100.1281,83.0875,75.5,97.5297,83.6672,84.8797,81.1328,90.7969
C9_11_645,87.7409,83.6219,90.4844,86.0453,70.7766,83.0078,76.3938,80.8266,84.0906,74.9625,94.7141,92.1516,81.2953,93.1875,85.6266,69.1156,91.125,78.7562,79.0797,76.9234,83.8406
C9_11_647,82.1994,81.2047,86.4219,86.9969,68.4766,79.9266,75.8562,74.4438,82.5875,75.5156,91.3156,91.4766,83.6188,90.4453,86.1984,66.9484,90.5094,78.7922,79.2016,76.3672,79.5234
C9_11_649,79.5893,79.0812,85.0312,81.4844,66.6406,76.4547,72.8,71.7125,80.3656,71.8531,87.8594,88.7781,80.6781,87.4406,82.3281,62.8031,87.1234,73.6375,76.0109,73.6438,77.725
C9_11_651,70.7803,75.8906,80.4797,76.9922,62.8422,72.1656,68.4234,69.0812,80.3219,70.2328,84.6531,84.5406,74.1734,81.7953,78.5234,60.9016,84.4469,69.5891,70.1594,73.3641,74.8047
C9_11_653,76.5726,75.8312,80.4422,78.1562,66.5625,73.4375,68.7094,69.6297,77.9625,69.4797,83.7953,84.9203,70.6484,82.4719,80.9906,60.4828,87.4359,66.6531,70.9203,70.6547,77.5859
C9_11_655,92.0816,69.4875,80.2438,81.7656,66.0547,73.0438,68.0031,66.6969,74.9547,70.1203,83.8453,86.4562,66.2,82.8359,75.5672,59.8906,88.2594,64.2812,67.1109,65.9438,77.4656
C9_21_538,154.5127,116.1125,125.7125,137.8344,126.325,132.5469,116.4625,126.1312,123.2406,125.1344,126.4469,126.7844,134.875,125.725,133.9469,133.275,136.1656,133.7844,126.0094,130.9812,125.5844
C9_21_540,114.483,102.4938,105.3719,104.9156,91.7406,105.5938,92.1031,107.5094,100.5844,106.4406,105.3812,108.4094,100.8781,101.8531,105.4344,102.825,102.5906,100.2594,104.175,106.5656,113.8031
C9_21_542,111.2027,99.0312,100.9438,101.1719,88.3094,103.4453,89.1484,102.5625,97.1625,106.5156,106.3344,103.9188,99.8844,99.6719,104.7594,96.8875,103.4938,94.05,99.1281,102.7688,112.8875
C9_21_544,106.2905,87.6594,95.4062,90.0938,86.6812,96.7094,84.375,96.8469,91.2375,101.825,98.3281,95.4094,94.7906,98.6094,97.9188,90.6062,98.3875,93.1906,94.6844,95.1922,105.6312
C9_21_546,98.2654,82.5844,89.4344,90.0594,85.7453,93.4188,84.2219,94.1281,87.5375,100.275,98.8156,91.7156,93.6156,98.6844,95.9344,88.6156,96.9812,89.9453,95.6875,93.5531,105.0312
C9_21_548,90.5555,73.9422,82.5844,84.2281,82.0062,89.5297,80.9266,88.6969,83.7062,91.8031,88.5188,84.1594,88.1125,91.7062,86.8438,83.7688,87.6312,89.6031,90.3031,88.175,98.4969
C9_21_550,97.2147,75.1062,82.3688,82.8531,84.4984,84.9656,83.0859,86.8375,85.8938,85.8172,87.7609,85.0594,86.3844,90.9562,83.3234,83.4094,82.1219,88.25,89.3594,85.4141,96.2688
C9_21_552,96.1077,73.7281,78.8609,78.5359,81.7281,87.275,78.0766,86.4875,90.4844,81.7766,79.0828,83.4578,84.35,89.5719,86.5812,84.3781,80.3656,85.3875,82.6656,83.4094,87.8969
C9_21_554,87.7861,76.7672,82.4578,77.4625,83.2906,81.0766,77.8094,85.3219,93.4844,83.2641,76.9719,83.7828,82.8453,88.1812,88.0406,87.7156,79.2062,87.1656,81.9859,81.6797,93.425
C9_34_596,127.2339,128.3594,119.925,136.5688,142.7125,122.7062,122.2812,136.5125,132.3094,121.5531,116.0125,118.5906,125.6,134.2656,113.9719,139.5688,119.9188,119.6312,131.3094,139.1906,122.3844
C9_34_598,114.9832,102.7594,109.8406,117.5594,110.2281,116.5906,114.7344,126.2531,117.3281,115.2719,99.425,107.4156,107.25,118.0,92.1875,116.6844,97.0844,111.3188,108.9344,129.1031,98.0094
C9_34_600,100.9903,83.9719,103.2016,104.5688,102.0938,111.025,104.5188,117.0531,108.5469,116.0312,100.4469,92.8078,99.6344,104.175,85.3016,107.4281,90.8,99.7297,93.7375,112.6406,93.6766
C9_34_602,96.0488,80.0359,100.9156,99.9312,100.8344,106.1625,100.0031,113.0469,98.0031,110.5938,100.1531,87.2469,94.5844,98.2953,82.6875,102.5719,89.0406,96.5203,88.25,103.1031,91.6219
C9_34_604,89.939,79.1,100.7844,101.2594,98.6125,102.1938,93.1578,109.1469,93.0844,104.625,96.7188,87.6078,90.5,97.9203,76.1938,99.3281,93.6625,97.6469,82.7422,99.5281,87.2078
C9_34_606,78.4006,70.0703,83.4156,89.6406,81.8422,90.9719,85.4859,93.5656,77.6656,92.3188,85.4406,79.1344,80.2906,88.6078,62.3109,85.4594,86.5281,88.4938,74.5812,80.1031,69.7312
C9_34_608,75.9138,70.6391,80.2219,90.9344,79.9188,88.6594,84.9062,89.1844,81.9844,92.8188,82.5469,79.5266,75.4359,84.3422,61.4859,81.6312,84.1344,86.7016,71.4406,74.9312,67.4297
C9_34_610,67.5352,74.2,79.3594,90.3031,73.8906,91.825,79.1172,88.4031,86.0938,93.8312,80.9125,81.5141,78.6703,77.875,61.5641,77.4844,79.8516,80.7203,71.0234,75.3109,66.1531
C9_34_612,70.6463,74.3781,79.7359,87.925,72.3938,87.5578,70.3938,88.9906,85.6125,87.8906,76.1328,82.5844,82.1219,71.5031,61.7234,79.8891,80.4031,75.5891,73.8922,80.2453,73.5484
C9_34_614,89.6165,77.4875,83.7891,92.6844,81.1562,89.9672,72.5828,97.7469,86.6422,90.4438,79.6688,85.3,86.1234,69.6688,64.3375,92.7781,82.2125,74.2953,77.9484,87.8906,83.1188
C9_11_605,96.0562,124.85,119.5562,122.6312,117.3312,125.0656,115.3984,115.1406,126.8594,116.0938,129.1375,124.7562,124.4906,132.6969,116.0062,106.9281,126.3438,120.3031,112.1031,124.5062,124.0156
C9_11_607,83.859,111.1766,111.3531,106.5094,101.9516,113.1562,106.6906,103.5344,114.2906,102.8703,116.8031,108.8219,110.4375,113.7344,104.2562,90.7469,114.8188,103.1375,101.0281,110.3312,110.0562
C9_11_609,98.9186,99.1312,104.9812,97.5109,91.5312,102.2984,93.8219,90.7812,103.1281,86.6719,101.6438,97.1234,101.4484,105.1484,90.2875,72.5375,103.6906,89.1812,93.5172,97.8094,94.2938
C9_11_611,95.8895,95.6531,101.2625,94.3984,87.2094,98.6094,93.6938,82.9453,95.4844,81.6562,98.4969,92.2484,95.0375,100.5594,86.6047,63.9141,98.2,79.4281,88.8594,93.2172,89.5781
C9_11_613,87.1752,85.3062,100.4094,96.55,90.1641,95.2719,93.3984,83.3734,92.8344,83.4469,92.4906,87.1438,85.9188,95.3219,82.8859,65.3969,90.1516,82.7469,83.3078,86.6891,87.0531
C9_11_615,80.7468,84.4844,96.7844,89.0266,86.8391,88.4156,91.1734,81.6094,88.5469,77.0812,87.8719,83.35,85.9438,93.8562,84.2203,59.8312,91.2359,81.2156,79.7891,80.8969,86.1141
C9_11_617,75.9972,78.1141,89.6781,82.5609,79.275,84.6453,85.5594,78.7406,81.0422,71.25,79.2734,75.3484,80.0766,85.5844,77.1922,53.5438,84.1438,77.4906,68.5203,78.0531,81.4406
C9_11_619,75.1729,76.5156,87.1797,85.8906,80.7875,82.6266,86.2344,79.0984,78.6984,77.2,81.6281,76.525,82.5672,82.8297,77.4391,54.55,84.4031,80.1156,66.6906,75.5828,83.6891
C9_11_621,68.5735,78.8422,85.9438,82.825,79.55,81.7953,76.9469,75.6312,81.5906,75.5047,76.2,76.5891,81.7734,82.0906,73.1203,54.6531,79.5766,76.8625,64.5406,76.5125,83.4172
C9_11_623,62.9342,80.8922,86.4938,81.525,78.0531,81.6859,73.9906,73.3531,80.6516,77.9516,77.6641,79.5844,82.5,80.4359,71.5234,57.3062,81.3625,74.3469,63.6031,75.8156,80.9438
C9_11_625,62.2371,75.2547,80.8078,79.9953,73.0297,72.4844,69.5109,64.6828,76.5469,72.9328,75.1641,77.85,82.4609,77.6375,68.9141,57.3469,80.1109,70.1797,62.2688,68.625,76.1547
C9_11_627,60.5291,68.15,81.1219,75.1047,67.6984,68.2281,62.8156,61.6094,73.4562,71.3688,71.0594,72.4688,78.0844,75.3422,66.1328,51.925,76.3,66.5578,61.2359,68.5953,68.9359
C9_11_629,57.9146,71.0969,82.4031,83.4156,72.8578,70.1609,74.5422,69.9859,79.0438,75.9344,79.8172,75.3109,82.4312,80.6953,69.4562,57.3672,80.2594,71.7016,70.2938,74.95,75.7891
C9_11_631,70.4909,79.8109,90.7062,86.2688,79.4078,80.3016,86.3219,77.7266,85.2234,80.6297,85.6688,82.9094,89.5312,87.4844,79.4438,63.4469,84.2438,78.6141,72.3281,83.475,86.3312
C9_21_520,118.0744,99.6406,108.8688,113.0562,107.2969,106.8188,105.9719,120.2531,93.1047,111.8312,104.8031,106.9125,119.9312,107.9719,95.625,106.5844,115.5219,115.4781,111.7719,109.2406,112.575
C9_21_522,109.1189,99.1594,106.7812,105.65,101.0969,101.3094,103.4344,115.7188,91.7812,106.7125,98.2781,101.2594,112.7531,108.175,87.3812,102.4281,112.3688,108.5188,105.4094,104.6312,102.9594
C9_21_524,98.3653,93.5031,95.675,98.5688,87.4812,101.5484,95.8406,100.5047,94.1922,94.1469,90.0312,90.1312,101.7875,102.875,78.6484,97.0,100.8094,98.8156,94.5531,95.9375,93.5312
C9_21_526,91.3067,93.625,98.0,99.6125,88.4906,100.8969,95.7969,100.0125,95.1406,96.6,92.6906,94.9188,99.6312,102.6969,83.2031,97.7156,103.4969,96.9281,100.025,94.0125,97.7656
C9_21_528,87.5379,93.575,97.3281,98.8438,92.7,100.9125,94.2969,97.9812,97.9375,97.1312,91.3094,98.2641,93.2469,97.5688,84.75,95.8062,98.0344,95.45,100.6688,89.025,96.9
C9_21_530,99.3855,94.9875,98.7344,97.6375,96.5281,98.8344,100.7625,101.7812,96.5719,95.2984,94.2219,99.3453,92.4312,101.1531,88.0297,91.6719,97.1422,96.925,98.3719,90.0031,98.5188
C9_21_532,103.4866,97.0219,98.5562,94.8344,93.1062,91.6812,101.2906,98.6031,96.9781,96.7969,97.6344,98.5172,90.1594,96.9219,89.2281,87.8875,100.6438,94.025,98.1219,88.6719,103.3781
C9_21_534,95.6801,100.4031,103.15,98.9938,97.4281,92.2344,105.5062,103.4562,102.7469,100.8125,99.7219,96.4031,92.0688,102.5594,92.6688,94.1484,103.2938,98.7969,103.0406,98.6969,106.7188
C9_21_536,104.5464,111.9344,111.75,108.2719,105.0062,104.45,121.1938,108.7875,104.2844,116.3594,116.8875,105.4906,118.975,113.4906,107.7062,98.7094,114.425,110.2812,110.4656,102.3531,115.6344
C9_34_580,102.3956,133.9156,119.6656,136.5219,120.6625,130.0875,111.7688,136.0,124.8406,136.2906,92.9031,114.6156,120.3406,125.4969,93.7469,130.375,110.7375,113.2469,131.6719,127.2438,119.1031
C9_34_582,95.5547,130.25,116.9688,132.7375,117.9906,121.975,114.4156,131.25,122.4031,130.1938,92.4922,112.2219,122.7062,122.6969,87.3891,123.6031,115.7125,106.4656,119.5469,127.0938,109.6625
C9_34_584,101.152,113.0125,103.9031,114.7031,105.1094,103.7781,108.1188,119.1906,108.5031,117.4875,94.9969,103.3594,104.225,106.8781,78.1422,111.025,110.1125,99.4,103.3312,113.2406,91.7062
C9_34_586,91.0888,105.425,98.7688,109.1031,100.9438,97.7844,105.2406,111.4125,102.8312,112.6656,94.8625,101.7375,94.3703,101.1094,76.3562,103.075,109.6656,101.675,98.4469,108.5062,88.9344
