ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,109.0281,116.7969,124.7656,114.7656,127.4625,119.7375,110.45,118.125,100.1453,123.4906,119.7672,116.9,120.3969,100.3453,107.3172,115.2656,103.9672,115.7859,113.125,105.975
C9_11_635,120.1684,105.3625,109.3391,112.1688,107.4656,117.9375,112.5531,104.0156,113.3469,95.5453,120.4062,110.325,109.2781,105.2219,96.5531,96.8891,107.1844,97.1344,109.7141,107.7078,102.4016
C9_11_637,111.5237,104.5688,102.2344,106.5656,102.2562,111.1172,109.1938,102.4312,106.6859,97.325,116.3062,104.6266,107.1453,101.4281,91.875,93.7047,110.5297,93.9781,109.9125,102.3391,99.6359
C9_11_639,112.5072,96.9672,91.3984,100.7375,89.9812,98.8328,100.9359,93.4938,97.4656,89.2828,107.1688,97.8516,95.1781,92.825,77.9703,81.9859,100.5094,85.0797,103.2844,95.0656,91.1453
C9_11_641,101.0365,99.175,98.2734,99.2312,92.6188,103.7266,101.5453,103.9281,101.4438,92.4234,107.6109,103.3812,103.1672,97.2766,82.3312,91.2969,104.6,90.3297,103.9641,97.4938,96.775
C9_11_643,98.8976,90.175,88.7328,93.8297,83.8172,95.1719,91.3609,93.9984,92.7828,83.925,101.075,97.6391,96.5328,92.7906,72.9719,83.975,97.3344,84.2594,95.7766,92.3984,89.3078
C9_11_645,87.7409,77.5891,84.2641,90.1578,77.5094,88.0375,85.75,86.3188,85.9547,77.4703,92.9438,91.5734,91.2031,87.0969,71.5812,75.7953,89.7,79.3859,89.575,88.8406,82.8109
C9_11_647,82.1994,71.8578,79.0266,87.2172,74.1578,83.175,81.1828,80.9844,83.6281,75.9828,92.2578,88.9156,89.8047,86.7516,74.5344,69.25,82.5359,76.3891,83.4922,84.6625,78.4922
C9_11_649,79.5893,68.9109,76.2359,84.6062,71.5203,79.0297,77.7484,78.5344,80.7531,70.1516,86.8828,84.2938,86.0938,85.5672,70.8938,65.0453,77.4328,71.5516,76.6578,78.7125,75.3328
C9_11_651,70.7803,64.8953,70.8172,82.25,68.3688,71.9562,70.7859,75.2031,80.5719,67.4828,82.9781,80.9281,82.8156,82.0969,70.2047,61.3531,74.8094,68.2688,71.2062,74.8516,75.0375
