ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_15_656,128.4828,65.977,54.1949,62.7293,63.1242,83.1684,74.4078,69.0437,66.6595,63.5856,67.6756,69.4539,64.7931,63.8575,60.212,65.4924,64.7511,70.3879,76.364,65.6949,74.9526
C9_15_658,97.576,64.4833,53.3749,61.4461,59.9255,81.2299,72.3254,68.4742,64.4553,62.182,65.039,66.3684,62.1446,64.3628,58.5908,64.5427,62.9699,68.7228,72.7993,64.0955,73.0926
C9_15_660,77.6371,63.2811,52.9628,61.2084,58.1611,80.4628,70.9386,69.4783,63.5047,59.3043,63.4131,66.023,59.9917,62.4769,57.9259,63.0048,61.215,66.3055,71.6929,61.6388,72.4868
C9_15_662,62.2459,60.9093,52.168,58.2491,56.025,76.3427,68.0759,68.9003,61.8725,57.5442,59.6502,64.5974,56.9971,58.7471,57.3977,59.7881,56.7857,62.0015,68.4245,58.6715,70.3246
C9_15_664,110.4211,62.1915,54.6883,59.2473,58.2046,78.2239,68.0624,67.7293,64.4924,56.1912,59.2706,65.545,57.902,60.2307,59.4493,58.6503,59.098,61.2435,71.5172,58.2389,69.4648
C9_15_666,106.2627,61.1421,55.907,58.5221,56.8737,76.1792,67.4256,67.9339,63.328,55.9055,59.1613,65.8781,57.6301,57.5814,59.8443,57.9763,58.3236,60.3856,69.15,56.9059,69.0364
C9_15_668,74.9118,60.5382,55.6323,56.9944,54.8053,73.705,66.4033,67.2314,62.6884,53.879,56.6949,63.9113,56.0552,57.2613,56.7959,55.8729,57.9413,59.6288,68.0517,55.7813,65.3489
C9_15_670,58.9295,57.3406,52.2824,56.764,54.3831,72.1158,64.8097,64.1759,63.7475,50.7419,56.8471,63.1843,56.1218,56.8815,55.5154,53.651,58.0821,58.0537,68.4429,54.833,64.3155
C9_15_672,52.6473,56.415,49.7579,54.5529,51.2643,69.4753,61.5528,60.8948,60.5622,48.3616,53.2131,59.1872,52.8011,53.7746,51.3284,51.7042,56.3258,55.9728,66.8263,51.7823,61.2227
C9_15_674,52.7308,55.6422,49.5251,57.2584,50.7789,69.6495,61.2421,59.7522,60.1177,49.1679,51.589,59.4843,52.1424,54.7327,50.3868,51.9333,55.3587,56.7474,66.5167,53.2088,61.4056
C9_15_676,69.6433,53.065,48.9177,57.2184,50.4976,70.3814,62.0919,60.6784,59.6563,47.5221,50.347,58.6398,52.782,55.142,50.5981,53.1351,52.9563,56.1354,64.3067,55.0299,59.1989
C9_15_678,54.9227,53.44,49.2364,57.4926,51.5075,73.5549,62.4755,62.5205,60.2262,49.0126,50.1403,59.2136,53.9744,55.7578,50.4584,53.4248,53.7286,58.0865,64.6093,56.6541,59.7186
C9_16_711,74.8052,60.9476,53.3909,59.0497,59.9037,78.853,69.0665,71.0186,65.9268,60.3335,66.2579,65.5656,64.8647,67.4963,59.0945,63.6964,61.7496,72.3073,71.7197,65.393,73.3012
C9_16_713,63.6793,60.0107,51.6676,58.003,60.2373,78.465,68.7899,68.109,65.0013,58.329,64.1762,66.0243,62.0136,67.0855,57.4706,63.9127,59.2458,70.1858,71.8495,64.2689,73.4065
C9_16_715,60.8063,63.4181,54.7726,61.6432,61.2896,80.5592,71.1077,72.3162,67.3859,59.1109,64.5088,68.6203,63.4282,65.8535,61.9404,65.6634,59.7403,69.492,74.3631,67.1683,74.5872
C9_16_717,62.4659,61.8063,55.6718,61.4161,60.2284,78.5875,71.2989,73.3842,66.8727,58.2585,63.8812,68.1001,61.3412,65.5449,60.4864,66.1533,56.7143,67.4155,71.6684,68.4285,72.714
C9_16_719,63.9306,60.398,53.8,61.6726,57.6813,75.9565,69.5448,72.627,66.0284,55.2178,62.5454,66.5853,62.1859,64.8943,62.0609,64.0291,56.8515,63.7619,74.3223,67.5832,70.7709
C9_16_721,60.6211,58.804,55.2022,61.4365,58.3601,76.4179,67.7923,70.8456,67.563,54.3395,61.3119,66.36,63.3172,63.9427,63.0319,63.1266,57.5148,61.4242,72.3212,64.5154,70.134
C9_16_723,70.8336,61.5415,58.0057,61.6553,58.3465,74.8378,69.0023,70.2335,68.0755,54.1847,62.3843,64.653,61.5182,64.2816,62.7018,62.4301,58.8403,62.9916,73.7483,63.9268,70.2451
C9_16_725,61.7543,58.3111,55.2688,59.643,58.0413,74.5715,66.9124,65.0768,66.4499,51.3413,61.8554,63.1385,59.3453,62.192,60.2452,58.719,59.2214,60.9652,71.4427,60.1248,67.8391
C9_16_727,59.0442,53.5129,50.3946,53.8918,51.9755,68.8374,60.5904,61.0656,59.3308,48.6376,57.4207,57.4029,53.6469,56.8594,54.9432,55.6168,54.0163,57.152,66.8184,56.64,62.5446
C9_16_729,52.0158,52.4934,48.2645,52.6305,50.6559,66.4114,58.5884,58.3162,58.3666,45.7464,54.8396,54.1666,50.7805,52.8517,52.2977,52.9452,50.4984,54.761,65.4651,55.3164,61.6261
C9_16_731,51.5656,52.2579,48.8055,53.3482,52.5403,67.4374,60.7808,58.7928,58.0072,45.9859,54.903,54.4693,51.3667,54.2933,52.8139,52.4892,48.5055,56.9516,64.7138,57.4451,62.3599
