ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,101.5344,102.4219,111.9891,100.5812,123.6875,112.0031,93.0438,96.6719,96.2438,101.2812,110.4906,116.9188,100.0875,95.1969,90.0297,102.3641,95.0656,100.9625,104.3344,97.4656
C9_11_635,120.1684,95.4266,97.1156,102.5625,95.5094,113.2344,106.2719,88.0078,90.3094,90.9625,94.9203,104.2062,107.0625,92.6969,89.3391,83.6141,97.075,89.5469,93.2875,96.2188,92.7469
C9_11_637,111.5237,93.9969,95.7953,101.1656,94.3,109.9328,105.425,85.5344,88.1,91.5297,94.4281,101.5031,104.8094,92.1609,85.5062,83.3141,97.0344,89.3625,91.0078,91.6312,92.6375
C9_11_639,112.5072,84.6938,89.1984,95.9125,88.7344,94.9938,97.5875,76.05,81.1312,83.5594,85.1031,93.0812,92.0594,86.3016,79.8234,76.8562,88.1031,81.5391,83.3594,84.5,85.4031
C9_11_641,101.0365,89.0062,95.8,100.6812,94.9188,102.8234,100.4969,83.525,87.7203,90.6453,87.5812,101.0562,92.9312,89.0922,82.5562,86.3656,92.8281,85.5156,86.7344,90.1531,87.5844
C9_11_643,98.8976,82.5844,89.7594,94.6406,87.8016,97.1734,94.0297,78.6359,83.4125,81.3125,82.3,90.7141,87.4578,82.3391,81.3719,80.6234,87.725,82.8766,81.5344,86.1109,82.8234
C9_11_645,87.7409,77.5641,84.2625,90.0469,83.7375,90.7547,86.9125,75.2125,79.7516,76.0688,78.9734,83.0109,80.9703,77.8875,79.5391,77.6859,84.7672,78.0672,76.8328,81.7891,78.4891
C9_11_647,82.1994,72.9094,81.8781,84.3703,81.1969,85.0047,82.0406,73.6562,79.2688,70.9625,77.8312,81.5312,76.9781,71.7234,79.6156,73.9719,80.6297,73.7156,72.8359,80.2953,75.6125
C9_11_649,79.5893,72.8266,79.7719,80.6766,78.5469,81.8203,78.5422,70.3984,75.5906,65.475,74.0328,77.9453,72.5875,67.6234,75.2281,69.7578,76.5578,70.4797,70.2594,76.2516,73.6969
C9_11_651,70.7803,71.0781,78.375,74.4859,75.9219,75.45,70.7109,66.2812,72.8891,62.0062,68.4875,73.6906,70.6453,65.3672,71.475,68.4156,71.2953,68.8328,64.6938,75.5141,70.1359
C9_11_653,76.5726,69.3484,80.0906,75.6562,74.0,73.3219,66.9688,69.1047,73.3922,60.8891,66.3531,75.55,66.4797,67.8359,71.3656,67.7656,72.9031,68.4547,66.4938,76.4688,69.5047
C9_11_655,92.0816,63.2844,77.4062,73.8359,69.3875,68.3797,59.9578,64.7922,72.3734,56.2641,63.4281,73.2328,62.9984,67.7234,67.3828,61.975,72.3328,65.0391,64.9219,74.9359,66.2578
C9_21_538,154.5127,126.9125,121.3531,122.4125,116.8844,132.2844,114.2,119.4656,119.1781,125.7219,117.2156,117.3531,135.5438,120.6906,121.0531,127.1469,126.8406,132.6438,119.6156,118.4312,117.8562
C9_21_540,114.483,103.1109,99.7266,102.6,92.8781,113.8906,95.4219,102.4781,100.3203,103.2625,92.0625,98.9656,103.5469,104.525,99.6703,108.8156,100.9562,105.7812,100.775,99.7969,97.5594
C9_21_542,111.2027,98.4891,97.2406,99.9734,90.5469,107.7594,90.875,98.0719,100.5125,101.2938,87.8281,98.6406,96.4125,99.3219,92.9672,103.65,96.15,103.9719,96.9906,96.2062,95.4594
C9_21_544,106.2905,97.6375,95.7031,99.4,88.1969,109.1219,91.1781,96.8156,99.5344,97.2594,86.0328,96.8219,95.7016,96.0969,92.9172,101.5812,93.95,99.6625,91.0594,94.5312,92.2531
C9_21_546,98.2654,93.075,91.5219,90.6922,83.4531,100.4938,88.5781,90.5656,92.3859,89.6484,80.9094,91.3531,91.7938,93.3594,90.4578,94.5375,88.4141,95.6562,90.2812,87.7547,88.2344
C9_21_548,90.5555,88.1172,89.8625,86.7953,78.1219,98.6719,86.4719,86.4062,88.7547,82.9719,74.4062,86.7922,86.2547,90.3125,85.6969,87.3969,83.7094,89.4062,88.0047,83.8359,84.1125
C9_21_550,97.2147,87.1844,87.7188,82.9688,77.9469,100.4094,86.0156,86.6688,90.0812,78.9031,73.2125,84.4203,83.0547,91.2406,80.8484,87.2625,79.6047,87.9578,89.4375,81.225,80.9562
C9_21_552,96.1077,81.8047,83.4281,75.4594,74.5672,91.9406,82.8359,84.4562,85.5859,72.1719,68.2703,78.0766,75.7344,87.4156,77.4328,83.5453,73.7172,85.7359,87.8219,76.2609,78.7328
C9_21_554,87.7861,81.4188,83.1109,76.6078,74.3781,89.7188,83.4109,82.4047,87.5297,69.9469,64.6484,75.4094,73.5344,85.4656,77.5109,82.1297,71.2859,86.3609,85.6031,74.4781,76.7156
C9_34_596,127.2339,137.9078,137.9906,129.0938,122.8219,116.3375,107.4156,133.9203,119.2344,120.3156,123.5375,117.8891,123.3125,117.5203,109.3156,124.9781,112.4062,122.8469,111.0781,116.6328,130.3469
C9_34_598,114.9832,113.7406,107.6969,110.9281,104.3188,106.8484,94.7656,114.2391,101.3453,101.6594,107.0594,91.6797,107.5891,104.4359,96.575,104.0969,88.3609,104.2469,106.0,108.0312,104.9469
C9_34_600,100.9903,87.1281,68.0,87.1875,96.8547,88.8672,84.7391,84.7125,89.2734,89.7797,91.9688,73.7016,88.8031,78.4531,82.0281,85.6984,70.4969,78.4688,85.6047,85.1641,76.6953
C9_34_602,96.0488,85.3688,68.1906,87.5562,100.7812,92.7094,85.0062,83.9391,92.0531,93.9734,93.7453,84.9203,88.4688,81.6656,88.0984,89.8156,73.3156,75.7625,82.0641,84.6703,80.7703
C9_34_604,89.939,88.8844,78.5438,98.6656,106.3281,91.975,87.325,88.6438,88.6375,98.5562,95.7156,83.6625,92.3375,89.4984,88.3812,96.8875,78.9062,77.2188,81.2109,85.8406,85.9469
C9_34_606,78.4006,74.4156,72.3516,89.5,90.0531,73.6578,77.2109,77.0484,74.5688,78.7656,82.0875,63.9469,75.2031,79.6125,74.2984,84.7703,73.8766,67.6141,67.2375,73.125,75.9828
C9_34_608,75.9138,66.4469,71.0391,78.8172,74.6469,65.2719,68.2953,74.8906,71.2344,71.8656,73.3219,59.4359,62.7469,67.8922,64.2797,75.0656,69.5828,62.1359,62.2812,70.4469,66.8781
C9_34_610,67.5352,65.4688,72.7953,72.7484,68.0516,66.7375,65.1547,75.7156,73.1453,73.3469,71.2328,66.1453,63.0578,63.9844,64.1906,75.3516,71.875,60.3109,68.9234,71.5172,65.1
C9_34_612,70.6463,64.5953,72.2,71.3422,69.6172,71.5906,59.2047,78.75,72.0094,75.5125,67.0531,71.8562,67.3219,62.275,69.9328,81.8547,74.5,63.6016,69.1438,75.2047,66.5422
C9_34_614,89.6165,72.0547,78.6188,75.9375,70.4625,73.1266,63.7297,86.2672,76.7359,78.9938,72.0406,75.6,77.4047,65.3922,76.0359,84.0984,84.3016,69.2828,72.1703,84.9266,67.1922
C9_11_605,96.0562,112.3062,104.3719,111.0125,103.5625,111.8812,113.2578,103.55,110.7781,99.9312,98.7203,103.3562,113.9688,109.6625,105.55,100.4094,98.0812,104.0,106.7484,119.7656,98.725
C9_11_607,83.859,102.2344,92.5297,98.3391,95.0422,103.3562,104.6125,94.8125,101.7,88.2406,90.5594,94.9797,106.7531,98.3812,97.325,91.2406,89.4281,94.5281,93.9047,103.4562,87.9141
C9_11_609,98.9186,94.2,86.1344,89.0516,89.5578,93.7047,96.0609,88.85,94.8344,83.075,83.6531,89.6188,97.6578,91.1172,93.6594,83.0578,80.3328,87.5766,86.2219,90.8531,78.8234
C9_11_611,95.8895,90.3406,82.0219,86.7344,85.5812,88.4562,91.2703,83.2094,90.0875,79.8094,79.9219,86.7703,93.7516,87.3594,89.1531,80.7953,77.3906,84.125,82.1516,84.9172,74.475
C9_11_613,87.1752,86.2797,77.95,84.0391,80.4078,81.2344,82.525,74.4734,85.3391,78.3297,73.9891,85.5797,86.2281,82.6031,81.6312,77.4188,75.4031,80.4828,77.6047,79.8547,71.2828
C9_11_615,80.7468,83.2094,81.0766,78.6094,79.5234,85.2188,82.5156,76.4516,83.1656,75.8672,73.6906,83.5422,89.0531,78.9656,80.4656,74.0656,78.0688,81.3781,73.8797,73.7641,68.825
C9_11_617,75.9972,76.7578,79.1875,72.1922,75.0625,82.6547,80.4156,73.8016,78.0703,72.6297,71.6875,78.8578,85.8797,73.5422,76.7297,70.9875,73.9844,79.5625,67.9578,68.2688,64.7859
C9_11_619,75.1729,72.7156,79.9312,68.8266,73.8922,76.6984,78.2297,69.7812,74.5109,70.4062,70.5156,75.5609,79.6812,70.8797,76.1312,71.1875,72.2078,73.05,67.7344,63.7234,63.3422
C9_11_621,68.5735,73.0547,80.5781,69.0375,75.2984,81.0391,76.8328,68.9812,76.5547,70.6359,70.6016,76.0891,79.4422,69.7969,75.5781,70.9938,72.9078,72.9766,69.2625,62.5078,64.7312
C9_11_623,62.9342,73.0906,81.5172,69.6547,74.5859,81.8078,77.3281,69.1344,76.9297,71.6328,69.4328,74.4797,80.7203,68.7125,75.7359,70.6797,75.5703,72.5031,72.6891,63.8797,64.7859
C9_11_625,62.2371,69.3547,77.8406,68.1375,70.5734,73.8328,73.8484,64.0562,74.9203,68.2766,65.425,70.5734,75.75,62.7484,72.6203,66.2062,69.7312,65.9703,70.7,61.8781,63.1812
C9_11_627,60.5291,65.1047,73.3766,63.3469,67.3375,66.4266,69.125,59.7969,72.3672,63.6688,62.6328,67.0172,73.2797,58.8562,70.8609,61.0438,65.9266,59.7781,67.5469,58.8844,61.9672
C9_11_629,57.9146,65.2188,77.7531,69.6125,68.6469,66.8406,74.0609,63.2078,75.9672,66.8906,65.4109,69.1375,73.6688,59.3484,73.1406,63.8203,68.6609,60.1781,71.6844,66.1406,65.325
C9_11_631,70.4909,69.3453,86.1469,77.5688,75.1453,74.2781,78.7281,70.5672,82.2938,72.65,71.7609,75.5188,82.4969,67.4391,80.4219,70.6781,75.3188,66.0141,77.6219,71.7953,75.6047
C9_21_520,118.0744,107.1125,105.8312,106.0125,92.75,84.5328,97.3312,114.3469,99.5891,100.5906,90.9875,99.8969,105.0625,108.5188,94.1688,100.6406,99.075,102.3188,107.95,115.0719,95.425
C9_21_522,109.1189,104.0875,102.3781,105.1438,87.3172,84.5422,96.7938,112.5469,96.9375,96.0031,86.8703,93.6031,103.3156,105.8469,91.4375,96.4531,97.5609,96.3906,105.0,110.2531,92.5188
C9_21_524,98.3653,100.3031,102.1656,101.7594,85.2688,85.5281,92.575,113.2844,94.5562,97.5,86.5281,92.8406,103.2562,107.2344,91.1375,96.8312,98.3281,94.4062,101.4312,108.5969,89.4031
C9_21_526,91.3067,99.6719,100.9781,101.8625,85.5938,88.9469,93.2125,110.4562,95.0531,99.3875,85.4844,95.2906,101.2031,106.75,89.2875,95.5906,96.8812,95.0625,99.8875,108.0594,88.8
C9_21_528,87.5379,98.4656,100.5031,98.1625,88.8891,90.15,92.9156,107.6594,96.6062,97.8844,88.1312,97.0031,98.2938,100.6844,88.8125,97.175,97.8594,95.4719,101.1469,106.5562,89.5469
C9_21_530,99.3855,93.6562,101.0656,94.5344,86.3625,85.7141,92.2594,103.575,91.9312,93.2188,85.0094,93.8625,97.8672,98.8062,89.45,95.1531,97.9656,94.9125,95.8281,104.9688,88.6328
C9_21_532,103.4866,86.15,97.3188,88.3219,83.7406,77.0266,90.0,94.0719,84.5578,89.0594,77.8297,89.8969,93.0125,89.3688,85.0875,90.2875,91.0688,89.8406,91.5844,96.8531,85.0688
C9_21_534,95.6801,85.8438,101.3875,91.4219,86.8156,77.1812,96.225,96.2969,85.5719,95.525,82.4406,91.5906,96.6,92.0375,90.6562,89.5344,93.9938,92.8344,97.05,98.8094,88.1375
C9_21_536,104.5464,84.1844,99.8125,86.0031,84.4766,77.0234,95.3875,94.7859,84.2156,91.175,78.1172,91.4844,99.4188,94.0406,91.4469,86.7594,93.7453,94.1531,95.6156,97.2125,89.2438
C9_34_580,102.3956,112.8625,107.0641,121.6406,125.3375,107.2016,118.6969,101.7297,111.4641,109.7844,93.5719,109.0484,119.0188,117.3516,116.0625,93.5219,112.225,103.3516,107.9125,122.1375,95.6172
C9_34_582,95.5547,105.3328,107.4672,120.2656,124.6969,105.8281,117.1375,99.6453,106.9219,109.4719,98.0141,105.2375,111.0781,111.6875,112.6906,94.2344,108.7172,102.6609,103.4719,120.2812,92.4656
C9_34_584,101.152,101.4172,89.7906,111.6125,109.5953,99.0094,106.5859,84.7469,104.725,98.5484,98.85,92.6719,98.5422,105.3844,104.2031,98.3531,96.3344,93.9516,97.3891,108.3203,77.2766
