ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,103.9281,110.1906,127.4375,105.7375,120.1312,119.8781,114.425,105.3266,114.6375,120.3938,122.0875,108.4719,124.4094,103.4781,107.8312,118.75,100.4188,112.1594,114.9469,102.6219
C9_11_635,120.1684,103.1812,106.3281,117.1188,101.2,112.1031,119.0062,111.375,102.4938,111.1656,115.3656,115.6156,102.9281,116.3594,99.1688,101.9562,114.9094,99.0375,107.1547,111.8469,97.2
C9_11_637,111.5237,98.2531,98.0562,110.3016,97.15,105.35,110.7031,108.4031,95.15,106.7562,109.3219,106.1062,100.1156,105.2781,91.8578,98.2391,106.9062,95.6562,104.3078,106.9188,90.4688
C9_11_639,112.5072,91.2,86.6641,104.2125,87.6484,96.8547,109.0719,100.1625,94.0312,99.0828,101.4562,102.0312,88.5391,102.0312,83.0812,91.6141,100.6375,88.5031,96.8531,100.6312,86.0719
C9_11_641,101.0365,92.75,93.8344,100.0,92.2938,97.3688,105.8844,101.7625,92.2922,94.5219,104.8344,104.65,88.5625,100.0688,85.2297,94.7438,96.4219,88.5219,95.5031,101.9578,84.2719
C9_11_643,98.8976,85.5266,88.5328,98.3172,79.6547,89.4734,97.8969,96.3875,86.8344,90.6062,96.0391,95.0219,84.4906,97.1734,78.2188,86.1391,90.5562,81.6484,90.6984,94.9062,80.8328
C9_11_645,87.7409,79.6875,84.7125,93.8188,74.8797,84.6156,92.2,89.4656,79.8578,84.9516,92.7406,90.6906,79.0875,95.5219,78.6188,79.9172,86.125,75.8438,83.85,91.9844,77.1266
C9_11_647,82.1994,77.6438,81.1125,88.4641,69.9672,81.1859,86.5547,86.2344,80.5234,81.5859,88.8734,86.3156,80.0109,91.5812,79.5641,76.5938,84.2562,70.8125,78.4031,92.6328,75.4328
C9_11_649,79.5893,77.2359,81.4062,86.8703,68.0969,79.6172,84.9875,82.6391,77.2891,78.1078,86.1234,84.175,75.0781,89.6562,76.6656,71.9984,81.1516,69.3984,74.4812,92.3344,72.8172
C9_11_651,70.7803,76.325,77.7562,83.8984,64.4609,75.6312,77.1484,76.5031,75.8891,74.5875,83.3125,81.0391,71.9312,83.4641,73.4203,66.9219,79.6453,65.8531,69.4766,89.4156,68.0766
C9_11_653,76.5726,78.3453,79.0062,82.3594,65.5375,74.5266,74.6156,77.9469,72.5922,76.9797,80.9859,82.9234,69.6828,86.1125,74.3812,68.4641,80.475,63.3188,68.6469,85.7922,72.8078
C9_11_655,92.0816,78.1984,75.2203,81.7547,66.2188,72.1438,73.1297,77.2984,72.6625,75.6609,76.8922,81.7703,64.9312,84.8594,71.0297,66.1672,82.0562,58.4547,67.1297,80.6906,72.4422
C9_21_538,154.5127,114.1812,125.4188,134.1688,123.5219,117.4594,123.2125,122.3344,126.3531,127.9781,120.45,124.7094,132.3375,125.3719,127.8406,128.7031,133.0281,129.075,127.1844,131.75,118.6562
C9_21_540,114.483,97.0656,97.7094,106.6969,98.75,99.2281,92.9031,107.7719,97.4719,103.6125,101.2312,105.0906,99.7469,99.9656,102.1938,105.2188,99.2719,103.1281,100.0688,107.8156,103.3906
C9_21_542,111.2027,96.1938,92.9812,105.1875,93.7688,101.0062,89.9125,97.0219,99.2688,105.1312,104.5438,102.3812,97.3375,96.8938,100.0125,102.6469,103.7781,97.7875,97.7625,107.0219,103.275
C9_21_544,106.2905,89.0859,90.1188,92.2344,84.1281,95.5594,84.125,92.6438,92.5812,98.6094,100.5094,96.0188,92.6906,92.7812,92.7906,94.2,101.1688,90.6219,94.6531,100.2594,96.9531
C9_21_546,98.2654,86.15,88.1062,91.125,82.3656,94.3031,82.3844,93.4188,92.1188,93.7938,98.7875,93.7703,92.2875,94.5281,90.8703,89.5219,94.4172,87.8719,96.4688,98.7406,100.2797
C9_21_548,90.5555,82.6594,87.2875,87.9656,79.6844,91.0062,81.0938,94.0,91.7,87.7016,94.6688,86.9906,87.825,91.5391,87.2703,86.1625,86.8469,85.6156,91.3,93.0562,95.6719
C9_21_550,97.2147,79.6594,87.2406,84.5969,81.3328,85.4812,82.4984,87.1938,89.4734,86.1656,87.9344,84.7938,84.8875,89.1562,82.7172,85.7969,82.1141,84.0281,90.025,91.2469,96.8688
C9_21_552,96.1077,74.475,81.3719,80.3719,78.9469,81.1438,77.0859,85.6375,87.3625,81.2719,80.4875,82.1188,80.5797,88.1047,80.0109,81.2484,77.7719,84.5562,83.2375,90.2625,92.5219
C9_21_554,87.7861,74.3906,81.9109,77.9969,85.85,80.9953,78.8047,85.0172,87.6688,80.7453,81.3344,83.9812,79.5422,87.8312,82.8812,83.45,79.9031,85.3656,80.25,87.2188,93.8781
C9_34_596,127.2339,136.45,124.7938,134.8031,147.3906,123.775,121.7344,124.5938,121.6656,127.1156,116.5328,125.4625,131.075,128.1,110.2188,135.85,117.6312,120.1969,120.7844,133.3656,119.7312
C9_34_598,114.9832,105.7234,115.5125,111.7531,120.5469,110.6969,119.4188,122.0906,111.7047,105.5,102.95,111.775,108.5375,118.9312,93.4859,115.9781,96.275,113.2312,94.7656,134.1938,101.6531
C9_34_600,100.9903,96.5688,114.5344,108.3875,113.1969,111.1031,108.8703,122.9062,104.1125,107.2531,110.3562,110.7438,105.5578,110.8156,100.9828,108.2719,99.8609,110.85,93.2188,118.2,95.125
C9_34_602,96.0488,95.85,113.3812,111.5188,111.7281,105.6406,103.0531,121.625,103.0719,109.8875,108.2656,112.6125,108.9031,114.8688,108.1062,107.0,109.6344,108.1719,91.9156,111.9875,94.2844
C9_34_604,89.939,96.6172,108.8781,104.0688,104.0375,103.2859,101.6625,118.4031,105.3281,104.9312,104.125,106.2812,107.55,107.8344,100.6141,105.0188,110.4219,107.6766,91.975,105.3844,88.65
C9_34_606,78.4006,79.5812,90.7625,90.4828,91.5641,85.6766,97.2469,100.2844,89.85,87.9844,92.2797,93.6906,87.2562,92.0156,80.5016,93.9844,94.3078,90.7781,83.8234,92.6141,75.0156
