ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,117.5989,114.9384,120.0765,109.6306,114.7923,112.6878,115.5605,113.859,107.7456,115.6583,122.0862,113.912,132.2875,109.6052,106.286,113.8951,109.1195,109.4217,117.8806,109.147
C9_11_635,120.1684,114.3544,110.4097,111.7615,102.9328,110.2916,112.8489,112.1123,108.5136,103.9117,113.599,115.6771,111.3732,122.5176,104.8,100.8468,112.6036,111.0212,107.105,111.4048,107.8438
C9_11_637,111.5237,109.3264,106.6653,108.0593,95.4617,102.1568,104.3413,109.762,107.0475,98.2544,112.6261,108.0636,108.0386,113.9251,100.1,95.1698,109.8542,104.7824,102.6079,107.177,99.9906
C9_11_639,112.5072,100.1292,94.3833,97.8997,81.4509,89.1244,99.7591,97.9145,100.2762,89.2569,101.7868,100.849,94.4091,105.0116,91.7965,87.5628,101.2991,95.8268,91.6203,99.6901,92.4112
C9_11_641,101.0365,100.6337,100.8294,96.669,86.7587,90.3802,94.9857,99.0214,101.4611,84.375,102.9239,104.2609,96.9724,101.0335,94.0669,90.4118,96.2395,93.3289,92.7168,99.9417,91.094
C9_11_643,98.8976,90.8482,94.2162,91.8591,74.8505,82.9628,90.2542,90.4185,93.7139,80.4624,95.3194,90.7309,91.0468,95.1833,88.0102,81.2931,90.7376,84.2704,89.3649,92.8078,87.9342
C9_11_645,87.7409,84.8032,90.3276,86.6424,70.7969,75.9389,89.0825,84.1109,85.9705,76.2601,92.1691,83.1578,87.0509,89.6925,87.022,77.047,83.8546,77.0413,84.7014,87.827,84.4974
C9_11_647,82.1994,78.7077,85.8484,83.5555,64.8398,73.4867,87.177,81.3572,81.0441,75.3132,91.5387,77.9897,85.6383,88.7764,85.9438,70.0939,81.0576,75.331,81.6302,83.0364,82.7467
C9_11_649,79.5893,77.5215,85.7392,80.4846,63.3048,70.8434,86.4798,80.2008,78.6725,73.6135,88.0235,77.6534,82.5106,87.3389,81.7098,66.7492,78.1002,70.4159,78.0662,82.2035,81.9787
C9_11_651,70.7803,75.5639,83.1073,74.91,59.6526,66.9408,78.6965,72.4452,78.9533,71.9917,84.4902,72.7021,81.5147,80.0996,78.757,62.4325,76.2732,68.6063,70.3392,77.3371,74.936
