ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,121.2484,120.397,126.5678,116.9796,114.4791,114.7289,119.7616,112.5636,117.91,122.9323,125.6055,107.6899,126.2505,104.7474,106.2012,125.6803,109.8845,114.4538,121.1239,106.0389
C9_11_635,120.1684,118.986,113.9771,127.0127,110.9505,109.3308,114.4658,120.0899,110.6202,113.8754,119.4424,122.2319,102.7489,123.1875,98.2517,105.3933,121.3229,111.6058,114.7735,117.0474,106.3288
C9_11_637,111.5237,108.3389,104.5249,118.0276,103.6176,102.8468,104.0721,115.3249,104.508,107.5148,111.8633,113.667,102.9249,119.3449,97.3479,104.2482,111.6356,104.3967,109.9172,113.2974,101.1993
C9_11_639,112.5072,104.4445,94.4486,110.7696,98.5512,96.0344,106.0208,109.2817,101.0266,100.8295,106.2377,106.0593,95.015,118.698,89.4557,101.6456,107.7986,96.9768,100.5404,107.6714,95.0102
C9_11_641,101.0365,104.0797,101.947,107.3978,99.9951,99.4988,100.0521,105.7546,98.3974,99.2772,105.3604,105.2157,100.6901,110.9679,92.3509,101.0757,107.7481,103.3656,102.0282,109.4929,99.858
C9_11_643,98.8976,93.9566,98.7312,100.3094,85.7237,87.9649,92.6409,97.7568,87.9463,91.6986,96.9068,95.1687,89.5329,100.8658,87.6371,92.1027,98.2738,93.6198,91.725,104.4221,93.3851
C9_11_645,87.7409,92.235,99.2698,96.1827,85.2444,83.6456,87.7096,93.6616,83.4311,92.6446,90.9916,87.2581,86.7301,99.924,91.5688,89.9624,93.1669,93.2867,90.2573,103.7712,88.5565
C9_11_647,82.1994,85.371,100.225,98.5044,80.4303,82.7179,88.6338,96.2804,83.7958,89.8468,92.8731,90.299,86.4582,100.6964,93.9811,83.9249,93.5492,89.726,88.1495,100.6132,86.2436
C9_11_649,79.5893,87.1481,93.5598,96.8593,76.6818,81.3848,87.501,96.9413,85.3827,88.9802,89.2257,92.3503,83.688,97.7044,87.977,82.8127,94.4964,84.7656,85.9691,98.3888,82.8349
C9_11_651,70.7803,81.304,91.91,93.3441,72.1645,79.3202,88.0646,90.5652,85.0421,86.4946,85.3971,89.5915,81.6935,90.7858,85.1742,78.4336,96.3755,76.5397,83.7267,96.3878,81.1788
C9_11_653,76.5726,81.1396,94.6457,87.2916,73.3054,79.6117,88.6214,89.6256,80.8991,87.3411,86.4427,88.1676,82.9595,90.7087,90.9065,77.7172,97.6318,81.092,80.6514,102.4927,88.2477
C9_11_655,92.0816,80.1397,87.9316,91.2134,75.1263,75.2111,90.1336,86.3358,82.9664,85.3022,84.7716,81.0709,75.0006,88.1811,79.779,72.9256,92.8156,72.7032,74.1297,99.4302,89.6406
