ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,114.4985,114.4591,113.2651,108.8591,107.8663,121.3306,117.1995,109.6148,108.1757,113.8925,123.9117,96.0039,114.571,101.0664,104.155,112.9369,107.131,113.7236,109.1349,117.2653
C9_11_635,120.1684,108.5675,109.9762,105.3297,105.116,103.5393,119.0279,111.4644,105.4577,105.1113,109.3429,118.7687,92.6816,107.882,100.5673,100.6344,109.9776,103.4555,109.7733,104.9869,113.5134
C9_11_637,111.5237,102.4892,100.9097,99.9687,98.6353,98.0873,112.7414,101.2779,98.7418,106.3267,102.6055,111.0442,94.827,98.7485,93.6295,94.0476,104.3737,96.1662,104.8095,101.9002,107.4873
C9_11_639,112.5072,96.9884,94.2443,98.2195,93.0702,91.8733,107.2918,94.5795,95.1429,100.2236,97.4599,104.9737,85.4842,96.9563,91.7938,91.6783,103.3466,92.34,100.2298,94.4648,102.3241
C9_11_641,101.0365,92.7203,96.2819,91.3202,92.6677,94.6902,106.75,88.7399,90.1306,98.602,97.4982,103.8666,84.5925,92.9407,89.3234,89.0999,97.5755,86.4087,94.2208,96.9143,96.2006
C9_11_643,98.8976,88.6226,92.0866,89.4744,83.0218,88.1289,98.1301,84.58,85.4045,93.9287,91.9129,96.5626,79.8502,88.7952,86.3469,83.1235,92.2014,81.4938,87.9142,89.019,90.9121
C9_11_645,87.7409,81.4882,88.5041,84.7586,78.061,82.1152,90.9533,79.5845,82.311,86.6445,89.4405,92.17,76.1349,84.4767,81.4672,79.6959,87.3294,78.1341,82.3357,85.1919,87.4742
C9_11_647,82.1994,79.633,86.1477,81.8602,75.62,75.7817,86.9459,74.817,80.4343,85.2744,83.8787,85.1259,79.3098,79.9174,81.2593,72.786,83.9182,72.2682,78.0513,85.3801,86.5869
C9_11_649,79.5893,80.8404,85.5993,82.26,73.456,74.025,86.0205,73.1145,76.0539,82.3204,81.5283,82.8421,80.6873,80.1614,77.0849,68.5826,84.2883,69.2859,77.4738,84.5456,83.4396
C9_11_651,70.7803,82.5617,84.9584,79.7948,69.716,73.1452,79.8068,72.0441,73.3617,78.9748,79.2455,80.4383,80.8482,75.788,73.2844,65.2826,83.6599,69.0474,74.9192,82.2092,80.5554
C9_11_653,76.5726,83.6618,85.1497,77.5084,66.7954,74.561,78.1825,75.5872,70.5441,79.76,75.6807,81.1645,80.293,77.9975,72.1518,64.4136,88.9691,64.9885,72.6895,75.5594,82.3388
C9_11_655,92.0816,86.605,81.5285,78.6884,67.1758,70.0319,76.9822,73.7204,70.0249,76.0304,71.1856,81.7228,75.8628,79.3107,71.7378,64.055,91.1838,62.7218,73.353,69.4753,80.6868
C9_21_538,154.5127,119.857,128.3002,131.033,124.0254,121.4007,129.5175,128.93,124.4748,133.1447,119.8953,128.0426,139.7885,130.6315,122.8723,131.9139,127.8426,130.8465,129.3365,132.6097,125.0063
C9_21_540,114.483,104.5262,100.5558,101.2083,103.6402,102.9413,100.7936,113.3047,100.2166,105.6558,102.4192,107.1146,102.0978,106.5381,102.6042,103.9975,106.5119,101.7461,99.4967,106.495,110.2655
C9_21_542,111.2027,99.7006,94.743,99.7248,99.7918,102.3456,92.5955,102.8878,98.1923,105.4377,104.1216,104.9714,96.4984,101.2575,100.0465,100.1291,109.4891,97.2096,96.9673,109.1312,107.1536
