ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,122.106,116.1128,112.9161,110.4354,106.0668,109.3515,116.5417,108.6019,108.1287,117.6695,119.4979,109.0607,117.1165,104.4562,108.8226,121.9921,113.1525,114.2693,123.2252,121.7597
C9_11_635,120.1684,118.677,109.9871,107.1678,104.3821,101.0469,106.5324,110.8994,107.5126,105.2318,113.8331,112.5927,108.7339,110.8253,103.4415,106.1013,120.2878,110.0558,111.2176,117.2009,115.4086
C9_11_637,111.5237,112.2465,101.0298,100.114,95.5018,91.193,98.9205,103.4229,101.5176,100.1851,106.3336,106.8425,103.73,102.2317,96.0071,100.232,116.0385,102.431,104.3016,112.6563,104.8294
C9_11_639,112.5072,102.7097,92.1325,94.775,82.9376,81.6591,91.1751,96.3181,92.6787,93.4576,100.9136,99.4489,92.7888,94.2994,89.1882,92.8429,104.9409,94.4085,97.278,100.2618,97.8484
C9_11_641,101.0365,96.8569,93.2657,88.4987,79.7453,84.5704,90.2219,88.8756,92.4639,87.6504,97.4112,96.5795,91.2146,90.1427,84.5849,86.8321,98.4046,90.6128,90.894,97.814,92.3751
C9_11_643,98.8976,94.4772,86.0963,84.9845,75.1708,79.6649,85.309,83.7573,87.2489,82.5272,95.4598,91.2491,86.5383,85.5401,80.151,82.7941,94.5515,85.2499,88.5244,93.2758,94.8077
C9_11_645,87.7409,90.5459,82.0239,79.2934,72.5958,72.8822,83.1118,79.149,79.75,75.2338,92.5526,86.9085,83.0346,78.9058,78.106,80.8788,90.7733,82.5073,83.2599,87.0958,92.3914
C9_11_647,82.1994,86.924,78.7865,75.7913,67.6721,66.0337,80.2522,72.745,74.4914,71.6587,89.0829,83.9766,80.3512,74.4984,76.1615,73.4981,88.5788,79.2764,79.6952,83.0185,88.2216
C9_11_649,79.5893,87.7371,77.5634,73.1123,65.9673,63.2727,79.4278,74.9263,70.7353,67.682,85.7338,82.8418,80.4578,75.5687,75.415,70.9615,87.3323,75.5025,77.6949,81.8098,87.5841
C9_11_651,70.7803,86.8791,75.6875,71.2152,63.5766,59.2962,72.5836,71.3479,70.0381,69.1291,80.1643,79.8568,81.3135,70.7162,73.6373,66.9485,85.7742,69.9082,76.201,79.7223,83.3889
C9_11_653,76.5726,86.7657,75.3217,71.7815,64.2806,60.2223,75.0766,69.9896,69.1064,71.3101,76.1938,78.9422,80.7142,74.6031,73.4323,66.7926,86.3227,66.9687,75.9712,78.7972,83.1903
C9_11_655,92.0816,84.109,73.008,74.8659,65.1537,57.7273,74.3279,67.3972,68.8807,65.8383,72.9946,77.0942,78.2683,75.931,71.8355,63.7101,85.8751,64.8119,71.8575,79.2157,84.3189
C9_21_538,154.5127,126.0309,133.8713,128.0198,132.2913,128.0091,127.5865,124.3019,129.0961,130.7814,122.4743,135.8113,137.3777,127.0279,127.1272,129.6476,126.6574,127.7281,128.4005,127.1812,127.1851
C9_21_540,114.483,105.8467,102.0668,106.5789,104.7128,103.9224,102.9006,107.5415,101.3596,112.6074,105.1057,108.0952,105.8068,105.2144,101.6416,109.5521,108.4146,110.8011,101.274,108.9597,103.6624
C9_21_542,111.2027,100.1976,94.8951,104.9085,101.5055,100.004,95.4477,103.2217,98.6898,110.6548,102.306,111.1677,105.1191,101.3832,98.6031,102.8787,107.2828,103.8172,99.1538,108.0644,103.9012
C9_21_544,106.2905,93.6728,89.4105,96.5668,95.4405,95.818,95.3059,96.6396,94.9172,103.086,95.645,103.7073,101.4967,95.6424,93.7498,97.2935,99.0271,97.2027,93.2249,99.5081,98.7262
C9_21_546,98.2654,89.9976,88.5238,88.6727,90.7665,91.7542,89.1052,94.0657,92.9232,98.6739,91.903,99.4901,99.8855,95.1909,91.2837,92.2009,95.9601,91.496,88.9493,98.5765,92.9226
C9_21_548,90.5555,86.9014,84.0744,87.9574,87.863,91.0829,83.976,89.3761,92.4694,90.9772,86.5793,96.5797,92.3963,88.7132,84.9132,89.2182,94.0576,86.935,83.5634,95.382,84.8376
C9_21_550,97.2147,88.6284,91.0925,86.0172,88.1842,91.3052,84.6906,87.1905,95.3235,85.3962,89.1222,94.2685,90.0101,86.7654,85.6957,85.1998,94.0301,86.0731,83.9974,92.9838,87.7326
C9_21_552,96.1077,84.5208,87.9909,84.9039,83.7924,87.1404,78.0431,84.1233,94.5405,83.0049,88.4609,89.5075,81.5519,88.2585,87.3189,81.4852,93.0363,86.8021,81.3012,88.8869,85.7302
C9_21_554,87.7861,83.0473,90.0167,82.2347,88.4,87.3123,81.8919,84.5054,93.4873,83.2096,90.7285,90.7848,81.1688,86.5149,86.4373,85.3493,89.9671,85.9014,83.0384,84.13,87.8079
C9_34_596,127.2339,127.0188,119.4619,122.9314,129.9565,118.9911,124.1498,123.5463,115.0411,119.4913,125.4104,109.5252,127.4391,118.0267,111.5004,127.0638,124.3579,118.7284,121.4572,127.8476,124.7445
C9_34_598,114.9832,106.806,100.6892,115.4088,108.4673,108.6722,106.0658,117.1049,102.7766,105.1386,103.2852,108.9607,110.9059,105.6375,99.5657,108.3518,110.539,107.2477,103.8832,110.622,109.825
C9_34_600,100.9903,100.3235,97.7411,113.9862,107.3111,102.9356,102.8424,118.224,103.5782,105.0163,103.0257,105.4457,108.95,98.6633,102.0836,107.4572,104.5737,104.5798,96.2275,106.8509,97.6789
C9_34_602,96.0488,98.2492,97.2825,105.333,103.8032,104.8545,100.6706,112.0859,99.4864,101.0461,97.9596,104.5961,102.5023,97.6283,104.1145,105.018,103.8581,100.2098,95.697,104.8566,93.5552
C9_34_604,89.939,96.5282,96.0066,101.4479,101.8248,103.7159,97.6199,103.8008,98.2138,97.2322,94.1095,102.479,96.4661,95.813,102.5458,98.7469,100.2591,100.7153,94.9131,99.8834,93.9691
C9_34_606,78.4006,84.6669,83.6811,87.9783,85.6143,87.761,89.2733,91.4341,87.679,87.8773,79.8696,88.4792,82.8745,83.5032,86.7837,83.2044,92.2198,90.5637,83.5112,83.7786,82.2487
C9_34_608,75.9138,82.8201,80.5828,85.8126,87.3269,83.3516,86.1976,91.4385,87.7631,87.4399,77.7613,87.2527,82.5712,81.1069,84.0874,79.9817,93.2193,88.0582,81.6108,80.9649,81.9296
