ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_15_656,128.4828,67.334,66.8161,72.5211,72.6703,68.0065,70.7371,66.9829,70.1577,73.0066,66.5466,69.8794,70.2978,64.9324,74.9545,71.8712,70.6634,64.4675,66.2401,67.474,68.6313
C9_15_658,97.576,58.8017,60.6262,62.7757,63.1817,57.3137,61.609,59.6501,62.7456,64.3525,60.5882,60.9904,62.509,55.3262,67.6741,61.2395,62.4018,59.6385,56.0065,59.1091,60.7873
C9_15_660,77.6371,56.9889,56.3682,60.2139,60.3035,56.3323,56.6182,56.8353,54.1594,60.4033,58.2211,55.5978,61.6695,50.2374,63.9532,57.9765,57.5038,57.7661,54.0977,54.6689,62.6837
C9_15_662,62.2459,50.8578,49.69,54.2436,51.1891,49.7483,50.692,53.7789,48.7712,54.5605,54.5349,47.8857,54.1678,46.4214,57.1903,51.5597,52.0401,54.2038,47.9784,49.5304,52.6929
C9_15_664,110.4211,55.1324,52.051,57.8383,53.3866,52.3187,53.6604,57.1872,51.5756,56.1759,55.5672,51.8063,58.9227,51.6873,60.004,54.5798,56.9924,57.8303,51.9859,55.48,56.6421
C9_15_666,106.2627,56.0013,50.2371,56.9935,54.4316,53.4445,53.7397,59.2004,55.9368,54.9247,53.904,54.1863,58.5653,53.6509,61.4865,55.3666,57.0457,59.1766,55.1488,56.0692,57.066
C9_15_668,74.9118,55.3212,48.3034,55.0381,50.8882,49.7891,53.3184,56.7594,55.0424,51.6932,51.091,53.61,57.0764,51.9993,58.221,51.7414,55.0925,57.6361,53.9684,55.2873,53.8789
C9_15_670,58.9295,54.0974,47.2599,56.8268,52.1313,51.4028,56.8774,57.0329,57.1918,52.8694,54.0714,54.9137,62.0807,51.9025,60.2013,53.858,54.6112,58.5435,55.0506,60.423,52.7842
C9_15_672,52.6473,43.8195,37.5377,47.2571,41.0274,40.0757,45.0212,49.0423,43.822,41.6743,46.2626,43.0279,51.3918,41.065,48.5646,42.0216,45.0094,49.3182,41.5945,51.3329,41.8716
C9_15_674,52.7308,44.599,40.9715,48.4892,42.995,40.2343,44.9861,50.1374,42.4697,45.0646,48.1283,42.822,53.454,43.458,49.9483,42.3767,45.9739,49.723,41.0836,51.4518,44.0263
C9_15_676,69.6433,55.6001,52.4757,55.4972,51.4207,50.3041,51.5813,58.7925,49.073,53.9939,58.743,55.464,60.5253,50.4881,59.0573,50.3899,55.4396,56.0791,52.4195,57.8008,52.4337
C9_15_678,54.9227,58.319,55.2684,57.7715,55.5168,53.8369,55.3256,63.8527,52.6637,58.7958,61.2097,58.6827,64.2227,56.1217,61.6851,52.4346,60.0438,61.5455,53.788,62.5728,56.65
C9_16_711,74.8052,73.6725,70.8881,77.0773,73.146,69.3761,68.0279,74.8525,74.6615,82.3819,67.25,71.6766,70.5916,75.7059,72.5574,75.1485,70.1992,74.6145,72.4527,73.8355,75.2109
C9_16_713,63.6793,70.8549,69.7941,73.058,71.3921,70.0544,67.0464,72.1701,72.0278,77.1257,66.8844,71.5744,70.7024,72.4694,71.8397,71.4945,66.8778,73.9646,68.1123,72.0756,73.1216
C9_16_715,60.8063,75.61,72.4009,77.981,74.7337,76.0175,70.627,76.988,73.6457,80.6022,73.5479,75.1267,78.9417,74.6158,76.3541,75.568,73.1893,77.3476,74.0283,78.5647,81.5563
C9_16_717,62.4659,69.5144,66.6598,74.1419,67.6607,68.8055,67.6626,70.2146,67.5301,74.4077,69.7151,68.5575,76.3293,69.4791,72.2717,68.9939,69.8181,71.352,67.7073,73.8518,74.423
C9_16_719,63.9306,66.7375,62.872,69.0885,62.3104,60.847,62.0988,64.3449,62.0816,68.5331,66.4132,63.4243,72.2813,65.9835,68.7047,61.623,65.574,67.5344,67.8124,67.9591,72.0336
C9_16_721,60.6211,62.9871,59.4592,66.3547,60.8264,55.8506,60.8922,63.6102,61.7223,64.1302,63.3855,61.5406,68.3655,64.8317,66.0463,60.1328,63.3318,65.9735,66.2347,67.2673,68.535
C9_16_723,70.8336,65.4179,63.3741,66.8707,64.8584,57.4932,66.3779,63.7699,66.0735,67.7288,64.808,65.8682,69.7155,64.3437,66.9397,63.9933,67.1692,67.9984,69.9934,68.8816,68.0477
C9_16_725,61.7543,64.7589,63.5663,66.5667,65.8545,58.7841,64.0422,61.5011,66.9517,67.9139,65.2849,65.7852,72.2869,62.704,67.9241,62.7222,67.3447,67.0809,69.7435,71.2467,67.4216
C9_16_727,59.0442,58.6362,55.6955,55.9151,58.5782,52.2048,56.4182,55.293,58.9669,60.5731,60.5335,57.6213,67.0722,53.6017,62.3366,56.7596,63.0266,59.0512,62.3611,62.8376,57.9116
C9_16_729,52.0158,54.3277,51.4917,52.5425,54.721,46.5384,52.9805,50.5743,50.9256,54.9683,55.4126,53.6036,61.8932,50.3865,55.8237,50.9284,58.9218,54.5521,55.8626,57.7341,52.6265
C9_16_731,51.5656,64.1883,62.3219,60.2966,63.8607,59.8681,65.2316,62.2316,60.7074,65.6639,67.2246,66.9343,73.0797,59.9845,67.5785,60.5045,70.2061,65.0193,66.2378,67.0957,64.0634
C9_16_733,53.8779,60.4881,59.9323,58.3463,61.4174,57.0435,60.1652,63.0988,59.995,65.3005,64.0028,65.6327,69.7333,57.7037,65.6706,59.7621,67.4505,64.6758,61.8983,65.1597,64.2809
C9_16_735,82.2779,60.6807,58.8106,59.866,59.6071,56.8528,56.3242,61.9616,59.4334,61.3554,58.7227,60.747,69.5127,57.648,64.8009,56.2204,64.0304,62.5831,61.2283,64.8179,60.825
C9_23_699,82.5528,74.6617,67.8429,79.8285,78.6308,76.3758,69.7289,68.3657,71.2159,78.843,75.4872,70.5753,74.5569,69.6271,78.032,77.3642,75.7606,71.2943,66.2723,76.5577,75.3665
C9_23_701,60.7163,62.614,55.4679,66.5006,66.1432,66.9053,59.2018,56.4564,58.9593,65.6273,65.2402,59.5959,64.5507,58.2866,67.5385,65.3391,63.4404,62.9569,55.6186,67.2344,64.4701
C9_23_703,66.1093,51.9396,43.2457,56.7359,52.822,57.1871,47.7537,48.0226,47.243,53.2001,56.0846,49.22,57.0045,51.7069,58.5192,53.4088,52.5293,50.5592,47.2243,57.2278,58.0671
C9_23_705,49.5385,48.7001,40.2772,51.1447,44.5239,50.2497,42.7937,43.5245,42.2774,48.351,52.8714,44.0491,53.6116,47.2474,52.2091,47.1187,48.6644,48.7289,43.2994,51.9271,53.9794
C9_23_707,85.251,49.1026,41.364,51.3844,44.647,51.6448,44.9407,43.2294,45.3208,46.4629,52.7858,46.5434,53.7785,48.2615,52.47,46.2041,51.1461,50.6853,45.7073,51.5508,57.1496
C9_23_709,88.947,52.3366,43.0912,55.2667,47.9354,55.0373,47.2638,50.2678,51.5413,49.0788,58.3775,51.3151,60.2488,51.5419,56.7119,51.8981,54.551,53.6082,48.5679,58.5589,60.0605
C9_23_711,76.4709,51.2691,44.6458,53.5319,50.0252,53.1826,49.4958,51.0968,51.6018,49.9054,55.5664,51.3138,59.6558,51.1745,55.9306,50.1619,55.5406,56.2518,45.4138,60.7943,59.6983
C9_23_713,60.3452,50.209,41.9102,52.8243,47.494,53.0205,46.9195,50.8974,52.6602,47.4434,55.6949,48.7999,62.1794,49.6515,59.19,47.058,56.8987,56.2513,47.6902,64.1781,56.6014
C9_23_715,50.9302,47.2748,37.2394,47.0496,44.8462,49.7219,44.3735,47.6991,48.557,45.618,53.5998,47.0099,57.972,44.0653,55.8886,44.1711,53.5921,51.0147,45.9696,59.7301,51.8881
C9_23_717,52.3961,49.2591,39.9946,49.4146,47.088,49.5348,44.3675,49.6068,47.9859,47.7181,53.2531,47.5912,59.719,44.7107,56.9448,48.1028,54.9138,51.8287,46.1518,59.5409,55.2265
C9_23_719,48.8809,52.7083,46.3194,52.9204,50.2962,53.543,46.3736,53.8142,51.8288,52.3132,57.9447,52.7494,62.4889,48.2884,60.8762,52.315,59.5788,53.8367,49.1232,63.2209,58.9365
C9_29_669,76.3416,96.9395,100.3031,99.828,92.3681,84.8534,87.8374,96.7096,96.9477,107.7153,95.8285,97.8615,97.9829,89.2859,91.4579,97.4985,101.2137,94.0826,98.2792,95.4921,103.3832
C9_29_671,77.9656,88.5534,93.7335,92.9394,85.4928,85.9769,80.541,89.7369,94.3192,98.2159,90.9434,89.5483,94.8646,85.213,85.4536,92.1368,92.4276,88.4619,88.9274,92.0015,95.2382
C9_29_673,71.5039,80.266,90.2694,92.8883,84.5168,78.1811,78.7401,84.0406,93.6028,93.6394,85.4615,88.0225,89.8624,78.6692,83.2039,84.6136,85.613,84.5904,85.7853,87.5743,93.2405
C9_29_675,61.1103,73.1056,78.7306,82.2658,79.6008,69.5774,69.4343,76.956,84.0288,87.6042,79.3318,77.8789,82.1018,70.5774,77.1492,74.5449,77.1514,75.0729,76.9748,80.3685,87.9091
C9_29_677,57.8764,73.3057,79.9509,78.2539,76.6699,68.5135,67.6376,73.573,78.3751,85.4065,74.6066,76.8672,77.9794,63.2006,75.7994,73.8377,73.6905,70.5304,74.2143,75.3787,86.1726
C9_29_679,59.2422,78.6645,86.5131,80.8224,84.864,74.1818,80.3396,79.4347,85.689,91.3611,85.6687,83.7757,80.9496,72.5377,83.827,76.896,80.5403,81.7686,83.241,77.4194,91.9693
C9_29_681,53.1176,71.4523,75.7013,69.8908,71.4193,67.8201,72.1997,70.8182,74.9934,82.7,76.4724,76.685,78.7182,66.3254,76.4411,72.4332,75.3956,68.1072,78.2946,71.6014,83.978
C9_29_683,49.3124,65.1387,69.2787,69.7232,69.6743,66.4317,64.6835,63.2313,71.4061,72.842,71.8222,67.1976,77.2076,63.8657,70.5489,65.0672,73.497,62.4986,75.8947,66.8052,77.9789
C9_29_685,51.2034,63.7849,65.1143,66.8895,65.299,62.3617,59.7845,58.0412,66.3618,69.187,68.8075,64.4813,74.8459,60.3091,70.5919,61.1535,69.6957,54.9419,70.3515,63.2717,73.1603
C9_29_687,46.9006,68.4179,67.4099,69.9345,68.4311,60.4963,61.7105,62.6118,71.8295,75.8662,73.0381,70.7826,77.0971,61.3497,74.8215,64.1733,74.9731,63.8839,77.0903,66.8498,77.9662
C9_29_689,43.148,65.7526,61.7339,69.1765,65.0376,61.9029,60.885,62.6256,67.4668,75.0549,76.503,72.1353,74.8667,59.4568,75.3128,67.7715,74.018,59.0321,77.5968,67.6986,74.2518
C9_29_691,38.7235,62.3794,53.8232,67.4408,64.5784,61.0177,62.4654,65.2306,66.0966,74.1254,71.971,71.5165,71.9752,55.8555,72.8668,66.8118,69.387,57.2612,73.4904,66.2825,70.0076
C9_36_683,93.7156,91.7951,92.5574,101.7287,94.5717,90.5238,98.1048,101.6401,97.668,107.5968,92.145,97.3269,91.534,98.409,100.4556,98.5513,91.7354,92.3198,100.6466,93.3573,98.2765
C9_36_685,82.1025,85.0457,86.8727,91.9189,85.6514,81.1148,87.1966,92.3233,88.0531,94.8898,83.9325,89.6526,85.245,86.8961,91.6347,88.5228,85.0626,82.3632,90.8496,83.0577,87.0561
C9_36_687,80.5482,81.3087,81.749,86.7075,80.1351,75.6385,80.3026,86.6208,81.5197,91.2879,80.9291,82.7542,84.4968,78.6964,86.0421,80.3268,79.1816,79.3714,87.2244,79.6854,85.4582
C9_36_689,77.7431,80.4069,76.6413,83.49,74.4923,73.3719,78.1865,82.8095,75.6508,86.1551,77.7734,80.2575,82.0682,74.5292,82.2115,79.1617,78.8488,76.2738,84.35,75.2021,81.2359
C9_36_691,74.4321,77.1909,73.1699,77.0022,70.1429,67.136,69.1243,75.7315,67.4928,77.1409,72.7918,74.05,78.4013,69.4768,76.9193,70.8171,75.0096,70.731,81.3579,71.1422,75.9749
C9_36_693,70.2888,72.9776,68.8154,72.1943,67.2725,61.8861,65.5463,72.3148,64.7953,72.6666,70.9855,69.7793,74.2281,67.2482,73.4197,66.0753,72.4768,66.5841,78.8309,70.0353,70.5994
C9_36_695,71.6792,70.9602,70.0695,71.1562,68.3761,57.4122,67.3751,70.7043,65.2825,69.6245,67.6197,70.1539,72.6983,65.4404,69.5606,66.712,72.9899,64.756,76.1665,69.6998,65.082
C9_36_697,66.8854,70.7884,67.3185,69.381,66.2036,56.2452,64.7955,63.9768,65.5026,67.7644,66.82,66.5236,72.1791,62.95,66.975,60.8288,69.3533,61.8768,73.4654,68.1514,63.6682
C9_36_699,67.5189,70.1766,65.8708,68.7555,67.2957,56.1469,62.7498,61.7288,64.1082,66.8366,67.4268,65.4802,72.7933,60.7177,66.0523,61.0009,69.7454,61.0461,72.2888,67.2954,62.8366
C9_36_701,66.7563,68.4413,66.9592,68.2243,67.3645,55.0029,61.9092,61.6295,63.4852,66.632,65.867,67.0443,73.139,59.6648,65.2789,59.5316,71.7043,57.7266,69.2665,66.8275,62.2651
C9_36_703,63.2597,68.0364,65.4245,67.9449,65.4573,56.0991,60.6342,63.5848,61.6407,66.6068,65.0926,67.644,71.8968,60.1066,65.9501,58.5698,70.5536,59.7889,67.154,66.917,60.2268
C9_36_705,66.0834,65.4652,65.0616,66.1728,65.1143,56.9314,59.2058,65.9615,62.3894,67.2799,63.6815,68.2771,71.1337,62.1427,66.5008,59.1039,70.4238,62.6219,67.5722,68.3361,61.981
C9_37_711,90.5731,75.8091,73.9052,78.7125,76.332,73.4346,77.5029,73.2289,80.6353,81.0762,71.1461,74.1495,72.47,74.202,82.0813,77.959,69.7431,73.262,77.0876,73.4527,75.09
C9_37_713,70.947,75.1335,76.2161,77.3582,74.1057,70.7779,76.5232,72.6573,79.717,78.5075,70.6977,75.0399,70.8148,70.8845,80.4771,75.2318,70.7033,75.293,75.5164,70.4409,72.8059
C9_37_715,65.9337,72.9204,71.638,74.9392,70.779,71.105,72.7993,69.5663,70.8819,72.8086,67.2187,70.329,70.0708,64.7226,76.2667,69.0543,65.4082,71.1052,72.084,68.0612,71.8794
