ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,115.3969,114.3219,115.9062,103.4578,104.1219,112.5094,108.3656,111.2469,108.8547,118.9203,114.85,97.1391,120.3875,115.2031,114.9,113.25,116.9469,113.1688,123.5531,111.9219
C9_11_635,120.1684,110.6172,113.725,110.5719,98.3531,102.1953,112.5844,105.7094,107.0562,108.8812,114.3375,111.55,94.0188,114.325,116.0688,108.1156,111.4766,116.8312,111.3969,116.8203,105.575
C9_11_637,111.5237,106.2719,106.5656,102.1438,91.4703,95.3531,103.4156,99.2094,98.9188,102.7203,106.0562,103.175,90.9516,105.1719,109.8219,99.85,105.6281,103.8203,102.7594,109.9656,99.1141
C9_11_639,112.5072,99.3438,97.0125,97.7406,81.8828,89.9344,95.3281,90.575,90.5172,100.1188,100.4781,98.6125,85.4875,100.2844,101.0031,91.7094,98.8109,96.7375,93.1031,102.0562,92.4969
C9_11_641,101.0365,97.1625,91.5969,92.575,79.9234,87.3516,90.7922,86.275,88.8703,92.5562,94.0406,92.5234,84.6484,93.4516,94.1109,89.8812,92.3719,90.6688,87.9781,95.1969,92.9516
C9_11_643,98.8976,91.7547,86.1875,85.7047,75.6312,80.7984,86.4875,79.4984,86.7,90.5938,92.7125,91.9625,79.3422,91.1969,84.3109,81.4625,85.9125,83.2438,80.9484,89.7266,85.7672
C9_11_645,87.7409,89.7109,82.4891,82.6703,70.5625,74.1438,80.4125,76.0359,87.3047,83.7188,89.9344,86.1703,78.1641,85.4016,81.8422,80.1578,82.3938,76.8625,79.8594,89.7531,84.7438
C9_11_647,82.1994,90.9812,79.575,80.2812,67.3094,69.2734,76.8172,77.2844,87.0766,79.8688,88.1297,80.775,81.2938,84.05,79.6969,78.2938,81.4406,79.6578,79.5906,87.5391,86.0984
C9_11_649,79.5893,91.3156,78.6156,80.3203,64.0438,67.9672,76.8516,80.0375,82.5234,78.1484,86.5547,77.6609,78.2594,84.6344,78.6141,76.2953,79.9953,80.2438,80.7688,85.2094,85.2797
C9_11_651,70.7803,87.9125,74.4219,78.1469,61.3484,66.1297,74.5734,78.6703,78.2516,74.1359,82.3297,75.4922,78.5219,80.2766,76.4922,71.275,78.3781,78.6266,77.4531,81.1359,80.6875
C9_11_653,76.5726,84.7594,72.2141,75.7906,60.7703,63.8656,70.5938,73.5344,73.0859,69.975,76.5547,77.8141,74.9656,80.3703,71.8672,68.2953,77.9094,76.2688,72.5516,78.4516,76.3641
C9_11_655,92.0816,81.2062,69.4938,76.5453,57.6453,61.45,71.2469,69.7016,68.1375,64.8984,73.8031,73.1797,70.1031,79.6016,65.0844,63.6234,74.6203,70.2141,67.5812,77.9359,69.9938
C9_21_538,154.5127,127.4375,129.8031,130.7594,122.1781,122.1688,124.8906,121.0344,127.7781,132.1656,125.7906,120.3281,135.1125,132.0,126.1906,128.0438,134.9594,121.3281,131.1188,129.8719,126.8062
C9_21_540,114.483,107.2094,108.1688,105.4875,107.3031,106.8938,102.2312,107.5406,100.0719,111.5781,103.9656,105.8812,104.05,108.8875,102.7344,103.7531,107.0625,106.4812,104.0844,106.9969,111.2969
C9_21_542,111.2027,104.95,102.1562,99.7844,104.1094,101.6625,95.0844,103.9719,95.8562,109.9875,101.0344,106.2688,105.1875,102.6406,102.475,97.7531,103.6656,101.9719,101.975,108.3844,110.5219
C9_21_544,106.2905,97.5656,96.5281,91.2844,98.0469,97.6594,90.2594,96.2125,92.0703,100.1375,99.3938,102.1875,100.125,97.4594,100.0844,95.9328,96.925,96.8875,97.0688,100.5594,105.8438
C9_21_546,98.2654,93.2562,89.0188,86.85,93.8562,89.9375,84.6875,90.0281,89.2406,97.7469,97.4656,94.0375,97.8688,92.5,97.4,88.7688,93.6625,91.2625,93.1406,98.2438,98.8062
C9_21_548,90.5555,90.1062,85.4,85.9094,90.55,86.9594,82.1938,84.9781,87.8125,90.7375,92.3,89.3562,91.3188,89.7969,89.2125,85.6969,87.8297,88.0594,92.9281,92.6344,94.975
C9_21_550,97.2147,90.1156,88.3188,87.0062,90.6719,87.8969,85.2562,86.3469,87.4344,88.9859,93.4906,91.6344,87.9156,89.7938,93.2562,85.4844,85.4906,85.7938,92.5969,92.3344,96.0531
C9_21_552,96.1077,86.0469,83.5906,81.1703,84.0156,84.9688,79.3688,80.9781,84.9844,82.3656,87.425,87.4281,85.4281,89.15,91.8094,83.425,83.7438,81.2469,87.8906,87.0297,89.2438
C9_21_554,87.7861,87.7375,84.7469,79.0094,86.9531,81.2734,82.7344,79.4312,86.95,78.1,88.7594,88.0,82.9812,86.2625,93.5125,85.2531,83.0484,81.7344,83.4906,81.8906,89.8
C9_34_596,127.2339,122.5344,121.5969,124.9188,119.7688,121.1719,124.5625,123.5531,116.2344,115.0281,115.8,115.8562,118.2594,120.15,118.6906,123.0094,115.1469,120.7219,116.7484,122.1781,116.6
C9_34_598,114.9832,108.5188,104.1781,112.8938,114.0891,109.9156,111.6469,113.5062,103.5938,108.3562,105.2812,109.4781,104.2531,112.2719,108.2062,101.6812,106.5375,114.9812,102.9812,117.6062,104.5531
