ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,119.5016,124.35,123.5531,112.2125,110.6938,121.3391,107.5094,108.0875,111.3375,116.1156,113.5531,107.2406,121.8344,114.9062,115.5781,119.6719,105.1812,124.0156,124.2938,110.0141
C9_11_635,120.1684,114.9938,118.1562,117.5031,107.0844,105.9328,110.7531,102.9969,101.375,108.4734,113.4703,106.3031,102.8281,113.2,119.2531,111.8312,112.4078,99.2953,118.0703,118.2469,102.8047
C9_11_637,111.5237,106.5844,110.2656,110.825,97.6719,101.0375,101.7109,101.3062,94.6172,102.5312,106.1812,97.7531,98.7625,102.5469,112.3781,105.2531,109.8703,93.05,113.9875,108.3234,97.1219
C9_11_639,112.5072,100.5844,99.6031,102.4031,88.1984,94.5422,92.7047,94.5188,89.4719,97.15,103.9719,91.5344,93.8844,94.0531,103.5219,97.5422,100.4562,88.1719,107.1891,100.5688,90.4531
C9_11_641,101.0365,102.2625,95.2531,98.0094,86.5688,92.6766,93.7625,94.9047,87.4359,92.2609,102.0781,92.2031,90.175,89.5781,93.5969,97.4125,100.2047,91.2828,100.85,98.0312,89.9562
C9_11_643,98.8976,98.4344,90.5297,91.1156,80.6719,93.2422,84.5172,87.8422,82.5969,89.6797,100.2047,89.375,88.4391,83.8141,87.7531,91.2828,94.0469,89.7188,96.3125,92.2281,86.8172
C9_11_645,87.7409,91.2922,84.2797,85.5094,76.8703,85.3469,75.2359,78.8312,75.1484,83.0688,93.3328,84.5938,82.7375,80.3391,83.7438,82.8594,85.7828,79.4938,90.975,83.5562,78.8984
C9_11_647,82.1994,85.8906,82.5672,80.4422,71.3953,78.8688,72.6781,73.925,67.6469,81.6469,89.3031,77.0469,78.85,77.1703,83.1328,77.8453,80.1531,75.6625,85.1688,78.3047,71.9984
C9_11_649,79.5893,87.5844,80.4078,78.9703,69.9109,76.0688,74.3594,73.9953,64.175,79.4312,87.1438,75.9203,79.8922,75.8453,79.9125,74.4344,76.9547,74.5156,82.3531,76.2781,68.3828
C9_11_651,70.7803,88.1625,78.0234,77.6328,64.7828,75.0906,69.5438,71.7016,63.3016,74.3875,84.0578,73.5219,79.7828,70.4391,74.7938,69.4406,77.4859,75.7562,82.2781,71.8312,68.1906
C9_11_653,76.5726,90.3062,79.0062,78.1375,64.0719,76.2891,67.0188,73.2766,62.8891,72.6844,84.1516,73.4188,77.8156,69.4578,74.4047,69.3469,79.2,80.2078,85.3469,69.5172,68.4016
C9_11_655,92.0816,92.5031,77.9938,76.1438,62.7812,75.2562,67.0797,72.1281,62.2812,70.8047,80.6781,73.2,76.6984,69.5625,73.1672,66.3672,75.5594,75.7016,83.2906,67.9766,66.9328
C9_21_538,154.5127,121.5094,128.7656,131.125,126.1625,133.4594,128.6906,127.4812,128.8562,131.3906,120.5,116.5688,139.9875,127.1625,127.4594,130.3094,138.0375,126.125,131.0719,128.7312,129.4656
C9_21_540,114.483,107.5375,103.7844,104.9188,108.95,103.6281,106.7125,103.5938,98.0656,109.5781,103.525,101.6531,107.9969,108.6344,105.3453,99.9703,106.2219,106.3562,107.2781,111.2562,112.8031
C9_21_542,111.2027,102.8688,97.4125,98.975,103.3406,97.2781,97.9188,99.6438,99.6344,106.9906,101.5875,103.425,104.0938,102.6469,104.9875,98.4922,101.6062,101.775,101.4219,107.6219,108.3469
C9_21_544,106.2905,95.1844,93.9688,91.75,96.4781,90.7719,93.7281,96.1406,96.0781,99.8625,98.8094,97.8781,100.6344,95.3531,99.6594,94.5812,94.4109,96.8031,93.4594,97.9531,99.5812
