ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,108.125,109.1031,117.7938,105.2625,109.7219,121.9031,107.3219,108.9312,111.1,116.85,116.5438,95.4219,112.2078,107.7688,112.3594,115.2969,106.5,118.2219,113.5844,110.1969
C9_11_635,120.1684,105.9688,107.1688,112.5219,103.2281,103.8938,122.6031,103.7781,102.1688,109.5375,111.175,112.9719,92.3078,107.5312,108.8109,108.5125,111.6438,104.2562,114.6,108.2906,108.3594
C9_11_637,111.5237,100.1625,101.5719,106.2781,95.4703,94.6828,115.7656,97.4656,95.0875,108.3656,103.5969,104.7281,88.2844,100.1938,100.9719,100.9062,105.3438,97.6031,106.175,102.4156,103.6438
C9_11_639,112.5072,94.6547,97.0844,101.5969,90.7844,87.0781,110.05,91.6141,90.8156,105.0406,101.3719,97.8312,82.0547,99.7125,95.6891,94.8641,101.2094,91.1203,99.5844,95.0047,99.2
C9_11_641,101.0365,93.8469,96.3812,99.1594,90.9062,85.8,107.925,86.1375,87.2484,101.1156,95.2094,94.8594,79.7797,96.1016,88.6656,91.4328,96.8219,89.2266,93.575,92.8344,96.8562
C9_11_643,98.8976,90.4656,92.4875,96.6281,80.8328,79.7078,102.2266,83.2609,81.8688,96.9172,91.5219,89.875,78.7219,91.4531,87.8375,87.0719,92.7562,84.3828,85.6891,88.2797,88.3094
C9_11_645,87.7409,83.8391,88.2938,91.5531,75.9109,75.5328,95.2797,77.2562,79.0609,89.6438,89.8188,84.9812,73.8578,85.2781,83.4734,85.1453,88.2344,81.7578,80.6125,84.7578,82.4891
C9_11_647,82.1994,82.8922,84.1469,90.1859,74.2312,69.4719,87.9203,73.8125,75.6594,87.1516,85.05,78.5875,74.6516,81.4875,81.5078,81.6156,83.7484,75.8031,77.2609,83.6828,80.6078
C9_11_649,79.5893,83.9406,85.3,89.5062,72.2922,68.3969,86.0594,74.2141,74.8016,87.3781,82.5625,76.5688,74.3047,81.9812,76.5562,79.3156,81.4797,73.6938,75.2531,82.2859,80.8969
C9_11_651,70.7803,84.8656,83.5891,88.3953,68.7625,67.4109,79.2297,71.4875,74.7531,87.8844,80.4359,75.3031,73.1469,78.9734,74.5938,77.7172,79.8062,74.425,70.5859,80.4516,81.2531
C9_11_653,76.5726,85.1641,82.0375,88.25,66.375,66.8984,79.4781,72.45,73.2812,87.3016,76.9297,76.2312,70.8969,82.5719,73.7781,75.6953,82.9547,71.2109,73.0734,76.1797,81.6391
C9_11_655,92.0816,83.7844,78.7531,84.4359,66.0297,67.0531,79.4734,69.7375,72.3953,81.9672,76.5188,75.3312,66.0109,83.1094,74.1344,72.0,79.225,69.3922,71.8438,73.1531,80.2734
C9_21_538,154.5127,124.3625,128.5188,129.4344,126.3125,123.0906,126.6406,131.5719,125.8625,134.85,129.0344,122.6562,140.8875,133.075,127.6031,136.4688,135.5281,125.5375,132.4031,136.9938,124.6438
C9_21_540,114.483,105.4,102.5031,104.8719,105.5,105.0312,102.7688,110.7469,102.5,108.7156,104.5125,109.3375,104.1281,106.5594,100.5688,106.1719,106.4562,105.0125,105.3812,101.675,107.8031
C9_21_542,111.2027,102.0062,96.2594,99.0688,102.3656,100.9875,95.825,104.4812,100.7594,107.6156,105.2531,108.0031,100.6188,98.9219,99.3562,101.675,109.1375,101.425,100.5906,100.55,105.7062
