ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,119.2469,113.9812,119.6156,111.2328,109.3016,112.1781,110.4438,114.5156,108.2469,116.1406,114.6625,109.0156,123.3812,114.5281,108.0219,114.45,110.5531,111.9594,118.9438,116.4219
C9_11_635,120.1684,115.5406,110.4859,111.9594,105.7531,105.8156,110.1984,105.1781,110.6312,107.7406,114.1125,110.4562,105.7938,116.3906,113.1844,104.2719,111.0781,112.1969,109.7,113.4969,111.6875
C9_11_637,111.5237,108.8312,102.4594,105.4875,95.0125,95.1547,103.1906,98.4219,102.5,103.6203,106.4969,104.4375,98.7438,106.4438,105.5219,97.375,109.0344,103.1656,102.9031,108.3375,103.2938
C9_11_639,112.5072,101.5906,94.7625,97.8391,84.4094,88.0516,94.5547,92.8594,96.4422,96.4531,96.7688,98.2156,93.7672,100.1281,96.3625,92.1734,98.9625,95.1844,96.3766,98.8344,96.825
C9_11_641,101.0365,98.675,87.6188,89.4062,81.0969,84.5281,86.7172,89.4688,89.9516,90.0859,92.3188,92.3938,88.45,89.8609,90.7281,88.8531,96.8156,91.3281,89.55,98.0938,92.6781
C9_11_643,98.8976,92.475,84.1812,83.3797,74.3156,82.7172,82.6797,83.9359,86.2828,88.125,95.225,87.0625,84.7078,84.7422,84.7828,83.1203,91.1609,86.2531,86.6859,90.4594,88.3859
C9_11_645,87.7409,89.8938,82.4828,76.7375,71.9234,76.1984,77.8,78.5734,83.7109,84.1391,92.6609,85.3125,83.0844,81.2047,82.2578,79.2453,87.0906,85.1062,81.5719,88.1312,85.4531
C9_11_647,82.1994,84.8875,80.5406,73.1953,68.1469,72.0609,75.2875,74.4938,79.4641,79.5766,90.5344,81.9312,80.3219,79.1266,79.1703,76.2734,85.5,82.1922,76.2922,85.3625,83.3516
C9_11_649,79.5893,83.7312,79.425,72.6562,67.7453,72.4688,80.775,74.2125,78.7672,77.3828,87.1812,81.4281,79.3969,78.8375,79.1641,73.9047,83.8766,80.925,76.7781,87.0562,83.8641
C9_11_651,70.7803,83.6047,76.6922,70.7625,64.5422,69.8922,77.1188,70.475,75.4922,72.3781,82.1609,78.9328,77.1703,73.8594,76.9219,70.3812,82.2594,75.4875,73.8969,85.3125,81.6438
C9_11_653,76.5726,82.775,75.9641,71.9891,63.5578,68.7719,78.9703,70.8156,75.1844,70.5984,81.3594,79.5188,70.6172,77.1469,76.0141,69.5859,84.8219,71.225,74.35,83.1516,79.8703
C9_11_655,92.0816,80.2594,74.3938,69.0875,63.1219,67.0109,78.5953,67.6688,75.5266,66.4531,80.1078,77.3375,69.6359,79.1062,71.7359,66.6859,78.0141,66.8438,72.7562,81.2906,78.3641
