ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,117.6781,114.0375,118.5062,111.7,110.3078,111.775,111.4875,111.925,109.5688,116.8344,114.4812,110.3781,121.8781,116.25,106.7781,116.2281,110.5219,112.9031,118.8188,116.8875
C9_11_635,120.1684,114.1594,111.2844,112.2562,106.4594,106.4625,109.7031,105.0719,108.8094,107.8734,114.5719,109.9469,107.2875,115.5094,114.2656,102.1094,112.8781,111.6031,109.2312,114.0844,112.2719
C9_11_637,111.5237,107.2719,102.7156,103.9875,96.2703,95.2016,102.5062,99.35,100.7344,103.4438,107.2469,103.8156,100.7062,105.4844,105.4562,94.7359,110.5281,102.2281,102.6562,108.6812,102.5438
C9_11_639,112.5072,100.2188,95.1219,96.3281,84.5969,87.7422,93.1,93.5156,95.0219,96.2656,98.675,98.3188,95.0594,99.3406,97.5,88.1484,98.9016,94.1688,96.8547,99.1625,95.0875
C9_11_641,101.0365,97.8688,88.8391,87.6938,82.3797,85.0156,86.6031,89.0828,87.5969,90.6047,93.9688,92.55,91.2406,88.8094,89.1781,84.95,95.5609,92.1844,89.9438,97.5016,92.1562
C9_11_643,98.8976,91.9031,86.3188,81.8797,75.3141,83.5578,83.1609,83.9516,84.6062,89.2391,95.325,88.3594,86.6078,84.8406,85.5016,80.5031,91.1141,87.9203,87.0281,90.2719,87.0516
C9_11_645,87.7409,88.9625,83.4969,75.3656,73.0797,77.2688,77.8969,79.1391,81.4781,85.4344,92.675,85.6344,83.8922,80.95,82.7406,76.0219,86.8312,86.8844,82.5125,87.8125,84.0906
C9_11_647,82.1994,84.3344,81.5109,71.6484,69.1781,73.3312,76.0359,74.9484,76.1609,79.45,90.0719,82.4922,81.4297,79.0328,78.8453,74.2875,85.8312,83.5516,77.3047,85.2359,81.9859
C9_11_649,79.5893,83.9344,79.6219,71.45,68.3938,73.0891,81.4547,74.5188,75.0047,77.3344,85.7812,82.1156,80.3359,79.7875,79.1266,73.6469,83.3875,82.6953,76.9281,86.2953,83.4297
C9_11_651,70.7803,85.2172,77.0234,69.825,65.8312,69.4,77.3547,71.4562,73.3406,72.7891,81.7438,79.0156,78.45,74.9672,77.9031,69.7156,82.3781,75.8281,72.7656,84.5219,80.9359
C9_11_653,76.5726,83.825,76.0781,70.6672,64.8656,66.85,78.9078,72.65,74.1922,70.4766,81.3562,79.0781,71.9484,78.6406,76.3922,69.9609,84.6891,71.0266,73.1641,83.4672,79.8578
