ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,117.0875,123.0562,124.2406,112.6859,109.9781,122.9375,104.6906,106.0438,111.9344,117.0469,113.2156,109.6688,121.4375,116.7125,113.2062,122.1703,99.7562,121.9359,123.3062,109.4375
C9_11_635,120.1684,112.6078,117.4875,116.3531,105.7656,106.3,112.8078,97.9875,100.6156,109.6031,115.1453,105.5125,104.7297,114.1391,120.0406,110.7609,115.2484,95.0766,118.5734,116.3125,101.7453
C9_11_637,111.5237,106.0953,108.4094,107.4531,96.6438,100.9922,104.0953,95.8484,92.8812,102.3594,108.9469,97.4172,100.2141,104.1969,112.7656,105.7484,112.2234,90.6812,113.6578,106.1406,96.8719
C9_11_639,112.5072,100.0656,98.55,101.4172,86.8719,92.9719,93.0391,88.9391,87.5844,98.5625,105.7594,91.5922,95.5562,97.5094,105.0922,99.3406,102.8844,87.5359,108.2781,97.5344,91.7234
C9_11_641,101.0365,101.5094,93.7938,96.4734,84.9375,91.3484,93.75,91.5969,85.9141,93.5906,102.8812,91.4469,92.2703,91.1672,94.7781,97.2703,102.3562,91.3578,100.0344,94.2781,89.2188
C9_11_643,98.8976,96.4375,89.4578,90.3531,79.0766,89.1906,83.625,85.5062,83.7531,88.8125,100.6641,87.4875,89.9703,85.9406,90.7484,91.2609,95.7328,88.3391,97.5656,88.5625,86.3547
C9_11_645,87.7409,90.2312,83.2484,84.4109,74.6969,81.3359,74.5766,78.4672,78.4703,82.2766,95.025,82.5359,83.1328,82.7328,85.1797,83.0172,87.8516,79.4297,91.0438,80.5703,77.7594
C9_11_647,82.1994,84.5141,80.4219,77.5203,69.8594,75.9047,71.7062,73.5625,70.5641,80.2797,90.9891,78.4594,80.6828,78.775,84.4766,80.0891,83.7,76.0766,85.3453,75.9328,73.9969
C9_11_649,79.5893,87.4141,78.7844,76.6453,69.15,73.025,73.5062,74.4625,65.8031,79.0828,88.7438,76.0266,82.7156,77.9938,82.5281,74.5062,79.9766,76.2984,81.6016,74.5969,70.5
C9_11_651,70.7803,88.8125,76.4031,74.7484,63.8516,71.8094,70.1656,73.8484,63.8719,73.7391,86.0344,73.3938,81.9438,74.0266,79.2172,67.7906,78.3953,77.6078,81.0422,71.1109,69.4141
C9_11_653,76.5726,90.7094,78.075,76.1719,63.4125,74.7922,68.7969,73.5953,63.2031,71.8609,85.7266,72.1562,81.2781,72.5125,76.3188,67.15,79.3203,80.0891,84.5406,67.9125,69.4594
C9_11_655,92.0816,91.9812,75.9219,74.1547,62.0719,75.3969,66.6422,71.1641,63.4344,70.8781,83.8031,71.9922,79.3656,72.8234,72.3875,63.0047,75.8156,76.7734,83.3031,64.6125,67.5422
C9_21_538,154.5127,121.225,127.6188,130.8781,128.9344,131.5312,129.1094,128.1562,129.6781,130.4125,120.9844,115.9219,140.5281,125.1938,128.5562,132.3594,136.2938,126.2219,130.5969,130.0906,126.6562
C9_21_540,114.483,106.2,103.6656,104.4062,107.9938,103.375,105.8969,102.975,97.5641,110.0344,102.7344,102.4844,108.9594,108.2062,104.8625,100.4688,104.3969,107.7312,107.2688,112.6406,111.4875
C9_21_542,111.2027,101.7969,99.3156,99.2156,103.4906,97.7969,97.4031,98.2281,99.0625,106.7844,101.3688,102.3438,105.3094,100.4375,102.9719,100.1688,101.8312,102.0844,102.7531,108.4188,107.55
C9_21_544,106.2905,92.4438,94.6469,93.8719,97.4969,91.4062,93.2625,95.075,94.35,100.4297,98.725,98.2469,101.1938,95.3125,96.8688,95.7469,95.3281,95.3875,93.2094,98.9188,101.3812
C9_21_546,98.2654,89.9984,87.8094,88.4344,90.0156,87.3469,88.3531,90.3062,92.5094,94.3344,93.1125,91.8438,93.7,88.2625,92.4844,99.2469,90.0781,89.1531,87.8031,94.6531,95.9422
C9_21_548,90.5555,88.7656,85.3062,86.525,86.8281,86.5844,88.4562,86.8203,93.5422,91.1906,91.0438,88.3062,89.6672,85.7312,89.0312,96.725,88.4719,87.2688,84.4688,94.1156,95.1297
C9_21_550,97.2147,87.8688,85.4062,84.5031,87.4312,86.2875,85.1156,84.4188,93.9938,86.5859,91.5062,91.0031,85.2281,86.7938,91.7906,90.4,86.3969,88.1906,82.2094,89.8641,94.0062
C9_21_552,96.1077,85.2188,86.4312,84.4141,84.7109,83.9688,80.1969,82.5938,90.85,82.2984,87.9016,85.5484,83.6812,83.5719,91.3969,88.6422,84.0109,82.5109,77.9703,87.0625,92.7875
C9_21_554,87.7861,90.6969,87.3938,84.3125,91.2422,84.1812,80.3812,79.1234,90.2547,81.5781,90.2078,85.5906,80.5875,83.2969,91.7062,87.4547,82.8812,84.3375,80.9656,82.6406,95.8875
C9_34_596,127.2339,120.3125,112.9,121.6938,122.3594,122.9844,120.9094,110.7484,118.9719,117.7375,113.125,118.5,114.7719,118.0375,112.3688,120.3781,122.2875,115.9844,115.0469,122.0312,107.7
C9_34_598,114.9832,103.8219,102.925,120.7906,109.0094,107.5031,107.5125,103.3344,102.0406,107.2781,102.6219,104.5172,102.2578,115.8625,101.6188,105.7969,101.1188,111.9938,107.55,108.0469,101.6047
C9_34_600,100.9903,99.8844,102.3188,115.5156,111.5031,104.9312,115.8703,110.2562,99.9031,111.9719,111.8375,103.2859,100.9359,111.3062,108.6906,110.0562,101.1375,104.2094,103.3234,104.5688,94.8828
C9_34_602,96.0488,100.6375,106.0938,110.5281,111.1781,107.9719,114.2469,110.2938,99.8531,106.9719,107.8906,104.0875,102.6969,108.3062,108.3406,107.7031,101.9938,99.4594,101.4031,108.6375,98.1625
C9_34_604,89.939,101.8719,107.5031,106.8062,109.4031,101.8438,108.375,103.5938,96.5422,103.7031,100.8891,105.6031,102.4875,103.1969,99.8969,102.2531,94.4312,98.3156,95.7812,107.2,93.85
C9_34_606,78.4006,95.5094,94.5766,97.7328,97.6094,88.5594,95.8312,94.7375,89.5297,92.3109,92.8516,91.7156,93.5781,90.0828,85.4547,92.0375,85.4016,90.8594,86.0594,90.4719,84.2906
C9_34_608,75.9138,94.4922,94.5594,94.6875,94.1094,86.4562,90.1984,97.8047,93.7922,92.6844,94.1297,90.7109,92.3844,86.95,84.9297,93.7562,87.1578,91.2172,84.1469,87.9188,80.6609
C9_34_610,67.5352,90.7156,93.4359,90.3641,90.6922,83.1469,85.1438,95.1656,86.9828,87.9812,92.0875,89.9453,87.8797,81.4297,90.0969,92.1312,83.9234,89.5688,80.9781,88.3922,77.1203
C9_34_612,70.6463,86.0906,88.2328,86.5609,89.4516,82.3266,77.2922,96.4281,83.7766,87.9234,89.8969,90.4109,82.3141,77.8688,97.5391,91.7406,84.6594,90.1781,76.5828,83.1234,84.0438
C9_34_614,89.6165,84.6906,92.3453,88.0141,96.2859,82.9656,81.1641,97.8422,90.2734,93.8594,97.0156,91.0781,86.3688,80.1703,91.8344,94.8422,90.0094,91.5609,81.5328,86.5375,91.1641
C9_11_605,96.0562,108.1844,117.2188,116.775,108.8938,113.5875,118.9688,119.8344,111.9719,113.8875,121.5938,113.7406,107.6734,116.5469,113.4219,107.5391,119.5219,121.225,111.0766,114.4906,111.2531
C9_11_607,83.859,98.5453,105.3938,99.1188,99.2516,107.6875,105.55,109.4719,105.7406,100.5672,107.5547,97.9719,99.8578,104.1312,100.9562,96.6406,106.0438,107.8047,100.3781,102.4625,102.0266
C9_11_609,98.9186,90.2688,95.8797,86.8469,88.8031,99.8328,94.0656,99.0781,99.7125,89.1031,88.5406,92.3312,90.1016,95.5875,92.6891,82.825,93.8312,101.7594,93.725,92.5812,98.0031
C9_11_611,95.8895,88.6891,94.5172,86.9594,83.8359,97.1391,91.4469,95.0922,97.0156,84.6078,84.5094,90.3047,90.3953,93.8984,91.7828,83.3734,91.125,96.2797,94.2062,89.4203,95.925
C9_11_613,87.1752,86.2625,92.3844,86.6188,78.9,92.575,83.6375,90.7281,88.4828,80.3453,79.6812,86.3672,87.2656,89.0172,89.0656,80.3688,83.8016,94.175,88.825,83.6734,95.1188
C9_11_615,80.7468,85.2891,94.2375,83.8234,71.9203,90.7859,78.0188,86.6969,86.0156,74.2922,78.2578,83.3609,90.8984,81.75,84.3766,80.3484,84.5594,93.3359,86.1469,76.9641,92.6938
C9_11_617,75.9972,79.3016,88.7594,80.8891,64.8359,82.2953,73.6125,80.9719,80.3625,70.5391,75.6484,77.8938,89.8938,75.1641,77.4031,76.8938,78.6672,84.625,79.2359,70.2328,85.7891
C9_11_619,75.1729,75.1953,86.0266,81.4,67.7719,82.2219,72.7734,77.8266,79.8922,72.0281,76.4578,77.8297,90.6812,77.5156,72.6625,77.6469,76.0875,88.8312,76.4859,68.8609,81.5531
C9_11_621,68.5735,75.2609,82.0078,74.4641,67.0531,77.3406,73.1969,73.7656,74.1734,72.2922,72.7344,70.3969,90.8453,73.2094,68.4703,78.2453,74.6781,86.1266,70.8453,65.65,79.2359
C9_11_623,62.9342,74.5062,79.2094,73.1125,64.925,79.7469,71.6422,72.2297,69.8469,73.5234,68.7156,68.4922,91.5141,73.7984,65.025,73.3312,69.1734,84.3938,68.0281,66.1938,75.0344
C9_11_625,62.2371,71.7281,76.8516,73.1391,63.3781,80.2188,72.2359,71.3422,67.9422,72.6562,66.0734,69.0328,89.4078,76.7422,62.0547,67.5297,66.7594,80.0125,68.3109,64.0562,75.2297
C9_11_627,60.5291,68.4953,70.9344,70.7969,57.6359,72.3328,65.9344,67.2234,64.6422,65.4641,59.5531,68.3625,81.0484,78.075,61.6359,61.2109,60.4766,69.7547,63.9062,57.9844,68.4703
C9_11_629,57.9146,74.5203,78.3969,78.5219,60.8344,75.0344,72.8484,77.9047,67.6516,73.5156,67.6766,70.5328,86.3453,79.0641,68.5859,66.8922,64.8781,74.4625,69.9062,63.6031,74.1531
C9_11_631,70.4909,79.3719,80.8438,83.0078,65.7047,79.2781,76.3469,83.6188,68.6781,78.1031,67.8438,73.0719,91.5422,84.0391,70.4359,71.5469,70.2016,78.5,73.6422,69.4031,77.3438
C9_21_520,118.0744,116.5219,118.2062,114.325,113.1531,117.2062,116.5156,116.5219,113.9375,114.5938,114.425,114.825,115.3031,120.6688,111.0219,118.025,123.6156,116.2438,122.85,111.6531,119.8188
C9_21_522,109.1189,111.0344,108.6688,105.4062,107.0906,109.1375,109.9656,108.2125,113.6,110.6938,106.0844,108.3344,109.3188,112.5906,106.6656,114.5875,111.35,108.6906,116.5906,106.9375,110.0969
C9_21_524,98.3653,105.05,99.4875,98.9438,99.6031,100.5062,103.0625,97.0969,110.0469,98.6594,97.35,96.5906,104.2531,106.2,96.55,109.3688,98.5062,100.35,105.2438,100.0312,100.575
C9_21_526,91.3067,105.0,97.9188,98.0688,100.9156,101.3781,100.3375,94.7531,108.8375,97.3312,96.2812,97.8781,101.8,103.775,97.2875,104.4094,99.9188,96.9875,103.2969,96.2875,102.1
C9_21_528,87.5379,98.7531,97.5688,97.8938,99.3156,100.5,99.6781,94.3312,105.7812,90.4438,98.1375,97.0469,97.15,102.6312,96.2688,103.375,97.7125,98.3469,101.6,87.2156,102.3
C9_21_530,99.3855,97.7219,99.3906,98.9938,97.4688,98.0344,101.5219,94.6875,103.6031,89.1938,100.6594,94.0531,95.3344,104.3406,97.6344,100.6562,98.8656,99.3906,100.8281,86.925,104.1594
C9_21_532,103.4866,104.9031,101.3,101.7344,102.3969,95.0,104.8906,95.9,101.3344,91.2422,103.2188,95.4281,90.4188,102.2531,100.0031,96.2094,99.6312,98.325,103.8031,89.9594,100.6281
C9_21_534,95.6801,108.0594,102.5875,105.9781,106.6312,95.5906,106.35,97.5438,101.2469,94.8375,103.0812,94.7344,94.0469,102.9656,105.0406,96.7594,100.0875,98.6656,101.7406,94.4031,100.6
C9_21_536,104.5464,108.9969,105.3312,104.7094,109.4562,107.2938,110.55,112.1406,105.6531,100.8609,107.4125,108.4312,106.8375,102.8906,110.5562,98.1781,103.8219,106.7531,104.0406,105.3438,109.85
C9_34_580,102.3956,117.2969,126.3062,124.3125,133.0781,119.4469,129.5844,117.4219,113.525,133.4406,122.8719,130.8062,118.8156,127.8906,127.0594,119.2719,123.4719,133.1438,119.7188,131.6,120.4469
C9_34_582,95.5547,113.6344,121.9781,122.0625,127.5844,124.45,129.7281,114.5344,110.4047,134.9,121.8781,128.5156,122.275,128.5031,121.0188,119.95,121.2656,128.2062,116.5703,131.2469,116.175
