ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C9_11_633,129.1201,110.9656,116.1969,110.3656,109.9062,103.0094,126.3281,111.5688,116.2125,120.9625,112.6094,119.275,109.1844,122.4844,114.1,115.1969,118.9875,114.1688,118.5281,116.7312,113.75
C9_11_635,120.1684,108.0719,120.3062,108.6,107.425,102.4906,123.275,108.4469,117.9031,116.5031,108.1,112.5312,103.2094,117.7906,111.9875,113.4656,119.7781,110.7875,117.2562,114.5156,109.2438
C9_11_637,111.5237,100.4219,115.6188,105.6156,99.6875,101.7438,120.4281,101.6469,115.7406,111.3594,101.8438,106.9781,99.6531,113.1531,104.0719,107.8281,112.6406,104.0375,113.1625,106.5094,100.7438
C9_11_639,112.5072,99.3359,112.0969,101.95,96.1094,95.075,116.4906,93.9312,107.775,105.5781,99.2469,99.1594,95.6031,109.1375,97.3906,104.9125,106.925,97.4375,109.6688,101.3953,93.0953
C9_11_641,101.0365,96.6562,106.0719,98.2875,92.7906,96.1594,108.7031,92.2797,103.875,104.625,97.7469,94.3625,92.0625,104.3625,99.45,98.4562,105.025,93.0781,102.4156,102.9844,93.4094
C9_11_643,98.8976,91.5375,98.0656,95.475,83.3328,86.4656,102.7188,86.2938,91.4312,98.6359,91.8641,89.2812,80.1859,98.6531,93.4188,96.2484,99.9531,89.7469,96.7969,94.0031,89.8172
C9_11_645,87.7409,88.3359,95.4094,91.1688,78.6188,83.3531,99.1438,84.5766,87.5609,92.8578,87.5188,88.6906,78.7312,96.8281,83.6875,91.7844,95.9922,92.2375,98.325,91.6922,86.0875
C9_11_647,82.1994,85.1656,89.5938,82.1781,79.0297,80.3766,101.3656,81.9828,84.3375,82.5281,86.2469,83.0141,76.0234,90.1672,78.1781,91.1844,90.9109,86.6812,91.6156,90.8859,82.7203
C9_11_649,79.5893,85.1531,86.0062,83.225,74.8453,80.4422,97.6219,79.4375,86.0969,81.9219,82.4969,80.775,72.3406,88.2516,77.5438,85.9062,85.4781,81.05,85.7719,88.0031,83.2406
C9_11_651,70.7803,89.6812,81.2281,84.5797,72.8719,75.9672,94.1594,74.9953,84.6859,80.425,77.4094,77.1375,69.1547,86.075,76.4562,84.2438,85.6547,74.4906,80.9844,88.2875,79.8531
C9_11_653,76.5726,89.2688,84.7969,84.2922,71.9547,76.1344,92.6719,74.875,86.3797,81.7547,80.5234,78.2,71.8422,82.2766,81.0828,86.0141,86.1172,74.9844,78.6203,89.6156,82.9844
C9_11_655,92.0816,86.7938,81.4422,80.2578,70.1594,71.8031,82.3734,71.075,82.7719,84.0125,76.7672,78.9969,72.5391,85.4297,78.5203,79.1891,83.4281,74.2641,79.3875,85.1156,81.4688
C9_21_538,154.5127,119.9281,129.15,126.9438,121.7438,130.4625,119.925,123.65,124.5469,122.2406,115.7625,119.5031,126.925,122.4969,120.6312,123.0406,120.0406,123.4406,121.6062,125.8375,118.0812
C9_21_540,114.483,103.3062,109.1531,103.5406,105.0594,110.4375,103.4688,102.3906,109.0531,103.3156,100.5375,101.7656,101.8781,103.5406,103.8719,98.8719,110.4562,107.8938,106.1844,99.9781,102.1875
C9_21_542,111.2027,101.0344,105.1781,98.1688,99.8906,108.825,98.7719,100.1281,101.6125,106.25,97.6688,96.5531,102.1906,102.9531,103.1969,98.825,108.1094,100.7375,105.75,106.1719,99.2906
C9_21_544,106.2905,92.325,99.0219,95.0125,89.1188,98.7656,93.0188,94.0875,98.275,94.8562,87.6812,92.6953,90.8375,97.825,99.7125,91.9531,100.1375,93.6094,95.4688,100.9188,96.0594
C9_21_546,98.2654,93.0688,95.8438,90.4406,82.3234,92.5656,94.2688,91.525,91.2938,94.0156,85.4969,91.2781,91.9531,95.3688,93.7812,91.7156,92.2969,90.5625,91.6875,97.8531,92.025
C9_21_548,90.5555,91.1781,91.6938,84.2219,77.7688,92.6906,89.2594,90.8219,88.8938,87.5125,82.3,85.7531,87.15,89.5,91.9938,86.5062,85.9,87.4188,87.5969,87.7406,93.0875
C9_21_550,97.2147,92.1625,89.4,83.9594,78.2047,90.3875,91.1031,87.6688,87.4969,84.1281,81.7531,85.0625,82.2281,91.7375,87.2031,85.3469,82.7188,86.1312,85.8938,83.675,89.0031
C9_21_552,96.1077,88.3188,86.6594,79.6203,71.8562,86.4031,83.8281,82.4219,84.075,79.6906,78.7578,79.025,77.8281,86.2656,80.9328,86.4219,78.7219,81.7891,81.2391,73.5844,84.0312
C9_21_554,87.7861,91.2938,85.7406,80.3266,84.6375,87.9188,88.0938,81.5594,87.0016,78.7422,83.2344,78.675,82.7688,84.7375,87.3281,88.5812,76.7094,83.6906,86.2312,78.9109,85.1156
C9_34_596,127.2339,117.7406,119.1094,117.2875,121.025,116.8406,117.2344,139.3344,118.1531,119.1734,126.7844,121.3156,125.4156,123.5312,112.5312,123.0375,127.5562,128.4312,115.2219,118.2969,118.4156
C9_34_598,114.9832,106.4719,112.3406,115.2812,108.4875,109.5406,107.8812,128.3938,107.3562,108.4875,114.5031,117.4188,117.0,113.1594,114.0,114.1531,122.9125,115.4625,106.7781,116.9594,116.1469
C9_34_600,100.9903,109.1422,109.025,121.9719,106.1188,109.4438,113.675,130.7344,108.1453,109.0281,110.9531,109.4,118.45,112.8656,112.9656,112.0531,128.7562,116.95,109.2562,112.0656,112.6406
C9_34_602,96.0488,108.2906,105.2281,114.225,105.5938,104.575,109.5375,126.0281,104.2531,103.0,104.7812,104.5094,113.1156,106.1156,106.1562,107.0938,123.9875,114.5281,101.825,103.3219,111.0562
C9_34_604,89.939,102.9812,102.6688,109.3094,97.6688,98.6375,107.2906,118.8312,101.6062,100.8312,103.3375,102.2906,106.5188,107.5406,101.3438,102.5375,116.7312,108.9969,99.8844,99.6938,108.9406
C9_34_606,78.4006,89.7531,93.2875,93.1594,86.9531,92.9125,96.5281,109.8812,93.7062,94.4281,95.575,87.1719,95.7719,96.5844,97.9,95.4844,107.775,97.1969,91.8531,91.8469,99.55
C9_34_608,75.9138,89.7219,90.4203,93.3,89.5094,94.0906,95.325,112.5844,92.8062,98.6781,92.725,91.1625,92.7625,97.9469,100.9688,97.0844,106.225,93.4812,90.625,91.0375,94.1188
C9_34_610,67.5352,91.0719,86.0219,91.9281,83.7078,90.7281,93.2906,105.0844,92.4656,91.5312,88.65,88.6938,93.4891,93.4188,96.1031,90.9,102.3875,92.0875,82.4328,90.3266,90.9469
C9_34_612,70.6463,86.9328,86.275,86.8094,81.9812,86.225,87.2188,103.5719,87.4844,88.0312,85.9469,85.1797,92.6703,86.3062,88.6344,87.9938,94.5438,85.95,78.6344,85.9547,86.6938
C9_34_614,89.6165,90.4375,93.4062,84.5766,87.6781,86.1094,88.0484,104.3969,87.6438,84.8109,86.2188,85.6625,95.8656,87.5859,89.1875,89.9688,93.3656,86.2531,81.1062,90.05,94.1094
C9_11_605,96.0562,110.2453,114.2969,101.6188,118.8562,107.3031,120.8219,107.4656,111.8219,117.1469,109.275,112.9406,106.4031,118.4844,107.0375,117.15,118.3719,109.6125,111.4938,116.0781,96.7484
C9_11_607,83.859,103.725,104.9469,95.5312,109.5531,100.1938,113.0469,97.4094,101.8703,105.6656,100.0031,104.3188,93.9625,103.9281,98.1344,111.2875,106.0469,101.3641,101.8906,108.8781,90.1359
C9_11_609,98.9186,97.9,100.6844,91.8125,101.0266,96.6156,107.85,89.6406,95.9,99.2875,91.0594,99.2375,90.8469,95.6156,92.0531,98.7812,98.5688,96.2094,94.7125,104.5656,85.7953
C9_11_611,95.8895,95.0656,100.75,89.3,94.8375,93.9594,105.1844,89.025,94.925,97.35,88.1,97.575,88.2938,95.5594,88.6547,95.4719,99.4812,93.4344,93.4188,96.6266,84.3438
C9_11_613,87.1752,91.5625,100.4938,89.3688,95.6438,92.3969,99.6969,87.3844,95.1953,91.0188,85.3719,99.8875,83.1641,93.1875,88.0297,92.5172,95.7344,90.2953,92.9406,94.0047,84.7609
C9_11_615,80.7468,88.3312,90.1062,86.8125,86.4688,91.4062,95.6344,88.0406,93.4531,83.7875,81.1828,89.5125,83.7516,87.0016,83.9125,88.6641,96.7281,86.3719,90.2438,87.5516,85.0172
C9_11_617,75.9972,83.9734,84.6891,84.7438,78.1266,86.3344,91.3375,85.2203,86.5406,81.275,76.6172,86.8125,76.9484,78.7312,77.9297,84.4516,89.7469,80.8844,88.2484,85.6219,81.4422
C9_11_619,75.1729,89.6953,91.5656,87.7062,78.5219,85.5172,90.0875,87.0438,89.5531,83.5375,78.3547,87.4297,81.1109,81.3281,80.6688,86.2766,87.3484,85.925,89.4422,84.2344,87.1984
C9_11_621,68.5735,83.0219,86.9188,78.5781,74.0609,80.2688,86.8344,79.7516,78.6438,73.0969,71.2969,82.7703,79.3328,76.8453,73.2578,76.2109,85.3844,79.375,82.7234,80.7156,82.3359
C9_11_623,62.9342,82.125,82.3281,71.8734,72.2703,75.6047,83.3562,73.1453,78.4688,69.8031,70.7797,78.6281,77.0188,74.1953,72.4219,76.0172,78.5266,76.3328,79.4344,74.7641,78.1109
C9_11_625,62.2371,81.4594,83.3141,73.2453,73.1812,79.7906,83.0469,71.6922,76.9109,69.8766,70.7812,79.5594,74.5141,79.7516,78.2141,79.0781,79.7531,76.8859,77.9672,75.9422,80.0344
C9_11_627,60.5291,80.8406,83.7266,67.3656,66.4531,75.8469,79.7094,72.7156,77.0562,73.1984,66.2281,78.7328,71.4734,77.1562,78.4797,76.9375,79.9984,76.0234,78.1469,74.9562,74.1875
C9_11_629,57.9146,83.8688,86.7281,76.6594,71.6266,80.7547,84.5297,79.8891,79.525,76.2078,69.3562,81.6312,73.0734,81.3734,81.9609,80.4953,83.2797,80.9062,81.7641,80.9359,78.4266
C9_11_631,70.4909,88.1688,92.8953,83.1531,72.5188,82.5359,90.0656,89.8734,81.8953,77.7266,75.7656,82.0578,75.0125,83.3203,83.0703,84.2641,84.6672,83.6297,80.95,82.6516,85.075
C9_21_520,118.0744,104.1188,117.0344,107.8375,100.45,115.1781,117.475,115.1156,109.7,111.3469,105.6469,113.825,112.8938,115.875,110.3719,109.5656,110.4969,113.5375,113.0156,106.9469,100.0094
C9_21_522,109.1189,99.825,106.8531,107.7094,99.3094,109.4125,109.8,110.95,105.2062,105.25,100.8375,108.2094,103.9562,111.9594,104.9438,104.2906,101.2969,109.6656,110.8656,101.5031,93.5594
C9_21_524,98.3653,97.5938,96.7594,100.2,95.6688,97.6188,99.4,99.75,100.0938,93.4438,95.8078,90.9,101.7719,100.2594,97.075,100.2969,93.8594,98.425,102.6875,92.3844,84.0
C9_21_526,91.3067,98.9156,98.5969,100.7531,96.1875,99.3562,94.0375,95.675,98.2688,95.5859,97.625,91.1312,103.3281,100.1406,97.3844,101.0906,95.9188,96.6125,100.5719,97.125,88.9906
C9_21_528,87.5379,90.7344,92.8812,98.9125,91.2969,97.4812,91.4531,93.2531,94.925,93.5219,89.5312,89.1125,96.8656,101.1719,91.2562,97.2344,90.4438,91.1562,95.2719,88.4781,86.5062
C9_21_530,99.3855,95.9344,96.825,98.4938,87.8969,99.8844,94.7438,93.65,96.9312,94.1125,90.9844,94.4781,94.1812,102.375,94.8469,95.9375,92.4719,94.9875,97.5562,84.9188,84.1438
C9_21_532,103.4866,99.1906,99.8312,102.4219,95.2438,107.7844,100.45,98.975,99.1406,98.9062,96.1875,100.2969,101.95,99.0625,101.025,98.8844,97.7812,95.5188,103.9156,94.2438,92.9875
C9_21_534,95.6801,102.7781,99.4688,104.6844,101.6781,108.2375,98.5344,100.4219,99.5625,99.5438,101.2938,102.5469,102.8062,98.3406,100.6375,100.4188,95.4719,101.1375,104.2469,95.325,97.3188
C9_21_536,104.5464,101.9094,99.9281,99.8438,99.1062,104.3781,100.4,105.9344,102.3156,99.3969,105.6125,107.1781,103.2812,98.0875,96.9562,104.5531,101.575,111.0531,99.5359,99.6531,94.3656
C9_34_580,102.3956,128.5875,121.1281,128.1656,140.1312,120.6344,120.8688,132.3531,126.6875,126.7094,123.1469,122.6938,125.7906,136.3469,117.3719,123.0688,129.8094,131.8,123.0219,135.2656,114.5438
C9_34_582,95.5547,124.2156,117.2812,122.7719,134.9219,127.3625,121.8812,132.2812,117.6812,120.7062,122.8906,120.6594,124.6281,132.7656,120.9375,120.9188,133.0312,120.8969,120.0625,130.6844,116.3
C9_34_584,101.152,110.3031,105.1312,112.4781,115.2656,109.6656,107.7531,123.6906,104.9031,109.1062,114.4531,106.9438,113.8625,117.8281,106.9344,114.6844,121.8531,108.175,103.7453,106.5938,101.6844
C9_34_586,91.0888,105.0844,99.8656,105.8781,111.8625,105.9969,104.9656,119.2844,103.6406,105.5688,113.5531,103.1125,115.1969,112.8594,104.8406,107.1562,116.5875,103.7469,98.7141,105.1406,101.3969
C9_34_588,90.6014,97.9781,92.3031,96.6562,104.3562,99.9594,97.7156,113.1656,96.2125,101.2625,102.1812,102.3875,105.1531,107.175,100.2719,101.8031,115.2062,102.5844,89.9531,99.6781,99.3125
C9_34_590,83.9914,102.6281,93.0219,96.4406,111.6031,101.9531,94.5719,121.8938,101.5281,103.0406,104.5,102.0156,108.6688,105.8844,106.6469,102.9656,118.1062,103.7375,89.7969,105.5812,106.275
C9_34_592,95.5406,99.1688,88.9984,97.7562,109.4031,100.2438,93.6969,120.8594,99.4312,102.625,99.25,99.9656,105.0969,103.125,101.6625,101.7344,113.4156,103.5094,90.2516,106.4438,101.2812
C9_34_594,84.6593,101.2812,87.1062,95.3125,105.2375,101.7031,95.3062,114.3438,94.6969,98.05,97.6594,98.2156,102.8188,100.2375,105.0156,102.4844,108.8094,103.5188,91.6938,102.1719,94.0531
C9_11_583,138.8091,110.9031,123.0719,106.7062,106.55,100.1141,114.3406,107.6031,110.2406,119.3844,103.7312,110.3969,97.4,114.95,107.6438,113.95,111.0531,113.7562,112.4438,104.1719,111.3766
C9_11_585,96.7823,99.4469,104.8625,96.0906,100.225,98.5875,108.2969,104.2,100.3562,101.6312,96.7094,100.1406,93.6188,102.1844,99.2594,96.2156,107.8688,101.3281,106.8031,101.9109,102.8812
C9_11_587,90.9842,102.4438,104.8156,96.4672,98.8938,94.2312,108.6469,108.9406,104.4656,99.6969,98.5594,102.3406,90.4219,104.0625,97.7438,98.4812,108.7062,103.2781,108.6656,100.4562,97.0375
C9_11_589,93.3681,92.9406,98.2938,91.3234,88.6453,89.2625,98.5281,98.7656,96.4,90.95,89.6031,96.9344,86.3375,96.2719,91.9375,93.0969,97.7688,96.3781,103.8469,92.3812,94.0438
C9_11_591,86.8283,85.2938,90.875,88.9812,77.7688,82.6453,91.5734,88.9062,90.5594,84.05,85.6172,90.05,78.5672,90.4625,86.8625,85.9141,86.7688,90.35,100.2781,83.8594,88.0281
C9_11_593,77.3825,87.3625,92.7562,90.1906,75.3297,84.9281,94.4375,89.0766,90.7438,82.4312,88.6,91.3781,83.0656,97.6688,82.6438,87.1359,86.8688,90.2,100.3375,79.9656,89.5938
C9_11_595,75.4604,88.1906,90.8062,88.6531,74.7781,86.5906,96.45,79.2906,85.4656,81.9188,85.1094,85.5234,78.7562,92.5406,83.6875,82.3094,85.6266,88.3297,93.5656,78.9891,87.5281
