ID,y,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19
C18_1_30,151.8644,170.8062,179.3281,170.7844,154.3609,157.675,172.1469,164.7391,168.1734,174.4906,174.6656,159.5656,158.0625,158.325,169.8156,181.7312,171.6406,175.7344,177.15,179.8844,160.6969
C18_1_31,166.7103,166.275,182.2062,166.8922,150.6672,145.4828,170.8297,170.4641,169.6672,170.6547,173.2312,163.8188,154.2531,159.9656,166.5719,182.6,171.5906,172.2812,176.8938,175.2562,157.25
C18_1_32,146.9299,149.2688,169.2453,155.3031,136.6547,128.2969,158.8125,167.2359,161.4203,159.8188,158.7578,156.0312,142.0109,153.7719,155.5328,173.0031,160.7438,161.8469,165.8281,164.3406,146.2
C18_1_33,98.1913,123.1359,145.6016,134.1359,106.75,107.6297,132.4188,153.65,136.7234,134.6734,134.0109,136.7938,118.5906,137.5531,131.9828,147.8109,136.0578,140.8562,140.5625,144.5016,126.7906
C18_1_34,75.2596,85.0578,107.2672,99.6234,73.8531,76.5234,97.3,115.675,99.4312,99.3844,102.0078,96.4766,81.6422,93.8891,94.8625,107.9188,100.7,100.6156,106.9484,109.1219,93.1188
C18_1_35,45.05,78.0422,91.5469,85.7156,65.3703,77.2547,86.2469,98.1234,83.7297,86.5031,100.1281,79.7562,69.6094,79.6797,84.6297,93.0344,88.7766,89.2,95.7328,94.1375,88.4016
C18_1_36,110.2775,74.5891,77.5781,75.3688,56.4047,73.2703,78.1641,83.4781,74.4547,76.2609,91.7641,73.4766,64.7109,70.5172,82.2859,79.525,76.0266,79.2,88.8156,84.4828,85.3188
C18_1_37,80.7098,76.8516,74.8312,75.0031,56.8828,76.9172,77.6,85.3641,74.5297,71.3312,90.0969,78.3969,72.2266,79.0609,90.4562,79.7375,73.2828,83.1141,89.1406,90.0031,87.9109
C18_1_38,79.6583,78.2312,72.7656,71.6891,51.1875,74.3453,66.7531,73.9969,70.2109,60.3172,76.6109,75.5688,72.4797,76.6516,85.0156,72.1344,69.9625,77.8828,86.6109,81.9453,82.7859
C18_1_39,77.5694,63.6203,62.9688,60.0594,38.6656,62.7125,49.9078,60.6844,61.2391,47.375,58.0172,65.0312,63.8141,70.1469,69.7312,57.3656,64.4094,67.6281,70.9438,64.8312,68.0406
